record_id,dataset_id,country,year,metric,value,unit,source_id,source_ref,source_owner,source_class,source_format,method_status,evidence_status,quality_flag,comparability_flag,comparison_scope,last_verified,allowed_surfaces,ki_usage_rule,notes
B12-DK-2015,nordic_food_price_level_pli_annual,DK,2015,food_price_level_index,146.4,EU27_2020_100,EUROSTAT-PLI-A0101,research/data/nordic/prices/normalized/nordic-eurostat-food-price-levels-annual.csv,Eurostat,official_statistics,local_csv,official_statistical_extract,primary_snapshot,ok,directly_comparable,Food and non-alcoholic beverages PLI vs EU27=100,2026-05-15,research+analysis+report,cite_with_underlying_sources,Not HICP or CPI
B12-DK-2016,nordic_food_price_level_pli_annual,DK,2016,food_price_level_index,146.8,EU27_2020_100,EUROSTAT-PLI-A0101,research/data/nordic/prices/normalized/nordic-eurostat-food-price-levels-annual.csv,Eurostat,official_statistics,local_csv,official_statistical_extract,primary_snapshot,ok,directly_comparable,Food and non-alcoholic beverages PLI vs EU27=100,2026-05-15,research+analysis+report,cite_with_underlying_sources,Not HICP or CPI
B12-DK-2017,nordic_food_price_level_pli_annual,DK,2017,food_price_level_index,131.1,EU27_2020_100,EUROSTAT-PLI-A0101,research/data/nordic/prices/normalized/nordic-eurostat-food-price-levels-annual.csv,Eurostat,official_statistics,local_csv,official_statistical_extract,primary_snapshot,ok,directly_comparable,Food and non-alcoholic beverages PLI vs EU27=100,2026-05-15,research+analysis+report,cite_with_underlying_sources,Not HICP or CPI
B12-DK-2018,nordic_food_price_level_pli_annual,DK,2018,food_price_level_index,128.8,EU27_2020_100,EUROSTAT-PLI-A0101,research/data/nordic/prices/normalized/nordic-eurostat-food-price-levels-annual.csv,Eurostat,official_statistics,local_csv,official_statistical_extract,primary_snapshot,ok,directly_comparable,Food and non-alcoholic beverages PLI vs EU27=100,2026-05-15,research+analysis+report,cite_with_underlying_sources,Not HICP or CPI
B12-DK-2019,nordic_food_price_level_pli_annual,DK,2019,food_price_level_index,129.0,EU27_2020_100,EUROSTAT-PLI-A0101,research/data/nordic/prices/normalized/nordic-eurostat-food-price-levels-annual.csv,Eurostat,official_statistics,local_csv,official_statistical_extract,primary_snapshot,ok,directly_comparable,Food and non-alcoholic beverages PLI vs EU27=100,2026-05-15,research+analysis+report,cite_with_underlying_sources,Not HICP or CPI
B12-DK-2020,nordic_food_price_level_pli_annual,DK,2020,food_price_level_index,120.8,EU27_2020_100,EUROSTAT-PLI-A0101,research/data/nordic/prices/normalized/nordic-eurostat-food-price-levels-annual.csv,Eurostat,official_statistics,local_csv,official_statistical_extract,primary_snapshot,ok,directly_comparable,Food and non-alcoholic beverages PLI vs EU27=100,2026-05-15,research+analysis+report,cite_with_underlying_sources,Not HICP or CPI
B12-DK-2021,nordic_food_price_level_pli_annual,DK,2021,food_price_level_index,120.5,EU27_2020_100,EUROSTAT-PLI-A0101,research/data/nordic/prices/normalized/nordic-eurostat-food-price-levels-annual.csv,Eurostat,official_statistics,local_csv,official_statistical_extract,primary_snapshot,ok,directly_comparable,Food and non-alcoholic beverages PLI vs EU27=100,2026-05-15,research+analysis+report,cite_with_underlying_sources,Not HICP or CPI
B12-DK-2022,nordic_food_price_level_pli_annual,DK,2022,food_price_level_index,121.0,EU27_2020_100,EUROSTAT-PLI-A0101,research/data/nordic/prices/normalized/nordic-eurostat-food-price-levels-annual.csv,Eurostat,official_statistics,local_csv,official_statistical_extract,primary_snapshot,ok,directly_comparable,Food and non-alcoholic beverages PLI vs EU27=100,2026-05-15,research+analysis+report,cite_with_underlying_sources,Not HICP or CPI
B12-DK-2023,nordic_food_price_level_pli_annual,DK,2023,food_price_level_index,122.6,EU27_2020_100,EUROSTAT-PLI-A0101,research/data/nordic/prices/normalized/nordic-eurostat-food-price-levels-annual.csv,Eurostat,official_statistics,local_csv,official_statistical_extract,primary_snapshot,ok,directly_comparable,Food and non-alcoholic beverages PLI vs EU27=100,2026-05-15,research+analysis+report,cite_with_underlying_sources,Not HICP or CPI
B12-DK-2024,nordic_food_price_level_pli_annual,DK,2024,food_price_level_index,120.2,EU27_2020_100,EUROSTAT-PLI-A0101,research/data/nordic/prices/normalized/nordic-eurostat-food-price-levels-annual.csv,Eurostat,official_statistics,local_csv,official_statistical_extract,primary_snapshot,ok,directly_comparable,Food and non-alcoholic beverages PLI vs EU27=100,2026-05-15,research+analysis+report,cite_with_underlying_sources,Not HICP or CPI
