country,theme,source_name,dataset_or_table_id,status,fetch_type,fetch_url,output_file,content_type,http_status,payload_kind,variable_count,list_length,updated,reason,error
Nordic,prices,Eurostat HICP monthly,prc_hicp_midx,ready,json,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/prc_hicp_midx?coicop=CP01&geo=DK&geo=FI&geo=IS&geo=NO&geo=SE,research/data/nordic/registry-metadata/nordic-prices-eurostat-hicp-monthly-prc-hicp-midx.json,application/json,200,dict,,,2026-02-06T23:00:00+0100,,
Nordic,prices,Eurostat price level indices food,prc_ppp_ind,query_required,manual,,,,,,,,,dataset-specific filters required,
NO,prices,SSB CPI goods and services,14700,ready,json,https://data.ssb.no/api/v0/en/table/14700/,research/data/nordic/registry-metadata/no-prices-ssb-cpi-goods-and-services-14700.json,application/json; charset=utf-8,200,dict,3,,,,
NO,prices,SSB archived CPI bridge,03013,ready,json,https://data.ssb.no/api/v0/en/table/03013/,research/data/nordic/registry-metadata/no-prices-ssb-archived-cpi-bridge-03013.json,application/json; charset=utf-8,200,dict,3,,,,
NO,prices,SSB producer price index,12462,ready,json,https://data.ssb.no/api/v0/en/table/12462/,research/data/nordic/registry-metadata/no-prices-ssb-producer-price-index-12462.json,application/json; charset=utf-8,200,dict,4,,,,
NO,trade,SSB external trade by country,08804,ready,json,https://data.ssb.no/api/v0/en/table/08804/,research/data/nordic/registry-metadata/no-trade-ssb-external-trade-by-country-08804.json,application/json; charset=utf-8,200,dict,4,,,,
NO,trade,SSB external trade main figures monthly,08792,ready,json,https://data.ssb.no/api/v0/en/table/08792/,research/data/nordic/registry-metadata/no-trade-ssb-external-trade-main-figures-monthly-08792.json,application/json; charset=utf-8,200,dict,3,,,,
NO,agriculture,SSB cereals and oil seeds production,07479,ready,json,https://data.ssb.no/api/v0/en/table/07479/,research/data/nordic/registry-metadata/no-agriculture-ssb-cereals-and-oil-seeds-production-07479.json,application/json; charset=utf-8,200,dict,2,,,,
NO,register,Brreg organisations API,,ready,json,https://data.brreg.no/enhetsregisteret/api/enheter?size=1,research/data/nordic/registry-metadata/no-register-brreg-organisations-api-no-id.json,application/json,200,dict,,,,,
DK,prices,StatBank consumer price index,PRIS01,ready,json,https://api.statbank.dk/v1/tableinfo?lang=en&id=PRIS01,research/data/nordic/registry-metadata/dk-prices-statbank-consumer-price-index-pris01.json,text/json; charset=utf-8,200,dict,3,,2026-03-10T08:00:00,,
DK,prices,StatBank HICP,PRIS07,ready,json,https://api.statbank.dk/v1/tableinfo?lang=en&id=PRIS07,research/data/nordic/registry-metadata/dk-prices-statbank-hicp-pris07.json,text/json; charset=utf-8,200,dict,3,,2026-03-10T08:00:00,,
DK,prices,StatBank price level indices food,PPP1,ready,json,https://api.statbank.dk/v1/tableinfo?lang=en&id=PPP1,research/data/nordic/registry-metadata/dk-prices-statbank-price-level-indices-food-ppp1.json,text/json; charset=utf-8,200,dict,3,,2025-07-01T08:00:00,,
DK,trade,StatBank imports and exports CN monthly,KN8M,ready,json,https://api.statbank.dk/v1/tableinfo?lang=en&id=KN8M,research/data/nordic/registry-metadata/dk-trade-statbank-imports-and-exports-cn-monthly-kn8m.json,text/json; charset=utf-8,200,dict,5,,2024-06-10T08:00:00,,
