record_id,species_or_product,source_volume_tonnes,kcal_per_100g_edible,edible_part_pct,export_energy_tcal,volume_source,energy_source,edible_source,method_status,evidence_status,quality_flag,ki_usage_rule,notes
G3-NO-SEAFOOD-ENERGY-SALMON-2024,salmon,1255654,223,65,1820.070,Norwegian Seafood Council annual export summary 2024,Matvaretabellen Laks oppdrett raw kcal; edible share proxy assumption,proxy edible share assumption,proxy_energy_input,primary_report_plus_food_table,proxy_species_product_mix_incomplete,exclude,Export volume is all salmon products; energy factor uses raw farmed salmon and provisional edible share proxy
G3-NO-SEAFOOD-ENERGY-TROUT-2024,trout,75135,166,55,68.598,Norwegian Seafood Council annual export summary 2024,Matvaretabellen Oerret oppdrett raw kcal; edible share proxy assumption,proxy edible share assumption,proxy_energy_input,primary_report_plus_food_table,proxy_species_product_mix_incomplete,exclude,Export volume is all trout products; product mix and edible share not locked
G3-NO-SEAFOOD-ENERGY-FRESH-COD-2024,fresh_cod,40370,79,45,14.352,Norwegian Seafood Council annual export summary 2024,Matvaretabellen Torsk vill raw kcal; edible share from Matvaretabellen torsk raw,Matvaretabellen,proxy_energy_input,primary_report_plus_food_table,proxy_species_product_mix_incomplete,exclude,Fresh cod combines wild and farmed cod; product mix not split
G3-NO-SEAFOOD-ENERGY-FROZEN-COD-2024,frozen_cod,48166,79,45,17.123,Norwegian Seafood Council annual export summary 2024,Matvaretabellen Torsk vill raw kcal; edible share from Matvaretabellen torsk raw,Matvaretabellen,proxy_energy_input,primary_report_plus_food_table,proxy_species_product_mix_incomplete,exclude,Frozen cod uses raw cod energy proxy; product form and glazing not adjusted
G3-NO-SEAFOOD-ENERGY-CLIPFISH-2024,clipfish_total,81268,79,100,64.202,Norwegian Seafood Council annual export summary 2024,Matvaretabellen Torsk raw kcal proxy,assumed product weight edible,proxy_energy_input,primary_report_plus_food_table,processed_product_energy_mismatch,exclude,Clipfish is dried/salted product; raw cod kcal is not a final energy factor and must be replaced
G3-NO-SEAFOOD-ENERGY-SALTED-FISH-2024,salted_fish,24243,79,100,19.152,Norwegian Seafood Council annual export summary 2024,Matvaretabellen Torsk raw kcal proxy,assumed product weight edible,proxy_energy_input,primary_report_plus_food_table,processed_product_energy_mismatch,exclude,Salted fish product energy and rehydration factor not locked
G3-NO-SEAFOOD-ENERGY-STOCKFISH-2024,stockfish,3531,79,100,2.789,Norwegian Seafood Council annual export summary 2024,Matvaretabellen Torsk raw kcal proxy,assumed product weight edible,proxy_energy_input,primary_report_plus_food_table,processed_product_energy_mismatch,exclude,Stockfish is dried product; raw cod kcal is not a final energy factor and must be replaced
G3-NO-SEAFOOD-ENERGY-HERRING-2024,herring,227916,179,60,244.782,Norwegian Seafood Council annual export summary 2024,Matvaretabellen Sild raw kcal and edible share,Matvaretabellen,proxy_energy_input,primary_report_plus_food_table,proxy_species_product_mix_incomplete,exclude,Herring includes whole and fillet products; product mix not fully split
G3-NO-SEAFOOD-ENERGY-MACKEREL-2024,mackerel,313242,286,50,447.936,Norwegian Seafood Council annual export summary 2024,Matvaretabellen Makrell Aug-Dec raw kcal; edible share from Matvaretabellen seasonal raw proxy,Matvaretabellen,proxy_energy_input,primary_report_plus_food_table,seasonal_energy_factor_proxy,exclude,Mackerel energy varies strongly by season; uses high-fat Aug-Dec raw factor
G3-NO-SEAFOOD-ENERGY-CAPELIN-2024,capelin,65348,179,60,70.184,Norwegian Seafood Council annual export summary 2024,Matvaretabellen Sild raw kcal and edible share as pelagic proxy,proxy from herring,proxy_energy_input,primary_report_plus_food_table,species_energy_proxy,exclude,Capelin-specific energy factor not locked; herring proxy used
G3-NO-SEAFOOD-ENERGY-KING-CRAB-2024,king_crab,1503,85,40,0.511,Norwegian Seafood Council annual export summary 2024,Matvaretabellen Krabbeskjell kcal proxy; edible share assumption,proxy edible share,proxy_energy_input,primary_report_plus_food_table,edible_share_proxy,exclude,Crab edible yield and live/frozen product mix not locked
G3-NO-SEAFOOD-ENERGY-SNOW-CRAB-2024,snow_crab,6399,85,40,2.176,Norwegian Seafood Council annual export summary 2024,Matvaretabellen Krabbeskjell kcal proxy; edible share assumption,proxy edible share,proxy_energy_input,primary_report_plus_food_table,edible_share_proxy,exclude,Crab edible yield and product mix not locked
G3-NO-SEAFOOD-ENERGY-PRAWN-2024,prawn,34421,102,38,13.342,Norwegian Seafood Council annual export summary 2024,Matvaretabellen Reker raw kcal and edible share,Matvaretabellen,proxy_energy_input,primary_report_plus_food_table,proxy_species_product_mix_incomplete,exclude,Prawn includes peeled and shell-on products; product mix not fully split
G3-NO-SEAFOOD-ENERGY-TOTAL-PROXY-2024,total_proxy,2183197,NA,NA,2785.216,Norwegian Seafood Council annual export summary 2024 plus row sum,Matvaretabellen and proxy factors,mixed,proxy_energy_total,derived_proxy,top_species_partial_coverage,exclude,Partial top-species/product proxy; does not cover full 2.8 million tonnes total seafood export volume and must not be used as final self-sufficiency result
