"record_id","hs_code","ssb_varekoder","product_label_no","export_tonnes_2024","export_value_1000_nok","product_scope","energy_mapping_status","g3_action","notes"
"G3-NO-HS-PRODUCT-001-2024","03021411","03021411_2012","Atlanterhavslaks (Salmo salar) og donaulaks (Hucho hucho), oppdrettet, med hode, fersk eller kjølt (2012-) (M1=kg,  M2=nei)","963921.756","86465128","whole_or_gutted_fish_shellfish","needs_yield_mapping","map species and edible share","SSB table 08801 export all countries summed across Land for 2024; threshold >=1000 tonnes"
"G3-NO-HS-PRODUCT-002-2024","03035401","03035401_2019","Makrell (Scomber scombrus, Scomber australasicus, Scomber japonicus), vekt under 600 gram, fryst, ikke spiselige biprodukter (2019-) (M1=kg,  M2=nei)","285942.156","7380381","whole_or_gutted_fish_shellfish","needs_yield_mapping","map species and edible share","SSB table 08801 export all countries summed across Land for 2024; threshold >=1000 tonnes"
"G3-NO-HS-PRODUCT-003-2024","03044100","03044100_2012","Fileter av stillehavslaks, atlanterhavslaks og donaulaks, fersk el kjølt (2012-) (M1=kg,  M2=nei)","142484.971","21186074","fillet_or_fish_meat","needs_energy_mapping","map product form and species to Matvaretabellen","SSB table 08801 export all countries summed across Land for 2024; threshold >=1000 tonnes"
"G3-NO-HS-PRODUCT-004-2024","23012010","23012010_1995","Mel og pelleter av fisk, krepsdyr, bløtdyr el virvelløse dyr som lever i vann, utjenlig til menneskeføde, til dyrefor (1995-) (M1=kg,  M2=nei)","81040.091","1808538","non_food_feed_or_industrial","exclude_from_food_energy","exclude unless feed/oil scenario is explicitly added","SSB table 08801 export all countries summed across Land for 2024; threshold >=1000 tonnes"
"G3-NO-HS-PRODUCT-005-2024","03048100","03048100_2012","Fileter av stillehavslaks, atlanterhavslaks og donaulaks, fryst (2012-) (M1=kg,  M2=nei)","71583.136","10816879","fillet_or_fish_meat","needs_energy_mapping","map product form and species to Matvaretabellen","SSB table 08801 export all countries summed across Land for 2024; threshold >=1000 tonnes"
"G3-NO-HS-PRODUCT-006-2024","15042011","15042011_1995","Fett og oljer av fisk samt deres fraksjoner, unnt tran, til dyrefor (1995-) (M1=kg,  M2=nei)","71260.671","1519996","fish_oil","needs_scope_decision","exclude from direct food-energy until end use is locked","SSB table 08801 export all countries summed across Land for 2024; threshold >=1000 tonnes"
"G3-NO-HS-PRODUCT-007-2024","03048622","03048622_2019","Fileter av norsk vårgytende sild (NVG-sild), uten skinn, fryst (2019-) (M1=kg,  M2=nei)","63807.115","1373740","fillet_or_fish_meat","needs_energy_mapping","map product form and species to Matvaretabellen","SSB table 08801 export all countries summed across Land for 2024; threshold >=1000 tonnes"
"G3-NO-HS-PRODUCT-008-2024","03021111","03021111_2012","Ørret, oppdrettet, med hode, fersk eller kjølt (2012-) (M1=kg,  M2=nei)","57408.407","4721633","whole_or_gutted_fish_shellfish","needs_yield_mapping","map species and edible share","SSB table 08801 export all countries summed across Land for 2024; threshold >=1000 tonnes"
"G3-NO-HS-PRODUCT-009-2024","03035102","03035102_2017","Norsk vårgytende sild (NVG-sild), fryst, ikke spiselige biprodukter (2017-) (M1=kg,  M2=nei)","53666.742","759397","whole_or_gutted_fish_shellfish","needs_yield_mapping","map species and edible share","SSB table 08801 export all countries summed across Land for 2024; threshold >=1000 tonnes"
"G3-NO-HS-PRODUCT-010-2024","03055313","03055313_2017","Sei, klippfisk, unnt spiselige biprodukter (2017-) (M1=kg,  M2=nei)","47751.639","2079102","processed_preserved_fish","needs_energy_mapping","map processed-product energy and rehydration/yield","SSB table 08801 export all countries summed across Land for 2024; threshold >=1000 tonnes"
"G3-NO-HS-PRODUCT-011-2024","03035901","03035901_2017","Lodde (Mallotus villosus), fryst, ikke spiselige biprodukter (2017-) (M1=kg,  M2=nei)","43993.287","437979","whole_or_gutted_fish_shellfish","needs_yield_mapping","map species and edible share","SSB table 08801 export all countries summed across Land for 2024; threshold >=1000 tonnes"
"G3-NO-HS-PRODUCT-012-2024","03036303","03036303_2013","Atlanterhavstorsk (Gadus morhua), unntatt spiselige biprodukter, fryst (2013-) (M1=kg,  M2=nei)","40238.872","2488942","whole_or_gutted_fish_shellfish","needs_yield_mapping","map species and edible share","SSB table 08801 export all countries summed across Land for 2024; threshold >=1000 tonnes"
"G3-NO-HS-PRODUCT-013-2024","03036500","03036500_2017","Sei (Pollachius virens), fryst, ikke spiselige biprodukter (2017-) (M1=kg,  M2=nei)","37750.506","798461","whole_or_gutted_fish_shellfish","needs_yield_mapping","map species and edible share","SSB table 08801 export all countries summed across Land for 2024; threshold >=1000 tonnes"
"G3-NO-HS-PRODUCT-014-2024","03036400","03036400_2017","Hyse (Melanogrammus aeglefinus), fryst, ikke spiselige biprodukter (2017-) (M1=kg,  M2=nei)","32305.364","1120536","whole_or_gutted_fish_shellfish","needs_yield_mapping","map species and edible share","SSB table 08801 export all countries summed across Land for 2024; threshold >=1000 tonnes"
"G3-NO-HS-PRODUCT-015-2024","03039901","03039901_2017","Spiselige biprodukter av oppdrettet atlanterhavslaks og donaulaks, fryst (2017-) (M1=kg,  M2=nei)","28333.877","386573","edible_byproduct_or_roe","needs_energy_mapping","review edible yield and energy factor","SSB table 08801 export all countries summed across Land for 2024; threshold >=1000 tonnes"
"G3-NO-HS-PRODUCT-016-2024","15042031","15042031_1995","Sildeolje og andre fiskeoljer, unnt tran, ikke til dyrefor (1995-) (M1=kg,  M2=nei)","27856.812","849845","fish_oil","needs_scope_decision","exclude from direct food-energy until end use is locked","SSB table 08801 export all countries summed across Land for 2024; threshold >=1000 tonnes"
"G3-NO-HS-PRODUCT-017-2024","03038901","03038901_2017","Uer (Sebastes spp.), fryst, ikke spiselige biprodukter (2017-) (M1=kg,  M2=nei)","27418.370","773409","whole_or_gutted_fish_shellfish","needs_yield_mapping","map species and edible share","SSB table 08801 export all countries summed across Land for 2024; threshold >=1000 tonnes"
"G3-NO-HS-PRODUCT-018-2024","03049922","03049922_2022","Sildelapper (butterflies) av norsk vårgytende sild (NVG-sild), fryste (2022-) (M1=kg,  M2=nei)","25601.710","527414","whole_or_gutted_fish_shellfish","needs_yield_mapping","map species and edible share","SSB table 08801 export all countries summed across Land for 2024; threshold >=1000 tonnes"
"G3-NO-HS-PRODUCT-019-2024","03055121","03055121_2012","Klippfisk av atlanterhavstorsk, unnt spiselige biprodukter (2012-) (M1=kg,  M2=nei)","24411.610","3198648","processed_preserved_fish","needs_energy_mapping","map processed-product energy and rehydration/yield","SSB table 08801 export all countries summed across Land for 2024; threshold >=1000 tonnes"
"G3-NO-HS-PRODUCT-020-2024","03031311","03031311_2012","Atlanterhavslaks og donaulaks, oppdrettet, med hode, fryst, ikke spiselige biprodukter (2012-) (M1=kg,  M2=nei)","23736.517","2079807","whole_or_gutted_fish_shellfish","needs_yield_mapping","map species and edible share","SSB table 08801 export all countries summed across Land for 2024; threshold >=1000 tonnes"
"G3-NO-HS-PRODUCT-021-2024","03025300","03025300_2017","Sei (Pollachius virens), fersk eller kjølt, ikke spiselige biprodukter (2017-) (M1=kg,  M2=nei)","22935.883","489786","whole_or_gutted_fish_shellfish","needs_yield_mapping","map species and edible share","SSB table 08801 export all countries summed across Land for 2024; threshold >=1000 tonnes"
"G3-NO-HS-PRODUCT-022-2024","03025127","03025127_2019","Atlanterhavstorsk (Gadus morhua) unntatt skrei, ikke oppdrettet eller levendelagret, fersk eller kjølt, ikke spiselige biprodukter (2019-) (M1=kg,  M2=nei)","22015.115","1293278","whole_or_gutted_fish_shellfish","needs_yield_mapping","map species and edible share","SSB table 08801 export all countries summed across Land for 2024; threshold >=1000 tonnes"
"G3-NO-HS-PRODUCT-023-2024","03024102","03024102_2017","Norsk vårgytende sild (NVG-sild), fersk eller kjølt, ikke spiselige biprodukter (2017-) (M1=kg,  M2=nei)","21383.687","240539","whole_or_gutted_fish_shellfish","needs_yield_mapping","map species and edible share","SSB table 08801 export all countries summed across Land for 2024; threshold >=1000 tonnes"
"G3-NO-HS-PRODUCT-024-2024","23012090","23012090_1995","Mel og pelleter av fisk, krepsdyr, bløtdyr el virvelløse dyr som lever i vann, utjenlig til menneskeføde, ikke til dyrefor (1995-) (M1=kg,  M2=nei)","18593.351","416234","non_food_feed_or_industrial","exclude_from_food_energy","exclude unless feed/oil scenario is explicitly added","SSB table 08801 export all countries summed across Land for 2024; threshold >=1000 tonnes"
