"record_id","source_product_record_id","hs_code","product_scope","species_group","product_form","export_tonnes_2024","kcal_per_100g","edible_part_pct","energy_tcal_candidate","energy_source","edible_source","mapping_status","ki_usage_rule","notes"
"G3-NO-HS-ENERGY-03021411-2024","G3-NO-HS-PRODUCT-001-2024","03021411","whole_or_gutted_fish_shellfish","salmon","whole_or_gutted","963921.756","223","65","1397.205","Matvaretabellen 04.220 Laks oppdrett rå; edible whole proxy","Matvaretabellen 04.220 Laks oppdrett rå; edible whole proxy","mapped_proxy_candidate","exclude","Candidate only; review HS product form and yield before G3 result use"
"G3-NO-HS-ENERGY-03035401-2024","G3-NO-HS-PRODUCT-002-2024","03035401","whole_or_gutted_fish_shellfish","mackerel","whole_or_gutted","285942.156","286","50","408.897","Matvaretabellen 04.023 Makrell august-desember rå; edible 04.022 seasonal proxy","Matvaretabellen 04.023 Makrell august-desember rå; edible 04.022 seasonal proxy","mapped_proxy_candidate","exclude","Candidate only; review HS product form and yield before G3 result use"
"G3-NO-HS-ENERGY-03044100-2024","G3-NO-HS-PRODUCT-003-2024","03044100","fillet_or_fish_meat","salmon","fillet_or_fish_meat","142484.971","223","100","317.741","Matvaretabellen 04.220 Laks oppdrett rå; edible whole proxy","product form treated as edible food weight","mapped_proxy_candidate","exclude","Candidate only; review HS product form and yield before G3 result use"
"G3-NO-HS-ENERGY-23012010-2024","G3-NO-HS-PRODUCT-004-2024","23012010","non_food_feed_or_industrial","fishmeal_non_food","non_food_feed_or_industrial","81040.091","","","","","","scope_excluded_non_food_feed","exclude","Fishmeal/pellets are marked unfit for human consumption in HS label"
"G3-NO-HS-ENERGY-03048100-2024","G3-NO-HS-PRODUCT-005-2024","03048100","fillet_or_fish_meat","salmon","fillet_or_fish_meat","71583.136","223","100","159.630","Matvaretabellen 04.220 Laks oppdrett rå; edible whole proxy","product form treated as edible food weight","mapped_proxy_candidate","exclude","Candidate only; review HS product form and yield before G3 result use"
"G3-NO-HS-ENERGY-15042011-2024","G3-NO-HS-PRODUCT-006-2024","15042011","fish_oil","fish_oil","fish_oil","71260.671","","","","","","scope_excluded_fish_oil","exclude","Fish oil should not be direct food-energy unless end use scenario is explicitly added"
"G3-NO-HS-ENERGY-03048622-2024","G3-NO-HS-PRODUCT-007-2024","03048622","fillet_or_fish_meat","herring","fillet_or_fish_meat","63807.115","179","100","114.215","Matvaretabellen 04.382 Sild rå","product form treated as edible food weight","mapped_candidate","exclude","Candidate only; review HS product form and yield before G3 result use"
"G3-NO-HS-ENERGY-03021111-2024","G3-NO-HS-PRODUCT-008-2024","03021111","whole_or_gutted_fish_shellfish","trout","whole_or_gutted","57408.407","166","55","52.414","Matvaretabellen 04.256 Ørret oppdrett rå; edible whole proxy","Matvaretabellen 04.256 Ørret oppdrett rå; edible whole proxy","mapped_proxy_candidate","exclude","Candidate only; review HS product form and yield before G3 result use"
"G3-NO-HS-ENERGY-03035102-2024","G3-NO-HS-PRODUCT-009-2024","03035102","whole_or_gutted_fish_shellfish","herring","whole_or_gutted","53666.742","179","60","57.638","Matvaretabellen 04.382 Sild rå","Matvaretabellen 04.382 Sild rå","mapped_candidate","exclude","Candidate only; review HS product form and yield before G3 result use"
"G3-NO-HS-ENERGY-03055313-2024","G3-NO-HS-PRODUCT-010-2024","03055313","processed_preserved_fish","clipfish","clipfish","47751.639","268","75","95.981","Matvaretabellen 04.253 Klippfisk saltet og tørket","Matvaretabellen 04.253 Klippfisk saltet og tørket","mapped_proxy_candidate","exclude","Candidate only; review HS product form and yield before G3 result use"
"G3-NO-HS-ENERGY-03035901-2024","G3-NO-HS-PRODUCT-011-2024","03035901","whole_or_gutted_fish_shellfish","capelin_proxy","whole_or_gutted","43993.287","179","60","47.249","Matvaretabellen 04.382 Sild rå used as capelin proxy","Matvaretabellen 04.382 Sild rå used as capelin proxy","mapped_proxy_candidate","exclude","Candidate only; review HS product form and yield before G3 result use"
"G3-NO-HS-ENERGY-03036303-2024","G3-NO-HS-PRODUCT-012-2024","03036303","whole_or_gutted_fish_shellfish","cod","whole_or_gutted","40238.872","79","70","22.252","Matvaretabellen 04.039 Torsk i skiver rå","Matvaretabellen 04.039 Torsk i skiver rå","mapped_candidate","exclude","Candidate only; review HS product form and yield before G3 result use"
"G3-NO-HS-ENERGY-03036500-2024","G3-NO-HS-PRODUCT-013-2024","03036500","whole_or_gutted_fish_shellfish","saithe","whole_or_gutted","37750.506","85","50","16.044","Matvaretabellen 04.029 Sei rå","Matvaretabellen 04.029 Sei rå","mapped_candidate","exclude","Candidate only; review HS product form and yield before G3 result use"
"G3-NO-HS-ENERGY-03036400-2024","G3-NO-HS-PRODUCT-014-2024","03036400","whole_or_gutted_fish_shellfish","haddock","whole_or_gutted","32305.364","78","50","12.599","Matvaretabellen 04.110 Hyse kolje rå","Matvaretabellen 04.110 Hyse kolje rå","mapped_candidate","exclude","Candidate only; review HS product form and yield before G3 result use"
"G3-NO-HS-ENERGY-03039901-2024","G3-NO-HS-PRODUCT-015-2024","03039901","edible_byproduct_or_roe","salmon","edible_byproduct_or_roe","28333.877","","","","","","needs_byproduct_mapping","exclude","Mixed edible byproduct row needs specific organ/roe mapping"
"G3-NO-HS-ENERGY-15042031-2024","G3-NO-HS-PRODUCT-016-2024","15042031","fish_oil","fish_oil","fish_oil","27856.812","","","","","","scope_excluded_fish_oil","exclude","Fish oil should not be direct food-energy unless end use scenario is explicitly added"
"G3-NO-HS-ENERGY-03038901-2024","G3-NO-HS-PRODUCT-017-2024","03038901","whole_or_gutted_fish_shellfish","redfish","whole_or_gutted","27418.370","94","90","23.196","Matvaretabellen 04.045 Uer rå","Matvaretabellen 04.045 Uer rå","mapped_candidate","exclude","Candidate only; review HS product form and yield before G3 result use"
"G3-NO-HS-ENERGY-03049922-2024","G3-NO-HS-PRODUCT-018-2024","03049922","whole_or_gutted_fish_shellfish","herring","whole_or_gutted","25601.710","179","60","27.496","Matvaretabellen 04.382 Sild rå","Matvaretabellen 04.382 Sild rå","mapped_candidate","exclude","Candidate only; review HS product form and yield before G3 result use"
"G3-NO-HS-ENERGY-03055121-2024","G3-NO-HS-PRODUCT-019-2024","03055121","processed_preserved_fish","clipfish","clipfish","24411.610","268","75","49.067","Matvaretabellen 04.253 Klippfisk saltet og tørket","Matvaretabellen 04.253 Klippfisk saltet og tørket","mapped_proxy_candidate","exclude","Candidate only; review HS product form and yield before G3 result use"
"G3-NO-HS-ENERGY-03031311-2024","G3-NO-HS-PRODUCT-020-2024","03031311","whole_or_gutted_fish_shellfish","salmon","whole_or_gutted","23736.517","223","65","34.406","Matvaretabellen 04.220 Laks oppdrett rå; edible whole proxy","Matvaretabellen 04.220 Laks oppdrett rå; edible whole proxy","mapped_proxy_candidate","exclude","Candidate only; review HS product form and yield before G3 result use"
"G3-NO-HS-ENERGY-03025300-2024","G3-NO-HS-PRODUCT-021-2024","03025300","whole_or_gutted_fish_shellfish","saithe","whole_or_gutted","22935.883","85","50","9.748","Matvaretabellen 04.029 Sei rå","Matvaretabellen 04.029 Sei rå","mapped_candidate","exclude","Candidate only; review HS product form and yield before G3 result use"
"G3-NO-HS-ENERGY-03025127-2024","G3-NO-HS-PRODUCT-022-2024","03025127","whole_or_gutted_fish_shellfish","cod","whole_or_gutted","22015.115","79","70","12.174","Matvaretabellen 04.039 Torsk i skiver rå","Matvaretabellen 04.039 Torsk i skiver rå","mapped_candidate","exclude","Candidate only; review HS product form and yield before G3 result use"
"G3-NO-HS-ENERGY-03024102-2024","G3-NO-HS-PRODUCT-023-2024","03024102","whole_or_gutted_fish_shellfish","herring","whole_or_gutted","21383.687","179","60","22.966","Matvaretabellen 04.382 Sild rå","Matvaretabellen 04.382 Sild rå","mapped_candidate","exclude","Candidate only; review HS product form and yield before G3 result use"
"G3-NO-HS-ENERGY-23012090-2024","G3-NO-HS-PRODUCT-024-2024","23012090","non_food_feed_or_industrial","fishmeal_non_food","non_food_feed_or_industrial","18593.351","","","","","","scope_excluded_non_food_feed","exclude","Fishmeal/pellets are marked unfit for human consumption in HS label"
"G3-NO-HS-ENERGY-03049991-2024","G3-NO-HS-PRODUCT-025-2024","03049991","fillet_or_fish_meat","salmon","fillet_or_fish_meat","17696.559","223","100","39.463","Matvaretabellen 04.220 Laks oppdrett rå; edible whole proxy","product form treated as edible food weight","mapped_proxy_candidate","exclude","Candidate only; review HS product form and yield before G3 result use"
