review_id,hs_code,ssb_varer_code,product_label,tonnes_2024,current_species_proxy,current_product_form,current_usage_rule,blocker,decision_needed,candidate_proxy_if_approved,next_gate,status,notes
G3-NO-HS-MANUAL-001-2024,03039901,03039901_2017,"Spiselige biprodukter av oppdrettet atlanterhavslaks og donaulaks, fryst (2017-) (M1=kg,  M2=nei)",28333.877,salmon,edible_byproduct_or_roe,exclude,needs_byproduct_mapping,Split or justify organ mix for salmon edible byproducts before assigning kcal/yield,No proxy selected,Gate 2 method review,manual_review,"Largest remaining row; do not map directly to salmon fillet or whole-fish energy"
G3-NO-HS-MANUAL-002-2024,03057200,03057200_2012,"Fiskehoder, -haler og svømmeblærer, tørket, saltet el i saltlake, røkt el varmrøkt (2012-) (M1=kg,  M2=nei)",7728.542,processed_unknown,salted_or_brined,exclude,needs_manual_mapping,Identify species/product mix and whether it belongs in direct food-energy scope,No proxy selected,Gate 2 method review,manual_review,"May be edible export but product form and species are too broad for current Matvaretabellen mapping"
G3-NO-HS-MANUAL-003-2024,03039102,03039102_2017,"Lever, rogn og melke av lodde, fryst (2017-) (M1=kg,  M2=nei)",4700.441,capelin_proxy,edible_byproduct_or_roe,exclude,needs_byproduct_mapping,Decide split between liver roe and milt or document permanent exclusion,No proxy selected,Gate 2 method review,manual_review,"Roe/liver/milt energy factors differ materially; capelin whole-fish proxy is not enough"
G3-NO-HS-MANUAL-004-2024,03039902,03039902_2017,"Spiselige biprodukter av torsk (Gadus morhua, Gadus ogac, Gadus macrocephalus), fryst (2017-) (M1=kg,  M2=nei)",2847.573,cod,edible_byproduct_or_roe,exclude,needs_byproduct_mapping,Split or justify cod byproduct organ mix before assigning kcal/yield,No proxy selected,Gate 2 method review,manual_review,"Do not map directly to cod fillet; cod roe and liver have separate nutritional profiles"
G3-NO-HS-MANUAL-005-2024,03039101,03039101_2017,"Lever, rogn og melke av sild, fryst (2017-) (M1=kg,  M2=nei)",2433.616,herring,edible_byproduct_or_roe,exclude,needs_byproduct_mapping,Decide split between liver roe and milt or document permanent exclusion,No proxy selected,Gate 2 method review,manual_review,"Whole herring proxy would overstate/understate depending on organ mix"
G3-NO-HS-MANUAL-006-2024,03039109,03039109_2017,"Lever, rogn og melke, unnt av sild og lodde, fryst (2017-) (M1=kg,  M2=nei)",1214.085,herring,edible_byproduct_or_roe,exclude,needs_byproduct_mapping,Identify species mix and organ split before any kcal/yield mapping,No proxy selected,Gate 2 method review,manual_review,"Residual mixed organ row; current herring proxy label is only a placeholder"
G3-NO-HS-MANUAL-007-2024,03039903,03039903_2020,"Spiselige biprodukter av blåkveite (Reinhardtius hippoglossoides), fryst, unntatt lever, rogn og melke (2020-) (M1=kg,  M2=nei)",1055.060,greenland_halibut,edible_byproduct_or_roe,exclude,needs_byproduct_mapping,Find edible yield and energy proxy for non-liver/roe/milt Greenland halibut byproducts,No proxy selected,Gate 2 method review,manual_review,"Smallest remaining row but still excluded until byproduct mapping is justified"
G3-NO-HS-MANUAL-008-2024,03057900,03057900_2012,"Biprodukter av fisk,tørket,saltet/i saltlake,røkt/varmrøkt;mel og pelleter av fisk,egnet til menneskeføde,unnt haifinner,fiskehoder,-haler og svømmeblærer (2012-) (M1=kg,  M2=nei)",2266.770,processed_unknown,salted_or_brined,exclude,needs_manual_mapping,Identify species/product mix and decide whether edible fishmeal/byproduct product can be mapped to food energy,No proxy selected,Gate 2 method review,manual_review,"Corrected from excluded non-food feed because SSB label says egnet til menneskeføde"
G3-NO-HS-MANUAL-009-2024,03099000,03099000_2022,"Mel og pelleter av krepsdyr, bløtdyr, eller andre virvelløse dyr som lever i vann, egnet til menneskeføde (2022-) (M1=kg,  M2=nei)",1981.017,processed_unknown,needs_manual_review,exclude,needs_manual_mapping,Identify species/product mix and decide whether edible aquatic-invertebrate meal can be mapped to food energy,No proxy selected,Gate 2 method review,manual_review,"Corrected from excluded non-food feed because SSB label says egnet til menneskeføde"
G3-NO-HS-MANUAL-TOTAL-2024,manual_review_total,all_manual_rows,Manual review rows total,52560.981,mixed,mixed,exclude,manual_rows_open,Close rows individually or document permanent exclusion before G3 promotion,No proxy selected,Gate 2 method review,open,"Matches manual-review total in no-seafood-hs-energy-yield-mapping-candidate-2024.csv"
