scope_id,hs_code,ssb_varer_code,product_label,tonnes_2024,current_scope,current_g3_core_decision,ki_usage_rule,decision_basis,next_action,status,notes
G3-NO-HS-SCOPE-001-2024,15042011,15042011_1995,"Fett og oljer av fisk samt deres fraksjoner, unnt tran, til dyrefor (1995-) (M1=kg,  M2=nei)",71260.671,fish_oil,exclude_from_direct_food_energy,exclude,HS label says fish oil for animal feed,Only include in separate feed/oil scenario if method is created,scope_locked_for_core,"Excluded from G3 core direct food-energy candidate"
G3-NO-HS-SCOPE-002-2024,15042031,15042031_1995,"Sildeolje og andre fiskeoljer, unnt tran, ikke til dyrefor (1995-) (M1=kg,  M2=nei)",27856.812,fish_oil,exclude_from_direct_food_energy,exclude,End use is not direct food-energy in current model,Only include if edible-oil end-use scenario is explicitly documented,scope_locked_for_core,"Not treated as direct calorie reserve without end-use evidence"
G3-NO-HS-SCOPE-003-2024,15042099,15042099_1995,"Fett og oljer av fisk (ikke faste fraksjoner), unnt tran, hai-, silde- og andre fiskeoljer, ikke til dyrefor (1995-) (M1=kg,  M2=nei)",3688.544,fish_oil,exclude_from_direct_food_energy,exclude,End use is not direct food-energy in current model,Only include if edible-oil end-use scenario is explicitly documented,scope_locked_for_core,"Not treated as direct calorie reserve without end-use evidence"
G3-NO-HS-SCOPE-004-2024,15041091,15041091_1988,"Medisintran, unnt faste fraksjoner (1988-) (M1=kg,  M2=nei)",1329.550,fish_oil,exclude_from_direct_food_energy,exclude,Medicinal cod-liver oil is not mapped to standard direct food supply in current denominator,Only include if supplement/oil scenario is explicitly documented,scope_locked_for_core,"Excluded from G3 core direct food-energy candidate"
G3-NO-HS-SCOPE-005-2024,23012010,23012010_1995,"Mel og pelleter av fisk, krepsdyr, bløtdyr el virvelløse dyr som lever i vann, utjenlig til menneskeføde, til dyrefor (1995-) (M1=kg,  M2=nei)",81040.091,non_food_feed_or_industrial,exclude_from_direct_food_energy,exclude,HS label says unfit for human consumption and for animal feed,Keep excluded unless feed-conversion model is added,scope_locked_for_core,"Excluded from G3 core direct food-energy candidate"
G3-NO-HS-SCOPE-006-2024,23012090,23012090_1995,"Mel og pelleter av fisk, krepsdyr, bløtdyr el virvelløse dyr som lever i vann, utjenlig til menneskeføde, ikke til dyrefor (1995-) (M1=kg,  M2=nei)",18593.351,non_food_feed_or_industrial,exclude_from_direct_food_energy,exclude,HS label says unfit for human consumption,Keep excluded unless industrial/feed conversion model is added,scope_locked_for_core,"Excluded from G3 core direct food-energy candidate"
G3-NO-HS-SCOPE-007-2024,03057900,03057900_2012,"Biprodukter av fisk,tørket,saltet/i saltlake,røkt/varmrøkt;mel og pelleter av fisk,egnet til menneskeføde,unnt haifinner,fiskehoder,-haler og svømmeblærer (2012-) (M1=kg,  M2=nei)",2266.770,edible_byproduct_or_roe,manual_review_required,exclude,HS label says suitable for human consumption but species/product mix is unclear,Move through manual review before kcal/yield mapping,manual_review,"Corrected away from non-food exclusion"
G3-NO-HS-SCOPE-008-2024,03099000,03099000_2022,"Mel og pelleter av krepsdyr, bløtdyr, eller andre virvelløse dyr som lever i vann, egnet til menneskeføde (2022-) (M1=kg,  M2=nei)",1981.017,needs_manual_review,manual_review_required,exclude,HS label says suitable for human consumption but species/product mix is unclear,Move through manual review before kcal/yield mapping,manual_review,"Corrected away from non-food exclusion"
G3-NO-HS-SCOPE-TOTAL-FISH-OIL-2024,1504,all_1504_selected,Fish oil selected rows total,104135.577,fish_oil,exclude_from_direct_food_energy,exclude,Core G3 is direct food-energy only,Optional oil scenario requires separate method,scope_locked_for_core,"Total in HS energy mapping candidate"
G3-NO-HS-SCOPE-TOTAL-NON-FOOD-FISHMEAL-2024,230120,all_230120_selected,Non-food fishmeal selected rows total,99633.442,non_food_feed_or_industrial,exclude_from_direct_food_energy,exclude,HS labels say unfit for human consumption,Optional feed-conversion scenario requires separate method,scope_locked_for_core,"Total in HS energy mapping candidate"
G3-NO-HS-SCOPE-TOTAL-CORE-EXCLUDED-2024,core_excluded_total,fish_oil_plus_non_food_fishmeal,Core excluded scope total,203769.019,mixed,exclude_from_direct_food_energy,exclude,Core G3 excludes fish oil and non-food fishmeal from direct food-energy,Keep separate from manual-review total,scope_locked_for_core,"Matches excluded-scope total in no-seafood-hs-energy-yield-mapping-candidate-2024.csv"
