record_id,scenario_id,country,year_or_period,metric,value,unit,source_id,source_ref,source_owner,source_class,source_format,method_status,evidence_status,quality_flag,comparability_flag,comparison_scope,last_verified,allowed_surfaces,ki_usage_rule,notes
G3-NO-OFFICIAL-UNADJ-2024,official_unadjusted_total_incl_fish,NO,2024,self_sufficiency_unadjusted,41.3,percent,NIBIO-SELF-SUFFICIENCY,https://www.nibio.no/tema/landbruksokonomi/selvforsyningsgrad-og-engrosforbruk ; xlsx Engrosforbruk per innbygger 1999-2024 ; sheet Nøkkeltall ; cell AB5,NIBIO,official_statistics,xlsx,official_statistical_extract,primary_verified,cell_locator_locked,country_only,Total self-sufficiency incl fish energy basis without feed correction; definition row 17,2026-05-15,research+analysis,warn_user,NIBIO cell AB5 equals 41.3; Totalt inkl. fisk; keep separate from seafood retention scenario
G3-NO-FEED-CORR-2024,official_feed_corrected_total_incl_fish,NO,2024,self_sufficiency_feed_corrected,34.9,percent,NIBIO-SELF-SUFFICIENCY,https://www.nibio.no/tema/landbruksokonomi/selvforsyningsgrad-og-engrosforbruk ; xlsx Engrosforbruk per innbygger 1999-2024 ; sheet Nøkkeltall ; cell AB6,NIBIO,official_statistics,xlsx,official_statistical_extract,primary_verified,cell_locator_locked,country_only,Total self-sufficiency incl fish corrected for imported concentrate feed to livestock; definition row 18,2026-05-15,research+analysis,warn_user,NIBIO cell AB6 equals 34.9; correction is livestock feed not fish feed; use for 50 percent target discussion only with method note
G3-NO-SEAFOOD-RETENTION-0-2024,seafood_export_retention_0pct,NO,2024,retained_seafood_export_energy_assumption,0,percent_of_seafood_export_energy,SCENARIO-G3-RETENTION,research/_plans/self-sufficiency-seafood-adjusted-method-note-2026-05-15.md,Codex method spec,scenario_spec,markdown,scenario_formula_locked,needs_export_energy,do_not_use_as_result,not_comparable,Energy-basis scenario specification; output self-sufficiency pct is not computed,2026-05-15,research,exclude,Zero retained export energy is the control scenario; requires seafood export energy and official domestic food energy before result calculation
G3-NO-SEAFOOD-RETENTION-25-2024,seafood_export_retention_25pct,NO,2024,retained_seafood_export_energy_assumption,25,percent_of_seafood_export_energy,SCENARIO-G3-RETENTION,research/_plans/self-sufficiency-seafood-adjusted-method-note-2026-05-15.md,Codex method spec,scenario_spec,markdown,scenario_formula_locked,needs_export_energy,do_not_use_as_result,not_comparable,Energy-basis scenario specification; output self-sufficiency pct is not computed,2026-05-15,research,exclude,Retains 25 percent of seafood export energy as crisis availability assumption; no imported fish-feed correction until feed-method is locked
G3-NO-SEAFOOD-RETENTION-50-2024,seafood_export_retention_50pct,NO,2024,retained_seafood_export_energy_assumption,50,percent_of_seafood_export_energy,SCENARIO-G3-RETENTION,research/_plans/self-sufficiency-seafood-adjusted-method-note-2026-05-15.md,Codex method spec,scenario_spec,markdown,scenario_formula_locked,needs_export_energy,do_not_use_as_result,not_comparable,Energy-basis scenario specification; output self-sufficiency pct is not computed,2026-05-15,research,exclude,Retains 50 percent of seafood export energy as high-retention crisis assumption; no imported fish-feed correction until feed-method is locked
G3-NO-SEAFOOD-EXPORT-ENERGY-PROXY-2024,seafood_export_energy_proxy_top_species,NO,2024,seafood_export_energy_proxy,2785.216,Tcal,NSC-SEAFOOD-EXPORT-2024; MATVARETABELLEN,research/data/nordic/self-sufficiency/no-seafood-export-energy-inputs-2024.csv,Norwegian Seafood Council; Matvaretabellen,primary_report_plus_food_table,csv,proxy_energy_input,derived_proxy,top_species_partial_coverage,not_comparable,Top species/product rows sum 2183197 tonnes vs total export volume about 2800000 tonnes; product mix and edible shares not final,2026-05-15,research,exclude,Proxy energy input only; do not use as self-sufficiency percentage before product mix edible yield and domestic food energy denominator are locked
G3-NO-SEAFOOD-RETENTION-25-ENERGY-PROXY-2024,seafood_export_retention_25pct_energy_proxy,NO,2024,retained_seafood_export_energy_proxy,696.304,Tcal,NSC-SEAFOOD-EXPORT-2024; MATVARETABELLEN,research/data/nordic/self-sufficiency/no-seafood-export-energy-inputs-2024.csv,Norwegian Seafood Council; Matvaretabellen,derived_proxy,csv,proxy_energy_input,derived_proxy,top_species_partial_coverage,not_comparable,25 percent of proxy seafood export energy; not a self-sufficiency result,2026-05-15,research,exclude,Use only to test calculation chain; final scenario requires SSB-HS to energy/yield mapping
G3-NO-SEAFOOD-RETENTION-50-ENERGY-PROXY-2024,seafood_export_retention_50pct_energy_proxy,NO,2024,retained_seafood_export_energy_proxy,1392.608,Tcal,NSC-SEAFOOD-EXPORT-2024; MATVARETABELLEN,research/data/nordic/self-sufficiency/no-seafood-export-energy-inputs-2024.csv,Norwegian Seafood Council; Matvaretabellen,derived_proxy,csv,proxy_energy_input,derived_proxy,top_species_partial_coverage,not_comparable,50 percent of proxy seafood export energy; not a self-sufficiency result,2026-05-15,research,exclude,Use only to test calculation chain; final scenario requires SSB-HS to energy/yield mapping
G3-NO-FOOD-ENERGY-DENOMINATOR-PROXY-2024,domestic_food_energy_denominator_proxy,NO,2024,food_supply_energy_denominator_proxy,5395.807,Tcal,HDIR-UTVIKLINGEN-NORSK-KOSTHOLD-2025; SSB-POPULATION-2024-2025,research/data/nordic/self-sufficiency/no-food-energy-denominator-candidate-2024.csv,Helsedirektoratet; SSB; Codex derived,official_report_plus_official_statistics,csv,denominator_candidate,derived_proxy,gross_food_supply_energy_proxy,country_only,Computed from 11.1 MJ/person/day gross food supply energy and mean population proxy 5572271.5; not an intake measure,2026-05-15,research,warn_user,Can serve as denominator candidate for G3 scenario testing; final scenario still requires full seafood product mix and edible-yield lock
G3-NO-SEAFOOD-PRODUCT-MIX-SSB-HS-2024,seafood_export_product_mix_ssb_hs,NO,2024,seafood_export_product_mix_selected_hs,2589296,tonnes,SSB-08801,research/data/nordic/self-sufficiency/no-seafood-export-product-mix-ssb-hs-2024.csv,SSB; Codex derived,official_statistics_plus_derived_classification,csv,product_mix_candidate,derived_primary_extract,selected_hs_scope_needs_review,country_only,SSB table 08801 export all countries summed across Land for HS03 1504 1604 1605 and 230120; includes fishmeal and fish oil,2026-05-15,research,warn_user,Use as product-mix coverage benchmark; not an energy result and not a final self-sufficiency percentage
