series_id,country,period,frequency,flow,group_code,group_label,source_name,dataset_or_table_id,unit,value,selection_rule,coverage,comparability,notes
fi_meat_imports,FI,2015-01,monthly,imports,meat,Meat,Luke agri-food foreign trade,Luke_maa_Ukaup_kk.px,1000 EUR,17063.000,02*,broad food group proxy,good for within-country trends; cross-country levels are limited by source units and classification differences,Luke product codes filtered by HS-like prefixes.
fi_meat_imports,FI,2015-02,monthly,imports,meat,Meat,Luke agri-food foreign trade,Luke_maa_Ukaup_kk.px,1000 EUR,17360.000,02*,broad food group proxy,good for within-country trends; cross-country levels are limited by source units and classification differences,Luke product codes filtered by HS-like prefixes.
fi_meat_imports,FI,2015-03,monthly,imports,meat,Meat,Luke agri-food foreign trade,Luke_maa_Ukaup_kk.px,1000 EUR,22317.000,02*,broad food group proxy,good for within-country trends; cross-country levels are limited by source units and classification differences,Luke product codes filtered by HS-like prefixes.
fi_meat_imports,FI,2015-04,monthly,imports,meat,Meat,Luke agri-food foreign trade,Luke_maa_Ukaup_kk.px,1000 EUR,16121.000,02*,broad food group proxy,good for within-country trends; cross-country levels are limited by source units and classification differences,Luke product codes filtered by HS-like prefixes.
fi_meat_imports,FI,2015-05,monthly,imports,meat,Meat,Luke agri-food foreign trade,Luke_maa_Ukaup_kk.px,1000 EUR,16787.000,02*,broad food group proxy,good for within-country trends; cross-country levels are limited by source units and classification differences,Luke product codes filtered by HS-like prefixes.
fi_meat_imports,FI,2015-06,monthly,imports,meat,Meat,Luke agri-food foreign trade,Luke_maa_Ukaup_kk.px,1000 EUR,17171.000,02*,broad food group proxy,good for within-country trends; cross-country levels are limited by source units and classification differences,Luke product codes filtered by HS-like prefixes.
fi_meat_imports,FI,2015-07,monthly,imports,meat,Meat,Luke agri-food foreign trade,Luke_maa_Ukaup_kk.px,1000 EUR,19116.000,02*,broad food group proxy,good for within-country trends; cross-country levels are limited by source units and classification differences,Luke product codes filtered by HS-like prefixes.
fi_meat_imports,FI,2015-08,monthly,imports,meat,Meat,Luke agri-food foreign trade,Luke_maa_Ukaup_kk.px,1000 EUR,16527.000,02*,broad food group proxy,good for within-country trends; cross-country levels are limited by source units and classification differences,Luke product codes filtered by HS-like prefixes.
fi_meat_imports,FI,2015-09,monthly,imports,meat,Meat,Luke agri-food foreign trade,Luke_maa_Ukaup_kk.px,1000 EUR,16933.000,02*,broad food group proxy,good for within-country trends; cross-country levels are limited by source units and classification differences,Luke product codes filtered by HS-like prefixes.
fi_meat_imports,FI,2015-10,monthly,imports,meat,Meat,Luke agri-food foreign trade,Luke_maa_Ukaup_kk.px,1000 EUR,18175.000,02*,broad food group proxy,good for within-country trends; cross-country levels are limited by source units and classification differences,Luke product codes filtered by HS-like prefixes.
fi_meat_imports,FI,2015-11,monthly,imports,meat,Meat,Luke agri-food foreign trade,Luke_maa_Ukaup_kk.px,1000 EUR,19148.000,02*,broad food group proxy,good for within-country trends; cross-country levels are limited by source units and classification differences,Luke product codes filtered by HS-like prefixes.
fi_meat_imports,FI,2015-12,monthly,imports,meat,Meat,Luke agri-food foreign trade,Luke_maa_Ukaup_kk.px,1000 EUR,17489.000,02*,broad food group proxy,good for within-country trends; cross-country levels are limited by source units and classification differences,Luke product codes filtered by HS-like prefixes.
fi_meat_imports,FI,2016-01,monthly,imports,meat,Meat,Luke agri-food foreign trade,Luke_maa_Ukaup_kk.px,1000 EUR,17209.000,02*,broad food group proxy,good for within-country trends; cross-country levels are limited by source units and classification differences,Luke product codes filtered by HS-like prefixes.
