country,year,commodity_group,commodity_group_label,flow,metric,unit,total_import_value,nordic_core_import_value,nordic_core_share,nordic_extended_import_value,nordic_extended_share,nordic_core_partner_codes,nordic_extended_partner_codes,source_name,dataset_or_table_id,source_raw_file,status,notes
DK,2022,cereals,Cereals and cereal preparations,imports,Import value,"DKK 1,000",8108733,1384914,0.170793,1384943,0.170796,FI;IS;NO;SE,FI;FO;GL;IS;NO;SE,StatBank imports and exports SITC,SITC2R4,research/data/nordic/trade-groups/raw-json/dk-food-group-imports-by-partner-monthly.json,partner_refetch,"Refetched from StatBank SITC2R4 with Nordic partner countries and W1 total; use shares, not cross-country values."
DK,2022,dairy_eggs,Dairy products and eggs,imports,Import value,"DKK 1,000",8915811,1067898,0.119776,1067903,0.119776,FI;IS;NO;SE,FI;FO;GL;IS;NO;SE,StatBank imports and exports SITC,SITC2R4,research/data/nordic/trade-groups/raw-json/dk-food-group-imports-by-partner-monthly.json,partner_refetch,"Refetched from StatBank SITC2R4 with Nordic partner countries and W1 total; use shares, not cross-country values."
DK,2022,fats_oils,Fats and oils,imports,Import value,"DKK 1,000",7777156,976952,0.125618,1059780,0.136268,FI;IS;NO;SE,FI;FO;GL;IS;NO;SE,StatBank imports and exports SITC,SITC2R4,research/data/nordic/trade-groups/raw-json/dk-food-group-imports-by-partner-monthly.json,partner_refetch,"Refetched from StatBank SITC2R4 with Nordic partner countries and W1 total; use shares, not cross-country values."
DK,2022,fish_seafood,Fish and seafood,imports,Import value,"DKK 1,000",24117952,9796580,0.406195,16710722,0.692875,FI;IS;NO;SE,FI;FO;GL;IS;NO;SE,StatBank imports and exports SITC,SITC2R4,research/data/nordic/trade-groups/raw-json/dk-food-group-imports-by-partner-monthly.json,partner_refetch,"Refetched from StatBank SITC2R4 with Nordic partner countries and W1 total; use shares, not cross-country values."
DK,2022,fruit_veg,Fruit and vegetables,imports,Import value,"DKK 1,000",13854001,1100485,0.079434,1100526,0.079437,FI;IS;NO;SE,FI;FO;GL;IS;NO;SE,StatBank imports and exports SITC,SITC2R4,research/data/nordic/trade-groups/raw-json/dk-food-group-imports-by-partner-monthly.json,partner_refetch,"Refetched from StatBank SITC2R4 with Nordic partner countries and W1 total; use shares, not cross-country values."
DK,2022,meat,Meat and meat preparations,imports,Import value,"DKK 1,000",12447910,861180,0.069183,861525,0.06921,FI;IS;NO;SE,FI;FO;GL;IS;NO;SE,StatBank imports and exports SITC,SITC2R4,research/data/nordic/trade-groups/raw-json/dk-food-group-imports-by-partner-monthly.json,partner_refetch,"Refetched from StatBank SITC2R4 with Nordic partner countries and W1 total; use shares, not cross-country values."
DK,2022,selected_food_basket,Selected food basket,imports,Import value,"DKK 1,000",75221563,15188009,0.20191,22185399,0.294934,FI;IS;NO;SE,FI;FO;GL;IS;NO;SE,StatBank imports and exports SITC,SITC2R4,research/data/nordic/trade-groups/raw-json/dk-food-group-imports-by-partner-monthly.json,partner_refetch,"Refetched from StatBank SITC2R4 with Nordic partner countries and W1 total; use shares, not cross-country values."
DK,2023,cereals,Cereals and cereal preparations,imports,Import value,"DKK 1,000",8002826,1473365,0.184106,1473367,0.184106,FI;IS;NO;SE,FI;FO;GL;IS;NO;SE,StatBank imports and exports SITC,SITC2R4,research/data/nordic/trade-groups/raw-json/dk-food-group-imports-by-partner-monthly.json,partner_refetch,"Refetched from StatBank SITC2R4 with Nordic partner countries and W1 total; use shares, not cross-country values."
DK,2023,dairy_eggs,Dairy products and eggs,imports,Import value,"DKK 1,000",8303278,1002463,0.120731,1002463,0.120731,FI;IS;NO;SE,FI;FO;GL;IS;NO;SE,StatBank imports and exports SITC,SITC2R4,research/data/nordic/trade-groups/raw-json/dk-food-group-imports-by-partner-monthly.json,partner_refetch,"Refetched from StatBank SITC2R4 with Nordic partner countries and W1 total; use shares, not cross-country values."
DK,2023,fats_oils,Fats and oils,imports,Import value,"DKK 1,000",7263718,1029086,0.141675,1463572,0.201491,FI;IS;NO;SE,FI;FO;GL;IS;NO;SE,StatBank imports and exports SITC,SITC2R4,research/data/nordic/trade-groups/raw-json/dk-food-group-imports-by-partner-monthly.json,partner_refetch,"Refetched from StatBank SITC2R4 with Nordic partner countries and W1 total; use shares, not cross-country values."
