theme,series_family,series_id,country,commodity_group,commodity_group_label,source_name,dataset_or_table_id,period,frequency,flow,metric,unit,value,share_of_selected_food_basket,selected_food_basket_total,code_family,source_code_rule,coverage,comparability,notes
trade,food_group_import_value_annual,dk_cereals_imports,DK,cereals,Cereals and cereal preparations,StatBank imports and exports SITC,SITC2R4,2022,annual,imports,Import value,"DKK 1,000",8108733.000,0.107798,75221563.000,SITC Rev.4 top-level,SITC 04,"rest of world, imports, border crossing principle",broad food-group import proxy,Broad food-group import proxy harmonized from national source classifications. Monthly coverage starts in 2022 in the ready SITC table.
trade,food_group_import_value_annual,dk_dairy_eggs_imports,DK,dairy_eggs,Dairy products and eggs,StatBank imports and exports SITC,SITC2R4,2022,annual,imports,Import value,"DKK 1,000",8915811.000,0.118527,75221563.000,SITC Rev.4 top-level,SITC 02,"rest of world, imports, border crossing principle",broad food-group import proxy,Broad food-group import proxy harmonized from national source classifications. Monthly coverage starts in 2022 in the ready SITC table. HS/CN chapter 04 also includes honey in the SE/FI sources.
trade,food_group_import_value_annual,dk_fats_oils_imports,DK,fats_oils,Fats and oils,StatBank imports and exports SITC,SITC2R4,2022,annual,imports,Import value,"DKK 1,000",7777156.000,0.103390,75221563.000,SITC Rev.4 top-level,SITC 41 + 42 + 43,"rest of world, imports, border crossing principle",broad food-group import proxy,Broad food-group import proxy harmonized from national source classifications. Monthly coverage starts in 2022 in the ready SITC table. SITC 41-43 mapped to HS/CN chapter 15 as a broad fats-and-oils proxy.
trade,food_group_import_value_annual,dk_fish_seafood_imports,DK,fish_seafood,Fish and seafood,StatBank imports and exports SITC,SITC2R4,2022,annual,imports,Import value,"DKK 1,000",24117952.000,0.320626,75221563.000,SITC Rev.4 top-level,SITC 03,"rest of world, imports, border crossing principle",broad food-group import proxy,Broad food-group import proxy harmonized from national source classifications. Monthly coverage starts in 2022 in the ready SITC table.
trade,food_group_import_value_annual,dk_fruit_veg_imports,DK,fruit_veg,Fruit and vegetables,StatBank imports and exports SITC,SITC2R4,2022,annual,imports,Import value,"DKK 1,000",13854001.000,0.184176,75221563.000,SITC Rev.4 top-level,SITC 05,"rest of world, imports, border crossing principle",broad food-group import proxy,Broad food-group import proxy harmonized from national source classifications. Monthly coverage starts in 2022 in the ready SITC table. SE/FI combine vegetables (07) and fruit or nuts (08) into one proxy basket.
trade,food_group_import_value_annual,dk_meat_imports,DK,meat,Meat and meat preparations,StatBank imports and exports SITC,SITC2R4,2022,annual,imports,Import value,"DKK 1,000",12447910.000,0.165483,75221563.000,SITC Rev.4 top-level,SITC 01,"rest of world, imports, border crossing principle",broad food-group import proxy,Broad food-group import proxy harmonized from national source classifications. Monthly coverage starts in 2022 in the ready SITC table.
trade,food_group_import_value_annual,dk_cereals_imports,DK,cereals,Cereals and cereal preparations,StatBank imports and exports SITC,SITC2R4,2023,annual,imports,Import value,"DKK 1,000",8002826.000,0.107609,74369579.000,SITC Rev.4 top-level,SITC 04,"rest of world, imports, border crossing principle",broad food-group import proxy,Broad food-group import proxy harmonized from national source classifications. Monthly coverage starts in 2022 in the ready SITC table.
trade,food_group_import_value_annual,dk_dairy_eggs_imports,DK,dairy_eggs,Dairy products and eggs,StatBank imports and exports SITC,SITC2R4,2023,annual,imports,Import value,"DKK 1,000",8303278.000,0.111649,74369579.000,SITC Rev.4 top-level,SITC 02,"rest of world, imports, border crossing principle",broad food-group import proxy,Broad food-group import proxy harmonized from national source classifications. Monthly coverage starts in 2022 in the ready SITC table. HS/CN chapter 04 also includes honey in the SE/FI sources.
trade,food_group_import_value_annual,dk_fats_oils_imports,DK,fats_oils,Fats and oils,StatBank imports and exports SITC,SITC2R4,2023,annual,imports,Import value,"DKK 1,000",7263718.000,0.097671,74369579.000,SITC Rev.4 top-level,SITC 41 + 42 + 43,"rest of world, imports, border crossing principle",broad food-group import proxy,Broad food-group import proxy harmonized from national source classifications. Monthly coverage starts in 2022 in the ready SITC table. SITC 41-43 mapped to HS/CN chapter 15 as a broad fats-and-oils proxy.
trade,food_group_import_value_annual,dk_fish_seafood_imports,DK,fish_seafood,Fish and seafood,StatBank imports and exports SITC,SITC2R4,2023,annual,imports,Import value,"DKK 1,000",23953063.000,0.322081,74369579.000,SITC Rev.4 top-level,SITC 03,"rest of world, imports, border crossing principle",broad food-group import proxy,Broad food-group import proxy harmonized from national source classifications. Monthly coverage starts in 2022 in the ready SITC table.
trade,food_group_import_value_annual,dk_fruit_veg_imports,DK,fruit_veg,Fruit and vegetables,StatBank imports and exports SITC,SITC2R4,2023,annual,imports,Import value,"DKK 1,000",14602104.000,0.196345,74369579.000,SITC Rev.4 top-level,SITC 05,"rest of world, imports, border crossing principle",broad food-group import proxy,Broad food-group import proxy harmonized from national source classifications. Monthly coverage starts in 2022 in the ready SITC table. SE/FI combine vegetables (07) and fruit or nuts (08) into one proxy basket.
trade,food_group_import_value_annual,dk_meat_imports,DK,meat,Meat and meat preparations,StatBank imports and exports SITC,SITC2R4,2023,annual,imports,Import value,"DKK 1,000",12244590.000,0.164645,74369579.000,SITC Rev.4 top-level,SITC 01,"rest of world, imports, border crossing principle",broad food-group import proxy,Broad food-group import proxy harmonized from national source classifications. Monthly coverage starts in 2022 in the ready SITC table.
trade,food_group_import_value_annual,dk_cereals_imports,DK,cereals,Cereals and cereal preparations,StatBank imports and exports SITC,SITC2R4,2024,annual,imports,Import value,"DKK 1,000",8876863.000,0.119979,73986764.000,SITC Rev.4 top-level,SITC 04,"rest of world, imports, border crossing principle",broad food-group import proxy,Broad food-group import proxy harmonized from national source classifications. Monthly coverage starts in 2022 in the ready SITC table.
trade,food_group_import_value_annual,dk_dairy_eggs_imports,DK,dairy_eggs,Dairy products and eggs,StatBank imports and exports SITC,SITC2R4,2024,annual,imports,Import value,"DKK 1,000",8697415.000,0.117554,73986764.000,SITC Rev.4 top-level,SITC 02,"rest of world, imports, border crossing principle",broad food-group import proxy,Broad food-group import proxy harmonized from national source classifications. Monthly coverage starts in 2022 in the ready SITC table. HS/CN chapter 04 also includes honey in the SE/FI sources.
trade,food_group_import_value_annual,dk_fats_oils_imports,DK,fats_oils,Fats and oils,StatBank imports and exports SITC,SITC2R4,2024,annual,imports,Import value,"DKK 1,000",6570740.000,0.088810,73986764.000,SITC Rev.4 top-level,SITC 41 + 42 + 43,"rest of world, imports, border crossing principle",broad food-group import proxy,Broad food-group import proxy harmonized from national source classifications. Monthly coverage starts in 2022 in the ready SITC table. SITC 41-43 mapped to HS/CN chapter 15 as a broad fats-and-oils proxy.
trade,food_group_import_value_annual,dk_fish_seafood_imports,DK,fish_seafood,Fish and seafood,StatBank imports and exports SITC,SITC2R4,2024,annual,imports,Import value,"DKK 1,000",22710469.000,0.306953,73986764.000,SITC Rev.4 top-level,SITC 03,"rest of world, imports, border crossing principle",broad food-group import proxy,Broad food-group import proxy harmonized from national source classifications. Monthly coverage starts in 2022 in the ready SITC table.
trade,food_group_import_value_annual,dk_fruit_veg_imports,DK,fruit_veg,Fruit and vegetables,StatBank imports and exports SITC,SITC2R4,2024,annual,imports,Import value,"DKK 1,000",15382624.000,0.207910,73986764.000,SITC Rev.4 top-level,SITC 05,"rest of world, imports, border crossing principle",broad food-group import proxy,Broad food-group import proxy harmonized from national source classifications. Monthly coverage starts in 2022 in the ready SITC table. SE/FI combine vegetables (07) and fruit or nuts (08) into one proxy basket.
trade,food_group_import_value_annual,dk_meat_imports,DK,meat,Meat and meat preparations,StatBank imports and exports SITC,SITC2R4,2024,annual,imports,Import value,"DKK 1,000",11748653.000,0.158794,73986764.000,SITC Rev.4 top-level,SITC 01,"rest of world, imports, border crossing principle",broad food-group import proxy,Broad food-group import proxy harmonized from national source classifications. Monthly coverage starts in 2022 in the ready SITC table.
trade,food_group_import_value_annual,dk_cereals_imports,DK,cereals,Cereals and cereal preparations,StatBank imports and exports SITC,SITC2R4,2025,annual,imports,Import value,"DKK 1,000",8597787.000,0.116100,74054774.000,SITC Rev.4 top-level,SITC 04,"rest of world, imports, border crossing principle",broad food-group import proxy,Broad food-group import proxy harmonized from national source classifications. Monthly coverage starts in 2022 in the ready SITC table.
trade,food_group_import_value_annual,dk_dairy_eggs_imports,DK,dairy_eggs,Dairy products and eggs,StatBank imports and exports SITC,SITC2R4,2025,annual,imports,Import value,"DKK 1,000",9105803.000,0.122960,74054774.000,SITC Rev.4 top-level,SITC 02,"rest of world, imports, border crossing principle",broad food-group import proxy,Broad food-group import proxy harmonized from national source classifications. Monthly coverage starts in 2022 in the ready SITC table. HS/CN chapter 04 also includes honey in the SE/FI sources.
trade,food_group_import_value_annual,dk_fats_oils_imports,DK,fats_oils,Fats and oils,StatBank imports and exports SITC,SITC2R4,2025,annual,imports,Import value,"DKK 1,000",6733213.000,0.090922,74054774.000,SITC Rev.4 top-level,SITC 41 + 42 + 43,"rest of world, imports, border crossing principle",broad food-group import proxy,Broad food-group import proxy harmonized from national source classifications. Monthly coverage starts in 2022 in the ready SITC table. SITC 41-43 mapped to HS/CN chapter 15 as a broad fats-and-oils proxy.
trade,food_group_import_value_annual,dk_fish_seafood_imports,DK,fish_seafood,Fish and seafood,StatBank imports and exports SITC,SITC2R4,2025,annual,imports,Import value,"DKK 1,000",20958133.000,0.283009,74054774.000,SITC Rev.4 top-level,SITC 03,"rest of world, imports, border crossing principle",broad food-group import proxy,Broad food-group import proxy harmonized from national source classifications. Monthly coverage starts in 2022 in the ready SITC table.
trade,food_group_import_value_annual,dk_fruit_veg_imports,DK,fruit_veg,Fruit and vegetables,StatBank imports and exports SITC,SITC2R4,2025,annual,imports,Import value,"DKK 1,000",16150737.000,0.218092,74054774.000,SITC Rev.4 top-level,SITC 05,"rest of world, imports, border crossing principle",broad food-group import proxy,Broad food-group import proxy harmonized from national source classifications. Monthly coverage starts in 2022 in the ready SITC table. SE/FI combine vegetables (07) and fruit or nuts (08) into one proxy basket.
