theme,series_family,series_id,country,commodity_group,commodity_group_label,source_name,dataset_or_table_id,period,frequency,flow,metric,unit,value,share_of_selected_food_basket,selected_food_basket_total,code_family,source_code_rule,coverage,comparability,notes
trade,food_group_import_value_monthly,dk_cereals_imports,DK,cereals,Cereals and cereal preparations,StatBank imports and exports SITC,SITC2R4,2022-01,monthly,imports,Import value,"DKK 1,000",521798.000,,,SITC Rev.4 top-level,SITC 04,"rest of world, imports, border crossing principle",broad food-group import proxy,Broad food-group import proxy harmonized from national source classifications. Monthly coverage starts in 2022 in the ready SITC table.
trade,food_group_import_value_monthly,dk_dairy_eggs_imports,DK,dairy_eggs,Dairy products and eggs,StatBank imports and exports SITC,SITC2R4,2022-01,monthly,imports,Import value,"DKK 1,000",538544.000,,,SITC Rev.4 top-level,SITC 02,"rest of world, imports, border crossing principle",broad food-group import proxy,Broad food-group import proxy harmonized from national source classifications. Monthly coverage starts in 2022 in the ready SITC table. HS/CN chapter 04 also includes honey in the SE/FI sources.
trade,food_group_import_value_monthly,dk_fats_oils_imports,DK,fats_oils,Fats and oils,StatBank imports and exports SITC,SITC2R4,2022-01,monthly,imports,Import value,"DKK 1,000",462205.000,,,SITC Rev.4 top-level,SITC 41 + 42 + 43,"rest of world, imports, border crossing principle",broad food-group import proxy,Broad food-group import proxy harmonized from national source classifications. Monthly coverage starts in 2022 in the ready SITC table. SITC 41-43 mapped to HS/CN chapter 15 as a broad fats-and-oils proxy.
trade,food_group_import_value_monthly,dk_fish_seafood_imports,DK,fish_seafood,Fish and seafood,StatBank imports and exports SITC,SITC2R4,2022-01,monthly,imports,Import value,"DKK 1,000",1549664.000,,,SITC Rev.4 top-level,SITC 03,"rest of world, imports, border crossing principle",broad food-group import proxy,Broad food-group import proxy harmonized from national source classifications. Monthly coverage starts in 2022 in the ready SITC table.
trade,food_group_import_value_monthly,dk_fruit_veg_imports,DK,fruit_veg,Fruit and vegetables,StatBank imports and exports SITC,SITC2R4,2022-01,monthly,imports,Import value,"DKK 1,000",1085428.000,,,SITC Rev.4 top-level,SITC 05,"rest of world, imports, border crossing principle",broad food-group import proxy,Broad food-group import proxy harmonized from national source classifications. Monthly coverage starts in 2022 in the ready SITC table. SE/FI combine vegetables (07) and fruit or nuts (08) into one proxy basket.
trade,food_group_import_value_monthly,dk_meat_imports,DK,meat,Meat and meat preparations,StatBank imports and exports SITC,SITC2R4,2022-01,monthly,imports,Import value,"DKK 1,000",797769.000,,,SITC Rev.4 top-level,SITC 01,"rest of world, imports, border crossing principle",broad food-group import proxy,Broad food-group import proxy harmonized from national source classifications. Monthly coverage starts in 2022 in the ready SITC table.
trade,food_group_import_value_monthly,dk_cereals_imports,DK,cereals,Cereals and cereal preparations,StatBank imports and exports SITC,SITC2R4,2022-02,monthly,imports,Import value,"DKK 1,000",592162.000,,,SITC Rev.4 top-level,SITC 04,"rest of world, imports, border crossing principle",broad food-group import proxy,Broad food-group import proxy harmonized from national source classifications. Monthly coverage starts in 2022 in the ready SITC table.
trade,food_group_import_value_monthly,dk_dairy_eggs_imports,DK,dairy_eggs,Dairy products and eggs,StatBank imports and exports SITC,SITC2R4,2022-02,monthly,imports,Import value,"DKK 1,000",605968.000,,,SITC Rev.4 top-level,SITC 02,"rest of world, imports, border crossing principle",broad food-group import proxy,Broad food-group import proxy harmonized from national source classifications. Monthly coverage starts in 2022 in the ready SITC table. HS/CN chapter 04 also includes honey in the SE/FI sources.
trade,food_group_import_value_monthly,dk_fats_oils_imports,DK,fats_oils,Fats and oils,StatBank imports and exports SITC,SITC2R4,2022-02,monthly,imports,Import value,"DKK 1,000",458048.000,,,SITC Rev.4 top-level,SITC 41 + 42 + 43,"rest of world, imports, border crossing principle",broad food-group import proxy,Broad food-group import proxy harmonized from national source classifications. Monthly coverage starts in 2022 in the ready SITC table. SITC 41-43 mapped to HS/CN chapter 15 as a broad fats-and-oils proxy.
trade,food_group_import_value_monthly,dk_fish_seafood_imports,DK,fish_seafood,Fish and seafood,StatBank imports and exports SITC,SITC2R4,2022-02,monthly,imports,Import value,"DKK 1,000",1502852.000,,,SITC Rev.4 top-level,SITC 03,"rest of world, imports, border crossing principle",broad food-group import proxy,Broad food-group import proxy harmonized from national source classifications. Monthly coverage starts in 2022 in the ready SITC table.
