Date,KPI_Indexed,PPI_Indexed,Spread
2015-01,90.93,87.91,3.02
2015-02,92.70,89.17,3.53
2015-03,91.39,89.38,2.01
2015-04,91.77,89.38,2.39
2015-05,93.26,90.01,3.25
2015-06,94.20,89.48,4.72
2015-07,95.98,90.43,5.55
2015-08,95.14,90.85,4.28
2015-09,95.32,90.64,4.68
2015-10,94.39,90.85,3.54
2015-11,95.04,91.27,3.77
2015-12,92.24,91.69,0.54
2016-01,92.52,92.43,0.09
2016-02,95.70,92.74,2.95
2016-03,92.61,93.59,-0.98
2016-04,95.42,93.69,1.73
2016-05,95.51,94.22,1.29
2016-06,96.45,94.53,1.91
2016-07,99.25,95.37,3.88
2016-08,98.22,95.06,3.16
2016-09,97.85,94.11,3.74
2016-10,97.38,94.32,3.06
2016-11,96.54,94.32,2.22
2016-12,93.83,94.64,-0.81
2017-01,94.39,93.90,0.49
2017-02,95.79,94.64,1.15
2017-03,95.42,94.64,0.78
2017-04,93.45,94.64,-1.19
2017-05,96.16,94.85,1.32
2017-06,97.29,94.64,2.65
2017-07,99.91,95.27,4.64
2017-08,96.54,95.16,1.38
2017-09,95.98,94.74,1.24
2017-10,96.26,94.53,1.73
2017-11,95.79,94.74,1.05
2017-12,94.39,94.53,-0.14
2018-01,96.82,96.00,0.82
2018-02,98.69,96.21,2.48
2018-03,96.91,96.85,0.07
2018-04,97.10,96.95,0.15
2018-05,97.19,96.85,0.35
2018-06,97.66,96.64,1.03
2018-07,101.22,96.11,5.11
2018-08,99.63,96.21,3.41
2018-09,99.25,96.21,3.04
2018-10,98.50,96.32,2.18
2018-11,99.91,96.21,3.69
2018-12,97.57,96.00,1.56
2019-01,97.94,97.06,0.89
2019-02,100.65,97.69,2.97
2019-03,99.72,97.58,2.14
2019-04,98.97,98.00,0.97
2019-05,98.13,98.21,-0.08
2019-06,98.88,98.11,0.77
2019-07,102.99,98.84,4.15
2019-08,100.56,99.58,0.98
2019-09,100.00,99.89,0.11
2019-10,98.88,100.11,-1.23
2019-11,99.06,100.84,-1.78
2019-12,97.19,100.63,-3.44
2020-01,100.00,100.00,0.00
2020-02,102.71,101.16,1.56
2020-03,102.43,101.26,1.17
2020-04,103.37,102.52,0.84
2020-05,102.71,102.52,0.19
2020-06,101.87,102.63,-0.76
2020-07,105.24,103.36,1.87
2020-08,104.30,102.84,1.46
2020-09,103.84,102.21,1.63
2020-10,102.99,102.00,1.00
2020-11,102.53,102.10,0.42
2020-12,99.91,101.89,-1.99
2021-01,100.75,101.79,-1.04
2021-02,102.81,102.42,0.39
2021-03,102.15,102.84,-0.69
2021-04,101.22,103.79,-2.57
2021-05,100.65,103.58,-2.92
2021-06,100.09,103.68,-3.59
2021-07,102.34,105.57,-3.23
2021-08,101.31,106.20,-4.89
2021-09,99.91,106.20,-6.30
2021-10,98.88,107.57,-8.69
2021-11,98.78,108.73,-9.94
2021-12,98.04,109.46,-11.43
2022-01,99.16,110.09,-10.94
2022-02,103.65,111.57,-7.92
2022-03,102.15,113.35,-11.20
2022-04,102.90,114.20,-11.30
2022-05,103.27,117.67,-14.39
2022-06,105.05,118.93,-13.88
2022-07,113.00,125.66,-12.65
2022-08,111.79,125.55,-13.77
2022-09,111.97,126.39,-14.42
2022-10,111.79,127.76,-15.97
2022-11,111.32,130.70,-19.39
2022-12,109.26,130.91,-21.65
2023-01,111.04,132.07,-21.03
2023-02,112.82,133.12,-20.31
2023-03,110.94,135.23,-24.28
2023-04,113.75,135.33,-21.58
2023-05,116.37,135.54,-19.17
2023-06,119.18,135.54,-16.36
2023-07,123.01,137.01,-14.00
2023-08,121.80,136.07,-14.27
2023-09,120.30,134.81,-14.51
2023-10,121.33,136.07,-14.74
2023-11,121.42,137.85,-16.43
2023-12,118.99,138.17,-19.18
2024-01,120.67,137.75,-17.08
2024-02,119.93,139.54,-19.61
2024-03,117.68,139.54,-21.86
2024-04,121.52,139.43,-17.92
2024-05,122.64,139.12,-16.48
2024-06,124.98,138.38,-13.40
2024-07,129.00,139.33,-10.33
2024-08,127.32,139.43,-12.12
2024-09,125.16,139.85,-14.69
2024-10,126.01,140.69,-14.69
2024-11,126.57,140.59,-14.02
2024-12,123.76,140.27,-16.51
2025-01,126.66,139.12,-12.46
2025-02,128.91,140.59,-11.68
2025-03,127.97,141.64,-13.67
2025-04,125.54,141.85,-16.31
2025-05,129.09,141.43,-12.34
2025-06,130.87,141.11,-10.24
2025-07,136.58,142.59,-6.01
2025-08,134.14,142.69,-8.55
2025-09,133.02,141.75,-8.72
2025-10,133.77,142.38,-8.61
2025-11,132.46,142.69,-10.23
