Date,KPI_14700,KPI_03013,PPI_12462,KPI_Indexed,PPI_Indexed,Spread,KPI_Archive_Indexed,KPI_Bridge_Delta
2015-01,69.500,97.200,83.600,90.85,87.91,2.94,90.926,-0.076
2015-02,70.900,99.100,84.800,92.68,89.17,3.51,92.703,-0.024
2015-03,69.900,97.700,85.000,91.37,89.38,1.99,91.394,-0.021
2015-04,70.200,98.100,85.000,91.76,89.38,2.39,91.768,-0.003
2015-05,71.300,99.700,85.600,93.20,90.01,3.19,93.265,-0.062
2015-06,72.100,100.700,85.100,94.25,89.48,4.76,94.200,0.048
2015-07,73.400,102.600,86.000,95.95,90.43,5.52,95.978,-0.030
2015-08,72.800,101.700,86.400,95.16,90.85,4.31,95.136,0.028
2015-09,72.900,101.900,86.200,95.29,90.64,4.65,95.323,-0.029
2015-10,72.200,100.900,86.400,94.38,90.85,3.53,94.387,-0.008
2015-11,72.700,101.600,86.800,95.03,91.27,3.76,95.042,-0.009
2015-12,70.500,98.600,87.200,92.16,91.69,0.46,92.236,-0.079
2016-01,70.800,98.900,87.900,92.55,92.43,0.12,92.516,0.033
2016-02,73.200,102.300,88.200,95.69,92.74,2.94,95.697,-0.011
2016-03,70.800,99.000,89.000,92.55,93.59,-1.04,92.610,-0.061
2016-04,72.900,102.000,89.100,95.29,93.69,1.60,95.416,-0.122
2016-05,73.000,102.100,89.600,95.42,94.22,1.21,95.510,-0.085
2016-06,73.700,103.100,89.900,96.34,94.53,1.81,96.445,-0.105
2016-07,75.900,106.100,90.700,99.22,95.37,3.84,99.252,-0.036
2016-08,75.100,105.000,90.400,98.17,95.06,3.11,98.223,-0.053
2016-09,74.800,104.600,89.500,97.78,94.11,3.67,97.848,-0.071
2016-10,74.500,104.100,89.700,97.39,94.32,3.06,97.381,0.005
2016-11,73.800,103.200,89.700,96.47,94.32,2.15,96.539,-0.068
2016-12,71.700,100.300,90.000,93.73,94.64,-0.91,93.826,-0.101
2017-01,72.200,100.900,89.300,94.38,93.90,0.48,94.387,-0.008
2017-02,73.300,102.400,90.000,95.82,94.64,1.18,95.790,0.027
2017-03,72.900,102.000,90.000,95.29,94.64,0.66,95.416,-0.122
2017-04,71.400,99.900,90.000,93.33,94.64,-1.30,93.452,-0.118
2017-05,73.500,102.800,90.200,96.08,94.85,1.23,96.165,-0.086
2017-06,74.400,104.000,90.000,97.25,94.64,2.62,97.287,-0.032
2017-07,76.400,106.800,90.600,99.87,95.27,4.60,99.906,-0.037
2017-08,73.800,103.200,90.500,96.47,95.16,1.31,96.539,-0.068
2017-09,73.400,102.600,90.100,95.95,94.74,1.21,95.978,-0.030
2017-10,73.600,102.900,89.900,96.21,94.53,1.68,96.258,-0.049
2017-11,73.300,102.400,90.100,95.82,94.74,1.07,95.790,0.027
2017-12,72.200,100.900,89.900,94.38,94.53,-0.15,94.387,-0.008
2018-01,74.000,103.500,91.300,96.73,96.00,0.73,96.819,-0.087
2018-02,75.500,105.500,91.500,98.69,96.21,2.48,98.690,0.002
2018-03,74.100,103.600,92.100,96.86,96.85,0.02,96.913,-0.050
2018-04,74.200,103.800,92.200,96.99,96.95,0.04,97.100,-0.107
2018-05,74.300,103.900,92.100,97.12,96.85,0.28,97.194,-0.069
2018-06,74.700,104.400,91.900,97.65,96.64,1.01,97.661,-0.014
2018-07,77.400,108.200,91.400,101.18,96.11,5.07,101.216,-0.040
2018-08,76.200,106.500,91.500,99.61,96.21,3.39,99.626,-0.018
2018-09,75.900,106.100,91.500,99.22,96.21,3.00,99.252,-0.036
2018-10,75.300,105.300,91.600,98.43,96.32,2.11,98.503,-0.072
2018-11,76.400,106.800,91.500,99.87,96.21,3.65,99.906,-0.037
2018-12,74.600,104.300,91.300,97.52,96.00,1.51,97.568,-0.051
2019-01,74.900,104.700,92.300,97.91,97.06,0.85,97.942,-0.034
2019-02,77.000,107.600,92.900,100.65,97.69,2.97,100.655,-0.001
2019-03,76.200,106.600,92.800,99.61,97.58,2.03,99.719,-0.112
2019-04,75.600,105.800,93.200,98.82,98.00,0.82,98.971,-0.147
2019-05,75.000,104.900,93.400,98.04,98.21,-0.17,98.129,-0.090
2019-06,75.600,105.700,93.300,98.82,98.11,0.72,98.877,-0.054
2019-07,78.800,110.100,94.000,103.01,98.84,4.16,102.993,0.013
2019-08,76.900,107.500,94.700,100.52,99.58,0.94,100.561,-0.038
2019-09,76.500,106.900,95.000,100.00,99.89,0.11,100.000,0.000
2019-10,75.600,105.700,95.200,98.82,100.11,-1.28,98.877,-0.054
2019-11,75.800,105.900,95.900,99.08,100.84,-1.76,99.065,0.020
2019-12,74.300,103.900,95.700,97.12,100.63,-3.51,97.194,-0.069
2020-01,76.500,106.900,95.100,100.00,100.00,0.00,100.000,0.000
2020-02,78.500,109.800,96.200,102.61,101.16,1.46,102.713,-0.098
2020-03,78.300,109.500,96.300,102.35,101.26,1.09,102.432,-0.079
2020-04,79.000,110.500,97.500,103.27,102.52,0.74,103.368,-0.100
2020-05,78.500,109.800,97.500,102.61,102.52,0.09,102.713,-0.098
2020-06,77.900,108.900,97.600,101.83,102.63,-0.80,101.871,-0.041
2020-07,80.500,112.500,98.300,105.23,103.36,1.86,105.239,-0.010
2020-08,79.800,111.500,97.800,104.31,102.84,1.47,104.303,0.011
2020-09,79.400,111.000,97.200,103.79,102.21,1.58,103.835,-0.045
2020-10,78.700,110.100,97.000,102.88,102.00,0.88,102.993,-0.118
2020-11,78.400,109.600,97.100,102.48,102.10,0.38,102.526,-0.042
2020-12,76.400,106.800,96.900,99.87,101.89,-2.02,99.906,-0.037
2021-01,77.000,107.700,96.800,100.65,101.79,-1.13,100.748,-0.095
2021-02,78.600,109.900,97.400,102.75,102.42,0.33,102.806,-0.061
2021-03,78.100,109.200,97.800,102.09,102.84,-0.75,102.152,-0.060
2021-04,77.400,108.200,98.700,101.18,103.79,-2.61,101.216,-0.040
2021-05,77.000,107.600,98.500,100.65,103.58,-2.92,100.655,-0.001
2021-06,76.500,107.000,98.600,100.00,103.68,-3.68,100.094,-0.094
2021-07,78.200,109.400,100.400,102.22,105.57,-3.35,102.339,-0.116
2021-08,77.500,108.300,101.000,101.31,106.20,-4.90,101.310,-0.002
2021-09,76.400,106.800,101.000,99.87,106.20,-6.33,99.906,-0.037
2021-10,75.600,105.700,102.300,98.82,107.57,-8.75,98.877,-0.054
2021-11,75.600,105.600,103.400,98.82,108.73,-9.90,98.784,0.040
2021-12,74.900,104.800,104.100,97.91,109.46,-11.56,98.036,-0.127
2022-01,75.800,106.000,104.700,99.08,110.09,-11.01,99.158,-0.073
2022-02,79.300,110.800,106.100,103.66,111.57,-7.91,103.648,0.012
2022-03,78.100,109.200,107.800,102.09,113.35,-11.26,102.152,-0.060
2022-04,78.700,110.000,108.600,102.88,114.20,-11.32,102.900,-0.024
2022-05,79.000,110.400,111.900,103.27,117.67,-14.40,103.274,-0.006
