Year,CropCode,CropType,AreaDekar
1969,01,Jordbruksareal i drift,9553335
1969,02,Fulldyrka jord,7967909
1969,03,Åker og hage,3383931
1969,04a,Korn og oljevekstar til mogning,2522396
1969,05,Kveite,38274
1969,06,Rug,13385
1969,07,Bygg,1847131
1969,08,Havre,541199
1969,08a,Blandkorn og erter til mogning,4763
1969,09a,Oljevekstar til mogning,77645
1969,10,Potet,326437
1969,11,"Rotvekster til fôr, grønfôr og silovekstar",69960
1969,11a,Grønfôr- og silovekstar,208307
1969,12,Grønsaker på friland,51924
1969,12a,Jordbær,12440
1969,13a,Andre vekstar på åker og i hage,115879
1969,13b,Brakk,76587
1969,14,Eng til slått og beite,6169405
1969,15,Fulldyrka eng,4583978
1969,16,Anna eng og beite,1585427
1979,01,Jordbruksareal i drift,9535278
1979,02,Fulldyrka jord,8303575
1979,03,Åker og hage,4146786
1979,04a,Korn og oljevekstar til mogning,3252271
1979,05,Kveite,170021
1979,06,Rug,16855
1979,07,Bygg,2000838
1979,08,Havre,1006720
1979,08a,Blandkorn og erter til mogning,4526
1979,09a,Oljevekstar til mogning,53311
1979,10,Potet,214013
1979,11,"Rotvekster til fôr, grønfôr og silovekstar",29499
1979,11a,Grønfôr- og silovekstar,290637
1979,12,Grønsaker på friland,55218
1979,12a,Jordbær,16439
1979,13a,Andre vekstar på åker og i hage,182262
1979,13b,Brakk,106447
1979,14,Eng til slått og beite,5388492
1979,15,Fulldyrka eng,4156789
1979,16,Anna eng og beite,1231703
1989,01,Jordbruksareal i drift,9910773
1989,02,Fulldyrka jord,8817538
1989,03,Åker og hage,4432425
1989,04a,Korn og oljevekstar til mogning,3529803
1989,05,Kveite,382484
1989,06,Rug,4245
1989,07,Bygg,1759910
1989,08,Havre,1321950
1989,09a,Oljevekstar til mogning,61215
1989,10,Potet,188910
1989,11,"Rotvekster til fôr, grønfôr og silovekstar",25726
1989,11a,Grønfôr- og silovekstar,371611
1989,12,Grønsaker på friland,57030
1989,12a,Jordbær,14241
1989,13a,Andre vekstar på åker og i hage,156089
1989,13b,Brakk,89015
1989,14,Eng til slått og beite,5478349
1989,15,Fulldyrka eng,4385114
1989,16,Anna eng og beite,1093235
1999,01,Jordbruksareal i drift,10382466
1999,02,Fulldyrka jord,8871235
1999,03,Åker og hage,3994611
1999,04a,Korn og oljevekstar til mogning,3345392
1999,05,Kveite,515798
1999,06,Rug,14557
1999,06a,Rugkveite,12334
1999,07,Bygg,1825917
1999,08,Havre,913130
1999,09a,Oljevekstar til mogning,63656
1999,10,Potet,148522
1999,11,"Rotvekster til fôr, grønfôr og silovekstar",3913
1999,11a,Grønfôr- og silovekstar,307515
1999,12,Grønsaker på friland,60187
1999,12a,Jordbær,16787
1999,13a,Andre vekstar på åker og i hage,91891
1999,13b,Brakk,20400
1999,14,Eng til slått og beite,6387855
1999,15,Fulldyrka eng,4876624
1999,16,Anna eng og beite,1511231
1999,17,Overflatedyrka eng,295165
1999,18,Innmarksbeite,1216066
2000,01,Jordbruksareal i drift,10421798
2000,02,Fulldyrka jord,8840505
2000,03,Åker og hage,3984476
2000,04a,Korn og oljevekstar til mogning,3363254
2000,05,Kveite,680929
2000,06a,Rugkveite,38317
2000,07,Bygg,1627432
2000,08,Havre,959346
2000,09a,Oljevekstar til mogning,57230
2000,10,Potet,151127
2000,11a,Grønfôr- og silovekstar,284865
2000,12,Grønsaker på friland,60611
2000,12a,Jordbær,17324
2000,13a,Andre vekstar på åker og i hage,87370
2000,13b,Brakk,19925
2000,14,Eng til slått og beite,6437322
2000,15,Fulldyrka eng,4856029
2000,16,Anna eng og beite,1581293
2000,17,Overflatedyrka eng,289967
2000,18,Innmarksbeite,1291326
2001,01,Jordbruksareal i drift,10467172
2001,02,Fulldyrka jord,8861809
2001,03,Åker og hage,3996958
2001,04a,Korn og oljevekstar til mogning,3389895
2001,05,Kveite,636014
2001,06a,Rugkveite,27564
2001,07,Bygg,1768465
2001,08,Havre,849081
2001,09a,Oljevekstar til mogning,108771
2001,10,Potet,152387
2001,11a,Grønfôr- og silovekstar,270793
2001,12,Grønsaker på friland,63781
2001,12a,Jordbær,17624
2001,13a,Andre vekstar på åker og i hage,82477
2001,13b,Brakk,20001
2001,14,Eng til slått og beite,6470214
2001,15,Fulldyrka eng,4864851
2001,16,Anna eng og beite,1605363
2001,17,Overflatedyrka eng,282437
2001,18,Innmarksbeite,1322926
2002,01,Jordbruksareal i drift,10466217
2002,02,Fulldyrka jord,8831474
2002,03,Åker og hage,3914499
2002,04a,Korn og oljevekstar til mogning,3378096
2002,05,Kveite,637917
2002,06a,Rugkveite,24066
2002,07,Bygg,1806020
2002,08,Havre,800163
2002,09a,Oljevekstar til mogning,109930
2002,10,Potet,152264
2002,11a,Grønfôr- og silovekstar,206181
2002,12,Grønsaker på friland,62186
2002,12a,Jordbær,18949
2002,13a,Andre vekstar på åker og i hage,81089
2002,13b,Brakk,15734
2002,14,Eng til slått og beite,6551718
2002,15,Fulldyrka eng,4916975
2002,16,Anna eng og beite,1634743
2002,17,Overflatedyrka eng,280666
2002,18,Innmarksbeite,1354077
2003,01,Jordbruksareal i drift,10403856
2003,02,Fulldyrka jord,8759425
2003,03,Åker og hage,3854297
2003,04a,Korn og oljevekstar til mogning,3342123
2003,05,Kveite,757563
2003,06a,Rugkveite,44580
2003,07,Bygg,1616154
2003,08,Havre,848462
2003,09a,Oljevekstar til mogning,75364
2003,10,Potet,145758
2003,11a,Grønfôr- og silovekstar,196288
2003,12,Grønsaker på friland,64451
2003,12a,Jordbær,18211
2003,13a,Andre vekstar på åker og i hage,71391
2003,13b,Brakk,16075
2003,14,Eng til slått og beite,6549559
2003,15,Fulldyrka eng,4905128
2003,16,Anna eng og beite,1644431
2003,17,Overflatedyrka eng,273820
2003,18,Innmarksbeite,1370611
2004,01,Jordbruksareal i drift,10397288
2004,02,Fulldyrka jord,8736957
2004,03,Åker og hage,3845468
2004,04a,Korn og oljevekstar til mogning,3351195
2004,05,Kveite,853414
2004,06a,Rugkveite,72368
2004,07,Bygg,1490249
2004,08,Havre,866627
2004,09a,Oljevekstar til mogning,68537
2004,10,Potet,141857
2004,11a,Grønfôr- og silovekstar,176259
2004,12,Grønsaker på friland,64640
2004,12a,Jordbær,17543
2004,13a,Andre vekstar på åker og i hage,81451
2004,13b,Brakk,12523
2004,14,Eng til slått og beite,6551820
2004,15,Fulldyrka eng,4891489
2004,16,Anna eng og beite,1660331
2004,17,Overflatedyrka eng,269506
2004,18,Innmarksbeite,1390825
2005,01,Jordbruksareal i drift,10354236
2005,02,Fulldyrka jord,8662462
2005,03,Åker og hage,3804475
2005,04a,Korn og oljevekstar til mogning,3319047
2005,05,Kveite,808168
2005,06a,Rugkveite,69400
2005,07,Bygg,1632987
2005,08,Havre,741557
2005,09a,Oljevekstar til mogning,66935
2005,10,Potet,137344
2005,11a,Grønfôr- og silovekstar,155402
2005,12,Grønsaker på friland,68635
2005,12a,Jordbær,17524
2005,13a,Andre vekstar på åker og i hage,94886
2005,13b,Brakk,11637
2005,14,Eng til slått og beite,6549761
2005,15,Fulldyrka eng,4857987
2005,16,Anna eng og beite,1691774
2005,17,Overflatedyrka eng,267700
2005,18,Innmarksbeite,1424074
2006,01,Jordbruksareal i drift,10344607
2006,02,Fulldyrka jord,8627623
2006,03,Åker og hage,3731323
2006,04a,Korn og oljevekstar til mogning,3246945
2006,05,Kveite,857477
2006,06a,Rugkveite,60583
2006,07,Bygg,1524260
2006,08,Havre,739486
2006,09a,Oljevekstar til mogning,65139
2006,10,Potet,140460
2006,11a,Grønfôr- og silovekstar,149117
2006,12,Grønsaker på friland,69774
2006,12a,Jordbær,17894
2006,13a,Andre vekstar på åker og i hage,97343
2006,13b,Brakk,9790
2006,14,Eng til slått og beite,6613284
2006,15,Fulldyrka eng,4896300
2006,16,Anna eng og beite,1716984
2006,17,Overflatedyrka eng,261102
2006,18,Innmarksbeite,1455882
2007,01,Jordbruksareal i drift,10320198
2007,02,Fulldyrka jord,8574377
2007,03,Åker og hage,3668837
2007,04a,Korn og oljevekstar til mogning,3181056
2007,05,Kveite,912150
