Year,SpeciesCode,Species,Tonnes,Value1000NOK
1976,00,I alt,3476,
1976,80,Laks,1431,
1976,82A,Regnbueørret,2045,
1977,00,I alt,3932,
1977,80,Laks,2137,
1977,82A,Regnbueørret,1795,
1978,00,I alt,6494,
1978,80,Laks,4389,
1978,82A,Regnbueørret,2105,
1979,00,I alt,7377,
1979,80,Laks,4389,
1979,82A,Regnbueørret,2988,
1980,00,I alt,7980,261072
1980,80,Laks,4312,189566
1980,82A,Regnbueørret,3668,71506
1981,00,I alt,13042,352449
1981,80,Laks,8418,272058
1981,82A,Regnbueørret,4624,80391
1982,00,I alt,15322,467921
1982,80,Laks,10695,372057
1982,82A,Regnbueørret,4627,95864
1983,00,I alt,22704,766735
1983,80,Laks,17299,648007
1983,82A,Regnbueørret,5405,118728
1984,00,I alt,25451,939470
1984,80,Laks,21882,845901
1984,82A,Regnbueørret,3569,93569
1985,00,I alt,34615,1433584
1985,80,Laks,29473,1293342
1985,82A,Regnbueørret,5142,140242
1986,00,I alt,49217,1665095
1986,80,Laks,44832,1569025
1986,82A,Regnbueørret,4385,96070
1987,00,I alt,54756,2001597
1987,80,Laks,46452,1824929
1987,82A,Regnbueørret,8304,176668
1988,00,I alt,88437,3238640
1988,80,Laks,78743,2993236
1988,82A,Regnbueørret,9694,245404
1989,00,I alt,114979,3529469
1989,80,Laks,111338,3446133
1989,82A,Regnbueørret,3641,83336
1990,00,I alt,149785,4791867
1990,80,Laks,145990,4702681
1990,82A,Regnbueørret,3795,89186
1992,00,I alt,130719,3885006
1992,80,Laks,124137,3722395
1992,82A,Regnbueørret,6582,162611
1993,00,I alt,163931,4512043
1993,80,Laks,155580,4308319
1993,82A,Regnbueørret,8351,203724
1994,00,I alt,216828,5982764
1994,80,Laks,202460,5638989
1994,82A,Regnbueørret,14368,343775
1995,00,I alt,276225,6472174
1995,80,Laks,261521,6109662
1995,82A,Regnbueørret,14704,362512
1996,00,I alt,320523,6395607
1996,80,Laks,297557,5916011
1996,82A,Regnbueørret,22966,479596
1997,00,I alt,365876,7397796
1997,80,Laks,332581,6768840
1997,82A,Regnbueørret,33295,628956
1998,00,I alt,409238,8595497
1998,80,Laks,360807,7606646
1998,82A,Regnbueørret,48431,988851
1999,00,I alt,473848,10373828
1999,80,Laks,425156,9110631
1999,82A,Regnbueørret,48692,1263197
2000,00,I alt,488268,12079077
2000,80,Laks,439874,10907028
2000,82A,Regnbueørret,48394,1172049
2001,00,I alt,506191,9075190
2001,80,Laks,434778,7899536
2001,82A,Regnbueørret,71413,1175654
2002,00,I alt,550813,9238064
2002,07,Kveite,424,30323
2002,80,Laks,462452,7736691
2002,81A,Røye,319,12255
2002,82A,Regnbueørret,83115,1394290
2002,88,Torsk,1258,30011
2002,90,Skalldyr,2582,16107
2002,95,Andre fiskearter,663,18387
2003,00,I alt,584104,9612383
2003,07,Kveite,426,28952
2003,80,Laks,509470,8257473
2003,81A,Røye,272,10563
2003,82A,Regnbueørret,68687,1229415
2003,88,Torsk,2185,51587
2003,90,Skalldyr,1835,9571
2003,95,Andre fiskearter,1229,24822
2004,00,I alt,636740,11335362
2004,07,Kveite,648,43580
2004,80,Laks,563850,9862190
2004,81A,Røye,324,13351
2004,82A,Regnbueørret,63278,1286990
2004,88,Torsk,3165,72187
2004,90,Skalldyr,3817,21144
2004,95,Andre fiskearter,1658,35920
2005,00,I alt,661426,13750847
2005,07,Kveite,1197,73402
2005,80,Laks,586357,12178945
2005,81A,Røye,352,16140
2005,82A,Regnbueørret,58658,1256251
2005,88,Torsk,7409,157261
2005,90,Skalldyr,4904,23791
2005,95,Andre fiskearter,2549,45057
2006,00,I alt,711979,17608463
2006,07,Kveite,1185,71151
2006,80,Laks,629766,15575590
2006,81A,Røye,897,33290
2006,82A,Regnbueørret,62497,1578776
2006,88,Torsk,11087,261377
2006,90,Skalldyr,3749,21691
2006,95,Andre fiskearter,2798,66588
2007,00,I alt,842173,17527796
2007,07,Kveite,2308,114194
2007,80,Laks,744125,15496270
2007,81A,Røye,394,16344
2007,82A,Regnbueørret,77673,1553312
2007,88,Torsk,11104,247825
2007,90,Skalldyr,3204,18724
2007,95,Andre fiskearter,3365,81127
2008,00,I alt,848266,17461429
2008,07,Kveite,1587,111958
