Year,NACECode,Industry,Prob,BNPB,LOKO,DRI
1970,A64NP2X01,"Jordbruk, jakt og viltstell",5187,2818,670,1359
1970,A64NP2X03A,Fiske og fangst,1581,1148,94,1045
1970,A64NP2X03B,Akvakultur,0,0,0,0
1970,A64NP2X10_12,"Nærings-, drikkevare- og tobakksindustri",11557,2520,1525,864
1970,nr2310,¬¬ Næringsmidler u/fiskeforedling  inkl. drikkevarer og tobakk,9333,1979,1117,803
1970,nr2312,¬¬ Bearbeiding og konservering av fisk mv,2224,541,408,61
1970,nr23_6,Totalt for næringer,153946,79451,43631,22481
1970,pub2X03,"Fiske, fangst og akvakultur",1581,1148,94,1045
1971,A64NP2X01,"Jordbruk, jakt og viltstell",5605,3136,655,1610
1971,A64NP2X03A,Fiske og fangst,1742,1242,104,1044
1971,A64NP2X03B,Akvakultur,10,7,2,5
1971,A64NP2X10_12,"Nærings-, drikkevare- og tobakksindustri",12994,2870,1739,994
1971,nr2310,¬¬ Næringsmidler u/fiskeforedling  inkl. drikkevarer og tobakk,10246,2221,1275,888
1971,nr2312,¬¬ Bearbeiding og konservering av fisk mv,2748,649,464,106
1971,nr23_6,Totalt for næringer,172338,88373,50873,22096
1971,pub2X03,"Fiske, fangst og akvakultur",1752,1249,106,1049
1972,A64NP2X01,"Jordbruk, jakt og viltstell",5973,3311,628,1782
1972,A64NP2X03A,Fiske og fangst,1768,1220,106,931
1972,A64NP2X03B,Akvakultur,20,14,2,12
1972,A64NP2X10_12,"Nærings-, drikkevare- og tobakksindustri",14080,3210,2031,1055
1972,nr2310,¬¬ Næringsmidler u/fiskeforedling  inkl. drikkevarer og tobakk,11324,2535,1489,1007
1972,nr2312,¬¬ Bearbeiding og konservering av fisk mv,2756,675,542,48
1972,nr23_6,Totalt for næringer,188466,98472,57171,24024
1972,pub2X03,"Fiske, fangst og akvakultur",1788,1234,108,943
1973,A64NP2X01,"Jordbruk, jakt og viltstell",6369,3470,703,1906
1973,A64NP2X03A,Fiske og fangst,2130,1539,110,1186
1973,A64NP2X03B,Akvakultur,21,14,3,8
1973,A64NP2X10_12,"Nærings-, drikkevare- og tobakksindustri",15430,3417,2220,1036
1973,nr2310,¬¬ Næringsmidler u/fiskeforedling  inkl. drikkevarer og tobakk,12362,2662,1638,958
1973,nr2312,¬¬ Bearbeiding og konservering av fisk mv,3068,755,582,78
1973,nr23_6,Totalt for næringer,214059,112165,64463,28687
1973,pub2X03,"Fiske, fangst og akvakultur",2151,1553,113,1194
1974,A64NP2X01,"Jordbruk, jakt og viltstell",7234,3868,782,2307
1974,A64NP2X03A,Fiske og fangst,2446,1627,122,1176
1974,A64NP2X03B,Akvakultur,36,21,8,6
1974,A64NP2X10_12,"Nærings-, drikkevare- og tobakksindustri",18187,3828,2541,1090
1974,nr2310,¬¬ Næringsmidler u/fiskeforedling  inkl. drikkevarer og tobakk,14388,2963,1875,1008
1974,nr2312,¬¬ Bearbeiding og konservering av fisk mv,3799,865,666,82
1974,nr23_6,Totalt for næringer,259860,131528,74195,34460
1974,pub2X03,"Fiske, fangst og akvakultur",2482,1648,130,1182
1975,A64NP2X01,"Jordbruk, jakt og viltstell",8321,4440,880,2833
1975,A64NP2X03A,Fiske og fangst,2149,1223,140,703
1975,A64NP2X03B,Akvakultur,39,12,12,-11
1975,A64NP2X10_12,"Nærings-, drikkevare- og tobakksindustri",19729,4482,2873,1358
1975,nr2310,¬¬ Næringsmidler u/fiskeforedling  inkl. drikkevarer og tobakk,16129,3541,2195,1225
1975,nr2312,¬¬ Bearbeiding og konservering av fisk mv,3600,941,678,133
1975,nr23_6,Totalt for næringer,295835,150588,88252,36085
1975,pub2X03,"Fiske, fangst og akvakultur",2188,1235,152,692
1976,A64NP2X01,"Jordbruk, jakt og viltstell",9913,5338,955,3890
1976,A64NP2X03A,Fiske og fangst,3006,1938,146,1640
1976,A64NP2X03B,Akvakultur,83,35,17,3
1976,A64NP2X10_12,"Nærings-, drikkevare- og tobakksindustri",22962,4856,3343,1268
1976,nr2310,¬¬ Næringsmidler u/fiskeforedling  inkl. drikkevarer og tobakk,18301,3653,2532,1007
1976,nr2312,¬¬ Bearbeiding og konservering av fisk mv,4661,1203,811,261
1976,nr23_6,Totalt for næringer,336847,171973,103130,37925
1976,pub2X03,"Fiske, fangst og akvakultur",3089,1973,163,1643
