"behandlingsmåte","materialtype","år","statistikkvariabel","10513: Avfallsregnskap for Norge (1 000 tonn),"
"Avfallsbehandling i alt","I alt, uten lett forurensede masser","2012","Avfallsmengde",10483
"Avfallsbehandling i alt","I alt, uten lett forurensede masser","2013","Avfallsmengde",10495
"Avfallsbehandling i alt","I alt, uten lett forurensede masser","2014","Avfallsmengde",10725
"Avfallsbehandling i alt","I alt, uten lett forurensede masser","2015","Avfallsmengde",11051
"Avfallsbehandling i alt","I alt, uten lett forurensede masser","2016","Avfallsmengde",11390
"Avfallsbehandling i alt","I alt, uten lett forurensede masser","2017","Avfallsmengde",11865
"Avfallsbehandling i alt","I alt, uten lett forurensede masser","2018","Avfallsmengde",11822
"Avfallsbehandling i alt","I alt, uten lett forurensede masser","2019","Avfallsmengde",12217
"Avfallsbehandling i alt","I alt, uten lett forurensede masser","2020","Avfallsmengde",11596
"Avfallsbehandling i alt","I alt, uten lett forurensede masser","2021","Avfallsmengde",11577
"Avfallsbehandling i alt","I alt, uten lett forurensede masser","2022","Avfallsmengde",11941
"Avfallsbehandling i alt","I alt, uten lett forurensede masser","2023","Avfallsmengde",11100
"Avfallsbehandling i alt","I alt, uten lett forurensede masser","2024","Avfallsmengde",10969
"Avfallsbehandling i alt","Våtorganisk avfall","2012","Avfallsmengde",438
"Avfallsbehandling i alt","Våtorganisk avfall","2013","Avfallsmengde",413
"Avfallsbehandling i alt","Våtorganisk avfall","2014","Avfallsmengde",417
"Avfallsbehandling i alt","Våtorganisk avfall","2015","Avfallsmengde",482
"Avfallsbehandling i alt","Våtorganisk avfall","2016","Avfallsmengde",410
"Avfallsbehandling i alt","Våtorganisk avfall","2017","Avfallsmengde",521
"Avfallsbehandling i alt","Våtorganisk avfall","2018","Avfallsmengde",585
"Avfallsbehandling i alt","Våtorganisk avfall","2019","Avfallsmengde",639
"Avfallsbehandling i alt","Våtorganisk avfall","2020","Avfallsmengde",489
"Avfallsbehandling i alt","Våtorganisk avfall","2021","Avfallsmengde",463
"Avfallsbehandling i alt","Våtorganisk avfall","2022","Avfallsmengde",555
"Avfallsbehandling i alt","Våtorganisk avfall","2023","Avfallsmengde",618
"Avfallsbehandling i alt","Våtorganisk avfall","2024","Avfallsmengde",607
"Avfallsbehandling i alt","Park- og hageavfall","2012","Avfallsmengde",221
"Avfallsbehandling i alt","Park- og hageavfall","2013","Avfallsmengde",228
"Avfallsbehandling i alt","Park- og hageavfall","2014","Avfallsmengde",179
"Avfallsbehandling i alt","Park- og hageavfall","2015","Avfallsmengde",196
"Avfallsbehandling i alt","Park- og hageavfall","2016","Avfallsmengde",183
"Avfallsbehandling i alt","Park- og hageavfall","2017","Avfallsmengde",179
"Avfallsbehandling i alt","Park- og hageavfall","2018","Avfallsmengde",178
"Avfallsbehandling i alt","Park- og hageavfall","2019","Avfallsmengde",187
"Avfallsbehandling i alt","Park- og hageavfall","2020","Avfallsmengde",192
"Avfallsbehandling i alt","Park- og hageavfall","2021","Avfallsmengde",212
"Avfallsbehandling i alt","Park- og hageavfall","2022","Avfallsmengde",188
