"kilde","materialtype","år","statistikkvariabel","10514: Avfallsregnskap for Norge (1 000 tonn),"
"Avfallskilder i alt","I alt, uten lett forurensede masser","2012","Avfallsmengde",10483
"Avfallskilder i alt","I alt, uten lett forurensede masser","2013","Avfallsmengde",10495
"Avfallskilder i alt","I alt, uten lett forurensede masser","2014","Avfallsmengde",10725
"Avfallskilder i alt","I alt, uten lett forurensede masser","2015","Avfallsmengde",11051
"Avfallskilder i alt","I alt, uten lett forurensede masser","2016","Avfallsmengde",11390
"Avfallskilder i alt","I alt, uten lett forurensede masser","2017","Avfallsmengde",11865
"Avfallskilder i alt","I alt, uten lett forurensede masser","2018","Avfallsmengde",11822
"Avfallskilder i alt","I alt, uten lett forurensede masser","2019","Avfallsmengde",12217
"Avfallskilder i alt","I alt, uten lett forurensede masser","2020","Avfallsmengde",11596
"Avfallskilder i alt","I alt, uten lett forurensede masser","2021","Avfallsmengde",11577
"Avfallskilder i alt","I alt, uten lett forurensede masser","2022","Avfallsmengde",11941
"Avfallskilder i alt","I alt, uten lett forurensede masser","2023","Avfallsmengde",11100
"Avfallskilder i alt","I alt, uten lett forurensede masser","2024","Avfallsmengde",10969
"Avfallskilder i alt","Våtorganisk avfall","2012","Avfallsmengde",438
"Avfallskilder i alt","Våtorganisk avfall","2013","Avfallsmengde",413
"Avfallskilder i alt","Våtorganisk avfall","2014","Avfallsmengde",417
"Avfallskilder i alt","Våtorganisk avfall","2015","Avfallsmengde",482
"Avfallskilder i alt","Våtorganisk avfall","2016","Avfallsmengde",410
"Avfallskilder i alt","Våtorganisk avfall","2017","Avfallsmengde",521
"Avfallskilder i alt","Våtorganisk avfall","2018","Avfallsmengde",585
"Avfallskilder i alt","Våtorganisk avfall","2019","Avfallsmengde",639
"Avfallskilder i alt","Våtorganisk avfall","2020","Avfallsmengde",489
"Avfallskilder i alt","Våtorganisk avfall","2021","Avfallsmengde",463
"Avfallskilder i alt","Våtorganisk avfall","2022","Avfallsmengde",555
"Avfallskilder i alt","Våtorganisk avfall","2023","Avfallsmengde",618
"Avfallskilder i alt","Våtorganisk avfall","2024","Avfallsmengde",607
"Avfallskilder i alt","Park- og hageavfall","2012","Avfallsmengde",221
"Avfallskilder i alt","Park- og hageavfall","2013","Avfallsmengde",228
"Avfallskilder i alt","Park- og hageavfall","2014","Avfallsmengde",179
"Avfallskilder i alt","Park- og hageavfall","2015","Avfallsmengde",196
"Avfallskilder i alt","Park- og hageavfall","2016","Avfallsmengde",183
"Avfallskilder i alt","Park- og hageavfall","2017","Avfallsmengde",179
"Avfallskilder i alt","Park- og hageavfall","2018","Avfallsmengde",178
"Avfallskilder i alt","Park- og hageavfall","2019","Avfallsmengde",187
