Year,NACECode,Industry,Employed1000
2008,00-99,Alle næringer,2505
2008,01-03,"Jordbruk, skogbruk og fiske",67
2008,05-09,Bergverksdrift og utvinning,42
2008,10-33,Industri,260
2008,35-39,"Elektrisitet, vann og renovasjon",29
2008,41-43,Bygge- og anleggsvirksomhet,186
2008,45-47,"Varehandel, reparasjon av motorvogner",356
2008,49-53,Transport og lagring,136
2008,55-56,Overnattings- og serveringsvirksomhet,71
2008,58-63,Informasjon og kommunikasjon,94
2008,64-66,Finansiering og forsikring,52
2008,68-75,"Teknisk tjenesteyting, eiendomsdrift",152
2008,77-82,Forretningsmessig tjenesteyting,105
2008,84,"Off.adm., forsvar, sosialforsikring",146
2008,85,Undervisning,217
2008,86-88,Helse- og sosialtjenester,500
2008,90-99,Personlig tjenesteyting,87
2009,00-99,Alle næringer,2495
2009,01-03,"Jordbruk, skogbruk og fiske",66
2009,05-09,Bergverksdrift og utvinning,45
2009,10-33,Industri,245
2009,35-39,"Elektrisitet, vann og renovasjon",30
2009,41-43,Bygge- og anleggsvirksomhet,179
2009,45-47,"Varehandel, reparasjon av motorvogner",345
2009,49-53,Transport og lagring,135
2009,55-56,Overnattings- og serveringsvirksomhet,70
2009,58-63,Informasjon og kommunikasjon,91
2009,64-66,Finansiering og forsikring,50
2009,68-75,"Teknisk tjenesteyting, eiendomsdrift",162
2009,77-82,Forretningsmessig tjenesteyting,100
2009,84,"Off.adm., forsvar, sosialforsikring",154
2009,85,Undervisning,205
2009,86-88,Helse- og sosialtjenester,519
2009,90-99,Personlig tjenesteyting,98
2010,00-99,Alle næringer,2498
2010,01-03,"Jordbruk, skogbruk og fiske",64
2010,05-09,Bergverksdrift og utvinning,46
2010,10-33,Industri,234
2010,35-39,"Elektrisitet, vann og renovasjon",29
2010,41-43,Bygge- og anleggsvirksomhet,178
2010,45-47,"Varehandel, reparasjon av motorvogner",339
2010,49-53,Transport og lagring,141
2010,55-56,Overnattings- og serveringsvirksomhet,71
2010,58-63,Informasjon og kommunikasjon,90
2010,64-66,Finansiering og forsikring,50
2010,68-75,"Teknisk tjenesteyting, eiendomsdrift",159
2010,77-82,Forretningsmessig tjenesteyting,100
2010,84,"Off.adm., forsvar, sosialforsikring",154
2010,85,Undervisning,206
2010,86-88,Helse- og sosialtjenester,532
2010,90-99,Personlig tjenesteyting,102
2011,00-99,Alle næringer,2542
2011,01-03,"Jordbruk, skogbruk og fiske",61
2011,05-09,Bergverksdrift og utvinning,53
2011,10-33,Industri,236
2011,35-39,"Elektrisitet, vann og renovasjon",31
2011,41-43,Bygge- og anleggsvirksomhet,186
2011,45-47,"Varehandel, reparasjon av motorvogner",348
2011,49-53,Transport og lagring,145
2011,55-56,Overnattings- og serveringsvirksomhet,69
2011,58-63,Informasjon og kommunikasjon,94
2011,64-66,Finansiering og forsikring,51
