"region","materiale","behandling","nedstrømsløsning","år","statistikkvariabel","13136: Avfall frå hushalda,"
"EAK Landet","0 I alt","Ialt","I alt","2015","Mengd (tonn)",2288135.5
"EAK Landet","0 I alt","Ialt","I alt","2016","Mengd (tonn)",2276919.6
"EAK Landet","0 I alt","Ialt","I alt","2017","Mengd (tonn)",2254846.6
"EAK Landet","0 I alt","Ialt","I alt","2018","Mengd (tonn)",2240096.0
"EAK Landet","0 I alt","Ialt","I alt","2019","Mengd (tonn)",2274906.3
"EAK Landet","0 I alt","Ialt","I alt","2020","Mengd (tonn)",2418459.0
"EAK Landet","0 I alt","Ialt","I alt","2021","Mengd (tonn)",2335812.0
"EAK Landet","0 I alt","Ialt","I alt","2022","Mengd (tonn)",2123818.0
"EAK Landet","0 I alt","Ialt","I alt","2023","Mengd (tonn)",2090294.0
"EAK Landet","0 I alt","Ialt","I alt","2024","Mengd (tonn)",2122764.0
"EAK Landet","0 I alt","Ialt","I alt","2025","Mengd (tonn)",1963540.0
"EAK Landet","0 I alt","Ialt","Henteordning","2015","Mengd (tonn)",.
"EAK Landet","0 I alt","Ialt","Henteordning","2016","Mengd (tonn)",.
"EAK Landet","0 I alt","Ialt","Henteordning","2017","Mengd (tonn)",.
"EAK Landet","0 I alt","Ialt","Henteordning","2018","Mengd (tonn)",.
"EAK Landet","0 I alt","Ialt","Henteordning","2019","Mengd (tonn)",.
"EAK Landet","0 I alt","Ialt","Henteordning","2020","Mengd (tonn)",1266228.0
"EAK Landet","0 I alt","Ialt","Henteordning","2021","Mengd (tonn)",1266309.0
"EAK Landet","0 I alt","Ialt","Henteordning","2022","Mengd (tonn)",1198904.0
"EAK Landet","0 I alt","Ialt","Henteordning","2023","Mengd (tonn)",1155028.0
"EAK Landet","0 I alt","Ialt","Henteordning","2024","Mengd (tonn)",1152074.0
"EAK Landet","0 I alt","Ialt","Henteordning","2025","Mengd (tonn)",1039823.0
"EAK Landet","0 I alt","Ialt","Gjenvinningsstasjon","2015","Mengd (tonn)",.
"EAK Landet","0 I alt","Ialt","Gjenvinningsstasjon","2016","Mengd (tonn)",.
"EAK Landet","0 I alt","Ialt","Gjenvinningsstasjon","2017","Mengd (tonn)",.
"EAK Landet","0 I alt","Ialt","Gjenvinningsstasjon","2018","Mengd (tonn)",.
"EAK Landet","0 I alt","Ialt","Gjenvinningsstasjon","2019","Mengd (tonn)",.
"EAK Landet","0 I alt","Ialt","Gjenvinningsstasjon","2020","Mengd (tonn)",1152231.0
"EAK Landet","0 I alt","Ialt","Gjenvinningsstasjon","2021","Mengd (tonn)",1069503.0
"EAK Landet","0 I alt","Ialt","Gjenvinningsstasjon","2022","Mengd (tonn)",924914.0
"EAK Landet","0 I alt","Ialt","Gjenvinningsstasjon","2023","Mengd (tonn)",935266.0
"EAK Landet","0 I alt","Ialt","Gjenvinningsstasjon","2024","Mengd (tonn)",970690.0
"EAK Landet","0 I alt","Ialt","Gjenvinningsstasjon","2025","Mengd (tonn)",923717.0
"EAK Landet","0 I alt","Materialgjenvinning","I alt","2015","Mengd (tonn)",527411.3
"EAK Landet","0 I alt","Materialgjenvinning","I alt","2016","Mengd (tonn)",535704.4
"EAK Landet","0 I alt","Materialgjenvinning","I alt","2017","Mengd (tonn)",547123.2
"EAK Landet","0 I alt","Materialgjenvinning","I alt","2018","Mengd (tonn)",545616.8
"EAK Landet","0 I alt","Materialgjenvinning","I alt","2019","Mengd (tonn)",561718.4
"EAK Landet","0 I alt","Materialgjenvinning","I alt","2020","Mengd (tonn)",631840.0
"EAK Landet","0 I alt","Materialgjenvinning","I alt","2021","Mengd (tonn)",634584.0
"EAK Landet","0 I alt","Materialgjenvinning","I alt","2022","Mengd (tonn)",586187.0
"EAK Landet","0 I alt","Materialgjenvinning","I alt","2023","Mengd (tonn)",569553.0
"EAK Landet","0 I alt","Materialgjenvinning","I alt","2024","Mengd (tonn)",588369.0
"EAK Landet","0 I alt","Materialgjenvinning","I alt","2025","Mengd (tonn)",600552.0
"EAK Landet","0 I alt","Materialgjenvinning","Henteordning","2015","Mengd (tonn)",.
"EAK Landet","0 I alt","Materialgjenvinning","Henteordning","2016","Mengd (tonn)",.
"EAK Landet","0 I alt","Materialgjenvinning","Henteordning","2017","Mengd (tonn)",.
"EAK Landet","0 I alt","Materialgjenvinning","Henteordning","2018","Mengd (tonn)",.
"EAK Landet","0 I alt","Materialgjenvinning","Henteordning","2019","Mengd (tonn)",.
"EAK Landet","0 I alt","Materialgjenvinning","Henteordning","2020","Mengd (tonn)",316528.0
"EAK Landet","0 I alt","Materialgjenvinning","Henteordning","2021","Mengd (tonn)",324945.0
"EAK Landet","0 I alt","Materialgjenvinning","Henteordning","2022","Mengd (tonn)",298590.0
"EAK Landet","0 I alt","Materialgjenvinning","Henteordning","2023","Mengd (tonn)",277979.0
"EAK Landet","0 I alt","Materialgjenvinning","Henteordning","2024","Mengd (tonn)",274193.0
"EAK Landet","0 I alt","Materialgjenvinning","Henteordning","2025","Mengd (tonn)",260425.0
"EAK Landet","0 I alt","Materialgjenvinning","Gjenvinningsstasjon","2015","Mengd (tonn)",.
"EAK Landet","0 I alt","Materialgjenvinning","Gjenvinningsstasjon","2016","Mengd (tonn)",.
"EAK Landet","0 I alt","Materialgjenvinning","Gjenvinningsstasjon","2017","Mengd (tonn)",.
"EAK Landet","0 I alt","Materialgjenvinning","Gjenvinningsstasjon","2018","Mengd (tonn)",.
"EAK Landet","0 I alt","Materialgjenvinning","Gjenvinningsstasjon","2019","Mengd (tonn)",.
"EAK Landet","0 I alt","Materialgjenvinning","Gjenvinningsstasjon","2020","Mengd (tonn)",315312.0
"EAK Landet","0 I alt","Materialgjenvinning","Gjenvinningsstasjon","2021","Mengd (tonn)",309639.0
"EAK Landet","0 I alt","Materialgjenvinning","Gjenvinningsstasjon","2022","Mengd (tonn)",287597.0
"EAK Landet","0 I alt","Materialgjenvinning","Gjenvinningsstasjon","2023","Mengd (tonn)",291574.0
"EAK Landet","0 I alt","Materialgjenvinning","Gjenvinningsstasjon","2024","Mengd (tonn)",314176.0
"EAK Landet","0 I alt","Materialgjenvinning","Gjenvinningsstasjon","2025","Mengd (tonn)",340127.0
"EAK Landet","0 I alt","Forbrenning","I alt","2015","Mengd (tonn)",1322783.6
"EAK Landet","0 I alt","Forbrenning","I alt","2016","Mengd (tonn)",1322482.2
"EAK Landet","0 I alt","Forbrenning","I alt","2017","Mengd (tonn)",1282927.9
"EAK Landet","0 I alt","Forbrenning","I alt","2018","Mengd (tonn)",1245144.3
"EAK Landet","0 I alt","Forbrenning","I alt","2019","Mengd (tonn)",1233566.3
"EAK Landet","0 I alt","Forbrenning","I alt","2020","Mengd (tonn)",1278844.0
"EAK Landet","0 I alt","Forbrenning","I alt","2021","Mengd (tonn)",1225980.0
"EAK Landet","0 I alt","Forbrenning","I alt","2022","Mengd (tonn)",1095301.0
"EAK Landet","0 I alt","Forbrenning","I alt","2023","Mengd (tonn)",1059184.0
"EAK Landet","0 I alt","Forbrenning","I alt","2024","Mengd (tonn)",1050466.0
"EAK Landet","0 I alt","Forbrenning","I alt","2025","Mengd (tonn)",914756.0
