Year,SourceCode,Source,A10,K11,K12,K13
1990,0,Alle kilder,51196,34992,6701,3840
1990,2,Industri og bergverk,19139,11439,241,1852
1990,6,"Luftfart, sjøfart, fiske, motorredskaper m.m.",5298,5226,23,49
1990,7,Jordbruk,4918,221,2899,1797
1990,7.1,Jordbruk - husdyr og husdyrgjødsel,3208,,2868,340
1990,7.2,Jordbruk - kunstgjødsel og annet,1710,221,30,1458
1991,0,Alle kilder,48833,33450,6525,3706
1991,2,Industri og bergverk,17619,10579,231,1718
1991,6,"Luftfart, sjøfart, fiske, motorredskaper m.m.",5108,5038,21,48
1991,7,Jordbruk,4849,189,2864,1795
1991,7.1,Jordbruk - husdyr og husdyrgjødsel,3182,,2841,342
1991,7.2,Jordbruk - kunstgjødsel og annet,1667,189,24,1454
1992,0,Alle kilder,47295,34385,6618,3227
1992,2,Industri og bergverk,15377,10923,212,1245
1992,6,"Luftfart, sjøfart, fiske, motorredskaper m.m.",5460,5387,22,51
1992,7,Jordbruk,4822,154,2883,1784
1992,7.1,Jordbruk - husdyr og husdyrgjødsel,3215,,2870,345
1992,7.2,Jordbruk - kunstgjødsel og annet,1607,154,13,1440
1993,0,Alle kilder,49230,35930,6762,3401
1993,2,Industri og bergverk,16325,11647,216,1431
1993,6,"Luftfart, sjøfart, fiske, motorredskaper m.m.",5663,5585,23,55
1993,7,Jordbruk,4809,182,2862,1765
1993,7.1,Jordbruk - husdyr og husdyrgjødsel,3170,,2844,327
1993,7.2,Jordbruk - kunstgjødsel og annet,1638,182,18,1438
1994,0,Alle kilder,51167,37843,6852,3455
1994,2,Industri og bergverk,17274,12685,215,1492
1994,6,"Luftfart, sjøfart, fiske, motorredskaper m.m.",5857,5777,23,57
1994,7,Jordbruk,4800,158,2897,1745
1994,7.1,Jordbruk - husdyr og husdyrgjødsel,3213,,2884,329
1994,7.2,Jordbruk - kunstgjødsel og annet,1587,158,13,1416
1995,0,Alle kilder,51576,38449,6870,3488
1995,2,Industri og bergverk,16555,12271,211,1494
1995,6,"Luftfart, sjøfart, fiske, motorredskaper m.m.",6553,6470,27,56
1995,7,Jordbruk,4843,175,2898,1770
1995,7.1,Jordbruk - husdyr og husdyrgjødsel,3212,,2882,330
1995,7.2,Jordbruk - kunstgjødsel og annet,1631,175,16,1440
1996,0,Alle kilder,54475,41519,6870,3505
1996,2,Industri og bergverk,17165,13116,211,1480
1996,6,"Luftfart, sjøfart, fiske, motorredskaper m.m.",6960,6875,28,57
1996,7,Jordbruk,4879,156,2930,1793
1996,7.1,Jordbruk - husdyr og husdyrgjødsel,3249,,2913,336
1996,7.2,Jordbruk - kunstgjødsel og annet,1630,156,17,1457
1997,0,Alle kilder,54462,41623,6894,3497
1997,2,Industri og bergverk,16852,13054,208,1469
1997,6,"Luftfart, sjøfart, fiske, motorredskaper m.m.",7246,7158,29,59
1997,7,Jordbruk,4828,153,2885,1789
1997,7.1,Jordbruk - husdyr og husdyrgjødsel,3204,,2873,331
1997,7.2,Jordbruk - kunstgjødsel og annet,1624,153,13,1459
1998,0,Alle kilder,54536,41816,6643,3577
1998,2,Industri og bergverk,17166,13306,212,1538
1998,6,"Luftfart, sjøfart, fiske, motorredskaper m.m.",7462,7372,29,60
1998,7,Jordbruk,4819,137,2887,1795
1998,7.1,Jordbruk - husdyr og husdyrgjødsel,3208,,2873,335
1998,7.2,Jordbruk - kunstgjødsel og annet,1611,137,13,1460
1999,0,Alle kilder,55545,42589,6608,3742
1999,2,Industri og bergverk,16959,12845,226,1738
1999,6,"Luftfart, sjøfart, fiske, motorredskaper m.m.",7525,7436,30,59
1999,7,Jordbruk,4816,133,2927,1756
1999,7.1,Jordbruk - husdyr og husdyrgjødsel,3260,,2915,345
1999,7.2,Jordbruk - kunstgjødsel og annet,1556,133,12,1411
2000,0,Alle kilder,54933,42111,6609,3573
2000,2,Industri og bergverk,16821,12898,227,1572
2000,6,"Luftfart, sjøfart, fiske, motorredskaper m.m.",6498,6419,28,52
2000,7,Jordbruk,4661,111,2790,1760
2000,7.1,Jordbruk - husdyr og husdyrgjødsel,3114,,2777,337
2000,7.2,Jordbruk - kunstgjødsel og annet,1546,111,13,1423
2001,0,Alle kilder,56181,43501,6591,3482
2001,2,Industri og bergverk,16302,12538,223,1532
2001,6,"Luftfart, sjøfart, fiske, motorredskaper m.m.",6588,6506,28,53
2001,7,Jordbruk,4595,116,2771,1708
2001,7.1,Jordbruk - husdyr og husdyrgjødsel,3100,,2761,339
2001,7.2,Jordbruk - kunstgjødsel og annet,1495,116,10,1370
2002,0,Alle kilder,54875,42553,6407,3701
2002,2,Industri og bergverk,15220,11624,212,1754
2002,6,"Luftfart, sjøfart, fiske, motorredskaper m.m.",6546,6465,28,53
2002,7,Jordbruk,4584,118,2759,1707
2002,7.1,Jordbruk - husdyr og husdyrgjødsel,3091,,2752,339
2002,7.2,Jordbruk - kunstgjødsel og annet,1493,118,7,1368
2003,0,Alle kilder,55484,43892,6357,3577
2003,2,Industri og bergverk,15084,12136,247,1588
2003,6,"Luftfart, sjøfart, fiske, motorredskaper m.m.",6471,6381,37,52
2003,7,Jordbruk,4663,106,2807,1751
2003,7.1,Jordbruk - husdyr og husdyrgjødsel,3149,,2800,349
2003,7.2,Jordbruk - kunstgjødsel og annet,1515,106,6,1403
2004,0,Alle kilder,55876,44241,6238,3710
2004,2,Industri og bergverk,15339,12315,200,1708
2004,6,"Luftfart, sjøfart, fiske, motorredskaper m.m.",6583,6489,42,52
2004,7,Jordbruk,4634,96,2775,1764
2004,7.1,Jordbruk - husdyr og husdyrgjødsel,3114,,2768,347
2004,7.2,Jordbruk - kunstgjødsel og annet,1520,96,7,1417
2005,0,Alle kilder,54745,43261,6016,3783
2005,2,Industri og bergverk,14877,11806,179,1798
2005,6,"Luftfart, sjøfart, fiske, motorredskaper m.m.",6427,6332,43,52
2005,7,Jordbruk,4651,92,2788,1771
2005,7.1,Jordbruk - husdyr og husdyrgjødsel,3131,,2782,348
2005,7.2,Jordbruk - kunstgjødsel og annet,1521,92,6,1422
2006,0,Alle kilder,54729,43845,5866,3482
2006,2,Industri og bergverk,14485,11903,170,1521
2006,6,"Luftfart, sjøfart, fiske, motorredskaper m.m.",6785,6686,45,54
2006,7,Jordbruk,4565,85,2738,1742
2006,7.1,Jordbruk - husdyr og husdyrgjødsel,3079,,2733,346
2006,7.2,Jordbruk - kunstgjødsel og annet,1485,85,5,1395
2007,0,Alle kilder,56415,45596,5965,3333
2007,2,Industri og bergverk,14162,11769,200,1338
2007,6,"Luftfart, sjøfart, fiske, motorredskaper m.m.",7007,6874,76,57
2007,7,Jordbruk,4570,82,2719,1768
2007,7.1,Jordbruk - husdyr og husdyrgjødsel,3061,,2715,346
2007,7.2,Jordbruk - kunstgjødsel og annet,1509,82,5,1422
2008,0,Alle kilder,54896,44687,5763,2929
2008,2,Industri og bergverk,13719,11786,176,952
2008,6,"Luftfart, sjøfart, fiske, motorredskaper m.m.",6788,6646,86,55
2008,7,Jordbruk,4543,77,2722,1744
2008,7.1,Jordbruk - husdyr og husdyrgjødsel,3067,,2717,349
2008,7.2,Jordbruk - kunstgjødsel og annet,1476,77,5,1395
2009,0,Alle kilder,52401,43087,5753,2413
2009,2,Industri og bergverk,11232,10177,152,509
