"næring (SN2007)","materialtype","år","statistikkvariabel","14457: Industriavfall. Generert mengde avfall (1 000 tonn),"
"Nærings-, drikkevare- og tobakksindustri","I alt, uten lett forurensede masser","2015","Avfallsmengde",276
"Nærings-, drikkevare- og tobakksindustri","I alt, uten lett forurensede masser","2022","Avfallsmengde",270
"Nærings-, drikkevare- og tobakksindustri","Våtorganisk avfall","2015","Avfallsmengde",114
"Nærings-, drikkevare- og tobakksindustri","Våtorganisk avfall","2022","Avfallsmengde",77
"Nærings-, drikkevare- og tobakksindustri","Park- og hageavfall","2015","Avfallsmengde",0
"Nærings-, drikkevare- og tobakksindustri","Park- og hageavfall","2022","Avfallsmengde",0
"Nærings-, drikkevare- og tobakksindustri","Treavfall","2015","Avfallsmengde",8
"Nærings-, drikkevare- og tobakksindustri","Treavfall","2022","Avfallsmengde",20
"Nærings-, drikkevare- og tobakksindustri","Organisk slam, tørrstoff","2015","Avfallsmengde",41
"Nærings-, drikkevare- og tobakksindustri","Organisk slam, tørrstoff","2022","Avfallsmengde",39
"Nærings-, drikkevare- og tobakksindustri","Papir, papp og kartong","2015","Avfallsmengde",13
"Nærings-, drikkevare- og tobakksindustri","Papir, papp og kartong","2022","Avfallsmengde",15
"Nærings-, drikkevare- og tobakksindustri","Glass","2015","Avfallsmengde",7
"Nærings-, drikkevare- og tobakksindustri","Glass","2022","Avfallsmengde",5
"Nærings-, drikkevare- og tobakksindustri","Metall","2015","Avfallsmengde",5
"Nærings-, drikkevare- og tobakksindustri","Metall","2022","Avfallsmengde",7
"Nærings-, drikkevare- og tobakksindustri","EE-avfall","2015","Avfallsmengde",2
"Nærings-, drikkevare- og tobakksindustri","EE-avfall","2022","Avfallsmengde",1
"Nærings-, drikkevare- og tobakksindustri","Plast","2015","Avfallsmengde",20
"Nærings-, drikkevare- og tobakksindustri","Plast","2022","Avfallsmengde",17
"Nærings-, drikkevare- og tobakksindustri","Gummi","2015","Avfallsmengde",0
"Nærings-, drikkevare- og tobakksindustri","Gummi","2022","Avfallsmengde",0
"Nærings-, drikkevare- og tobakksindustri","Tekstiler","2015","Avfallsmengde",0
"Nærings-, drikkevare- og tobakksindustri","Tekstiler","2022","Avfallsmengde",0
"Nærings-, drikkevare- og tobakksindustri","Betong og tegl","2015","Avfallsmengde",0
"Nærings-, drikkevare- og tobakksindustri","Betong og tegl","2022","Avfallsmengde",1
"Nærings-, drikkevare- og tobakksindustri","Slagg, støv, bunnaske, flygeaske","2015","Avfallsmengde",0
"Nærings-, drikkevare- og tobakksindustri","Slagg, støv, bunnaske, flygeaske","2022","Avfallsmengde",1
"Nærings-, drikkevare- og tobakksindustri","Uorganisk slam, tørrstoff","2015","Avfallsmengde",0
"Nærings-, drikkevare- og tobakksindustri","Uorganisk slam, tørrstoff","2022","Avfallsmengde",0
"Nærings-, drikkevare- og tobakksindustri","Andre materialer","2015","Avfallsmengde",8
"Nærings-, drikkevare- og tobakksindustri","Andre materialer","2022","Avfallsmengde",7
"Nærings-, drikkevare- og tobakksindustri","Blandet avfall","2015","Avfallsmengde",58
"Nærings-, drikkevare- og tobakksindustri","Blandet avfall","2022","Avfallsmengde",80
"Nærings-, drikkevare- og tobakksindustri","Lett forurensede masser","2015","Avfallsmengde",1
"Nærings-, drikkevare- og tobakksindustri","Lett forurensede masser","2022","Avfallsmengde",1
"Tekstil-, bekledning- og lærvareindustri","I alt, uten lett forurensede masser","2015","Avfallsmengde",4
"Tekstil-, bekledning- og lærvareindustri","I alt, uten lett forurensede masser","2022","Avfallsmengde",10
"Tekstil-, bekledning- og lærvareindustri","Våtorganisk avfall","2015","Avfallsmengde",0
"Tekstil-, bekledning- og lærvareindustri","Våtorganisk avfall","2022","Avfallsmengde",0
"Tekstil-, bekledning- og lærvareindustri","Park- og hageavfall","2015","Avfallsmengde",0
"Tekstil-, bekledning- og lærvareindustri","Park- og hageavfall","2022","Avfallsmengde",0
"Tekstil-, bekledning- og lærvareindustri","Treavfall","2015","Avfallsmengde",0
"Tekstil-, bekledning- og lærvareindustri","Treavfall","2022","Avfallsmengde",1
"Tekstil-, bekledning- og lærvareindustri","Organisk slam, tørrstoff","2015","Avfallsmengde",0
"Tekstil-, bekledning- og lærvareindustri","Organisk slam, tørrstoff","2022","Avfallsmengde",0
"Tekstil-, bekledning- og lærvareindustri","Papir, papp og kartong","2015","Avfallsmengde",1
"Tekstil-, bekledning- og lærvareindustri","Papir, papp og kartong","2022","Avfallsmengde",2
"Tekstil-, bekledning- og lærvareindustri","Glass","2015","Avfallsmengde",0
"Tekstil-, bekledning- og lærvareindustri","Glass","2022","Avfallsmengde",0
"Tekstil-, bekledning- og lærvareindustri","Metall","2015","Avfallsmengde",1
"Tekstil-, bekledning- og lærvareindustri","Metall","2022","Avfallsmengde",1
"Tekstil-, bekledning- og lærvareindustri","EE-avfall","2015","Avfallsmengde",0
"Tekstil-, bekledning- og lærvareindustri","EE-avfall","2022","Avfallsmengde",1
"Tekstil-, bekledning- og lærvareindustri","Plast","2015","Avfallsmengde",1
"Tekstil-, bekledning- og lærvareindustri","Plast","2022","Avfallsmengde",1
"Tekstil-, bekledning- og lærvareindustri","Gummi","2015","Avfallsmengde",0
"Tekstil-, bekledning- og lærvareindustri","Gummi","2022","Avfallsmengde",0
"Tekstil-, bekledning- og lærvareindustri","Tekstiler","2015","Avfallsmengde",0
"Tekstil-, bekledning- og lærvareindustri","Tekstiler","2022","Avfallsmengde",0
"Tekstil-, bekledning- og lærvareindustri","Betong og tegl","2015","Avfallsmengde",0
"Tekstil-, bekledning- og lærvareindustri","Betong og tegl","2022","Avfallsmengde",0
"Tekstil-, bekledning- og lærvareindustri","Slagg, støv, bunnaske, flygeaske","2015","Avfallsmengde",0
"Tekstil-, bekledning- og lærvareindustri","Slagg, støv, bunnaske, flygeaske","2022","Avfallsmengde",0
"Tekstil-, bekledning- og lærvareindustri","Uorganisk slam, tørrstoff","2015","Avfallsmengde",0
"Tekstil-, bekledning- og lærvareindustri","Uorganisk slam, tørrstoff","2022","Avfallsmengde",0
"Tekstil-, bekledning- og lærvareindustri","Andre materialer","2015","Avfallsmengde",0
"Tekstil-, bekledning- og lærvareindustri","Andre materialer","2022","Avfallsmengde",0
"Tekstil-, bekledning- og lærvareindustri","Blandet avfall","2015","Avfallsmengde",2
"Tekstil-, bekledning- og lærvareindustri","Blandet avfall","2022","Avfallsmengde",4
"Tekstil-, bekledning- og lærvareindustri","Lett forurensede masser","2015","Avfallsmengde",0
"Tekstil-, bekledning- og lærvareindustri","Lett forurensede masser","2022","Avfallsmengde",0
"Trelast- og trevareindustri","I alt, uten lett forurensede masser","2015","Avfallsmengde",37
"Trelast- og trevareindustri","I alt, uten lett forurensede masser","2022","Avfallsmengde",63
"Trelast- og trevareindustri","Våtorganisk avfall","2015","Avfallsmengde",0
"Trelast- og trevareindustri","Våtorganisk avfall","2022","Avfallsmengde",0
