Date,MonthCode,Value
2015-01,2015M01,97.2
2015-02,2015M02,99.1
2015-03,2015M03,97.7
2015-04,2015M04,98.1
2015-05,2015M05,99.7
2015-06,2015M06,100.7
2015-07,2015M07,102.6
2015-08,2015M08,101.7
2015-09,2015M09,101.9
2015-10,2015M10,100.9
2015-11,2015M11,101.6
2015-12,2015M12,98.6
2016-01,2016M01,98.9
2016-02,2016M02,102.3
2016-03,2016M03,99.0
2016-04,2016M04,102.0
2016-05,2016M05,102.1
2016-06,2016M06,103.1
2016-07,2016M07,106.1
2016-08,2016M08,105.0
2016-09,2016M09,104.6
2016-10,2016M10,104.1
2016-11,2016M11,103.2
2016-12,2016M12,100.3
2017-01,2017M01,100.9
2017-02,2017M02,102.4
2017-03,2017M03,102.0
2017-04,2017M04,99.9
2017-05,2017M05,102.8
2017-06,2017M06,104.0
2017-07,2017M07,106.8
2017-08,2017M08,103.2
2017-09,2017M09,102.6
2017-10,2017M10,102.9
2017-11,2017M11,102.4
2017-12,2017M12,100.9
2018-01,2018M01,103.5
2018-02,2018M02,105.5
2018-03,2018M03,103.6
2018-04,2018M04,103.8
2018-05,2018M05,103.9
2018-06,2018M06,104.4
2018-07,2018M07,108.2
2018-08,2018M08,106.5
2018-09,2018M09,106.1
2018-10,2018M10,105.3
2018-11,2018M11,106.8
2018-12,2018M12,104.3
2019-01,2019M01,104.7
2019-02,2019M02,107.6
2019-03,2019M03,106.6
2019-04,2019M04,105.8
2019-05,2019M05,104.9
2019-06,2019M06,105.7
2019-07,2019M07,110.1
2019-08,2019M08,107.5
2019-09,2019M09,106.9
2019-10,2019M10,105.7
2019-11,2019M11,105.9
2019-12,2019M12,103.9
2020-01,2020M01,106.9
2020-02,2020M02,109.8
2020-03,2020M03,109.5
2020-04,2020M04,110.5
2020-05,2020M05,109.8
2020-06,2020M06,108.9
2020-07,2020M07,112.5
2020-08,2020M08,111.5
2020-09,2020M09,111.0
2020-10,2020M10,110.1
2020-11,2020M11,109.6
2020-12,2020M12,106.8
2021-01,2021M01,107.7
2021-02,2021M02,109.9
2021-03,2021M03,109.2
2021-04,2021M04,108.2
2021-05,2021M05,107.6
2021-06,2021M06,107.0
2021-07,2021M07,109.4
2021-08,2021M08,108.3
2021-09,2021M09,106.8
2021-10,2021M10,105.7
2021-11,2021M11,105.6
2021-12,2021M12,104.8
2022-01,2022M01,106.0
2022-02,2022M02,110.8
2022-03,2022M03,109.2
2022-04,2022M04,110.0
2022-05,2022M05,110.4
2022-06,2022M06,112.3
2022-07,2022M07,120.8
2022-08,2022M08,119.5
2022-09,2022M09,119.7
2022-10,2022M10,119.5
2022-11,2022M11,119.0
2022-12,2022M12,116.8
2023-01,2023M01,118.7
2023-02,2023M02,120.6
2023-03,2023M03,118.6
2023-04,2023M04,121.6
2023-05,2023M05,124.4
2023-06,2023M06,127.4
2023-07,2023M07,131.5
2023-08,2023M08,130.2
2023-09,2023M09,128.6
2023-10,2023M10,129.7
2023-11,2023M11,129.8
2023-12,2023M12,127.2
2024-01,2024M01,129.0
2024-02,2024M02,128.2
2024-03,2024M03,125.8
2024-04,2024M04,129.9
2024-05,2024M05,131.1
2024-06,2024M06,133.6
2024-07,2024M07,137.9
2024-08,2024M08,136.1
2024-09,2024M09,133.8
2024-10,2024M10,134.7
2024-11,2024M11,135.3
2024-12,2024M12,132.3
2025-01,2025M01,135.4
2025-02,2025M02,137.8
2025-03,2025M03,136.8
2025-04,2025M04,134.2
2025-05,2025M05,138.0
2025-06,2025M06,139.9
2025-07,2025M07,146.0
2025-08,2025M08,143.4
2025-09,2025M09,142.2
2025-10,2025M10,143.0
2025-11,2025M11,141.6
2025-12,2025M12,139.2
