priority,source,id,title,year,url,url_type,access,target_path,note
P1,backlog-csv,konkurransetilsynet-2024,Kartlegging av innkjopspriser 2017-2023,2024,https://konkurransetilsynet.no/dagligvare-forskjeller-i-innkjopspriser-ytterligere-redusert/,landing_html,unknown,research/evidence-pack/tilsyn/innkjopspriser-2017-2023.pdf,register_as_manual_html_capture_not_official_attachment
P1,reports.ts,matsystemutvalget-2026,Matsystemutvalget — Status 2026,2026,https://nettsteder.regjeringen.no/matsystemutvalget/,landing_page,unknown,research/evidence-pack/offentlig/matsystemutvalget-2026.pdf,report; inst=Matsystemutvalget
P1,reports.ts,meld-st-4-dagligvare,Status dagligvaretiltak (10-punktsplanen),2024,https://www.regjeringen.no/no/dokumenter/meld.-st.-4-20242025/id3056808/,landing_page,unknown,research/evidence-pack/offentlig/meld-st-4-dagligvare.pdf,report; inst=Naerings- og fiskeridepartementet
P1,reports.ts,kt-markedsundersokelser-2026,Markedsundersokelser § 14 — Status,2026,https://www.regjeringen.no/no/aktuelt/i-dag-far-konkurransetilsynet-et-nytt-verktoy-for-a-bekjempe-alvorlige-konkurranseproblemer/id3113837/,landing_page,unknown,research/evidence-pack/konkurransetilsyn/kt-markedsundersokelser-2026.pdf,report; inst=Konkurransetilsynet
P1,reports.ts,kkv-fi-4a-dominans,KKV — Konkurranseloven § 4a (Dominans),2014,https://www.kkv.fi/en/facts-and-advice/competition-affairs/abuse-of-dominant-position/maaraava-markkina-asema-paivittaistavarakaupassa/,landing_page,unknown,research/evidence-pack/konkurransetilsyn/kkv-fi-4a-dominans.pdf,report; inst=KKV
P1,reports.ts,is-markedsstruktur-2024,Island — Markedskonsentrasjon og vertikal integrasjon,2024,https://www.samkeppni.is/urlausnir/skyrslur/,landing_page,unknown,research/evidence-pack/konkurransetilsyn/is-markedsstruktur-2024.pdf,report; inst=Samkeppniseftirlitid
P1,reports.ts,asko-infrastruktur-2025,ASKO — Infrastruktur og Logistikkmakt,2025,https://asko.no/en/about-us/,landing_page,unknown,research/evidence-pack/bransje/asko-infrastruktur-2025.pdf,report; inst=ASKO / NorgesGruppen
P1,reports.ts,dagligvarerapporten-2025,Dagligvarerapporten 2025,2025,https://www.virke.no/analyse/statistikk-rapporter/dagligvarehandelen/,landing_page,unknown,research/evidence-pack/bransje/dagligvarerapporten-2025.pdf,report; inst=Virke Handel
P1,reports.ts,dlf-leverandor-2025,DLF leverandorposisjoner 2025,2025,https://www.dlf.no/dagligvaretilsynet-legges-ned-konkurransetilsynet-far-mer-ansvar/,landing_page,unknown,research/evidence-pack/bransje/dlf-leverandor-2025.pdf,report; inst=DLF
P1,reports.ts,nbs-systemkritikk,NBS — Systemkritikk,2025,https://www.smabrukarlaget.no/politikk/mat-og-produksjon/,landing_page,unknown,research/evidence-pack/bransje/nbs-systemkritikk.pdf,report; inst=Norsk Bonde- og Smaabrukarlag
P1,reports.ts,menon-emv-innovasjon,Menon — EMV og Innovasjon,2022,https://www.menon.no/wp-content/uploads/2022-68-EMV-og-innovasjon-i-dagligvare.pdf,direct_pdf,unknown,research/evidence-pack/konsulentrapport/menon-emv-innovasjon.pdf,report; inst=Menon Economics
P1,reports.ts,soa-emv-2023,SOA — EMV og Vertikal integrasjon,2023,https://www.regjeringen.no/contentassets/41847427caa14feb8b8578af3d6d45bc/r15-2023-kartlegging-av-egne-merkevarer-og-vertikal-integrasjon-i-dagligvaremarkedet.pdf,direct_pdf,unknown,research/evidence-pack/konsulentrapport/soa-emv-2023.pdf,report; inst=Samfunnsokonomisk Analyse
P1,reports.ts,civita-manifest-debatt,Civita vs. Manifest — Matmaktdebatten,2023,https://civita.no/okonomi/naeringspolitikk/svak-konkurranse-som-fortjent/,landing_page,unknown,research/evidence-pack/tenketank/civita-manifest-debatt.pdf,report; inst=
P1,reports.ts,norden-policy-2024,Nordisk Ministerraad — Policyverktoey 2024,2024,https://pub.norden.org/nord2024-007/index.html,landing_page,unknown,research/evidence-pack/tenketank/norden-policy-2024.pdf,report; inst=Nordisk Ministerraad
P1,reports.ts,beredskap-finsk-modell-hvk,Finsk matberedskap — HVK-modellen,2024,https://www.huoltovarmuuskeskus.fi/en/security-of-supply,landing_page,unknown,research/evidence-pack/beredskap/beredskap-finsk-modell-hvk.pdf,report; inst=Huoltovarmuuskeskus (HVK)
P1,reports.ts,beredskap-island-melmolle-2025,Islands melmolle og matsuverenitet,2025,https://www.icelandreview.com/news/icelands-only-flour-mill-set-to-be-scrapped/,landing_page,unknown,research/evidence-pack/beredskap/beredskap-island-melmolle-2025.pdf,report; inst=Kornax / Iceland Review / RUV
P1,reports.ts,beredskap-nibio-selvforsyning-metode,NIBIO: Metode for selvforsyningsberegning,2024,https://nibio.brage.unit.no/nibio-xmlui/bitstream/handle/11250/3105805/NIBIO_RAPPORT_2023_9_137.pdf,direct_pdf,unknown,research/evidence-pack/beredskap/beredskap-nibio-selvforsyning-metode.pdf,report; inst=NIBIO (Norsk institutt for biookonomi)
P1,reports.ts,sirkularitet-definisjoner-wur-emf,Sirkulaer okonomi i matsystemer — definisjoner,2023,https://www.ellenmacarthurfoundation.org/topics/food/overview,landing_page,unknown,research/evidence-pack/sirkularitet/sirkularitet-definisjoner-wur-emf.pdf,report; inst=Wageningen University / Ellen MacArthur Foundation
P1,reports.ts,juridisk-eiendomsmakt-lokal-konkurranse,Eiendomsmakt og lokal konkurranse,2024,https://www.regjeringen.no/no/aktuelt/forbyr-praksis-som-motvirker-konkurranse-i-dagligvaremarkedet/id2985486/,landing_page,unknown,research/evidence-pack/juridisk/juridisk-eiendomsmakt-lokal-konkurranse.pdf,report; inst=Dagligvaretilsynet / juridisk analyse
P1,reports.ts,juridisk-eudr-norge-2025,EUDR og norsk dagligvare,2025,https://www.landbruksdirektoratet.no/nb/skogbruk/eus-avskogingsforordning-eudr,landing_page,unknown,research/evidence-pack/juridisk/juridisk-eudr-norge-2025.pdf,report; inst=EU / norsk implementering
P1,reports.ts,akademia-sifo-retail-media-2025,SIFO: Retail media og forbrukermakt,2025,https://www.oslomet.no/om/sifo/publikasjoner,landing_page,unknown,research/evidence-pack/akademia/akademia-sifo-retail-media-2025.pdf,report; inst=SIFO / OsloMet
P1,reports.ts,akademia-nhh-butikkstruktur-2024,NHH: Butikkstruktur og lokal konkurranse,2024,https://www.nhh.no/en/research-centres/food/,landing_page,unknown,research/evidence-pack/akademia/akademia-nhh-butikkstruktur-2024.pdf,report; inst=NHH — Norges Handelshoyskole
P1,reports.ts,akademia-uib-kjopermakt,UiB: Kjoepermakt i nordisk dagligvare,2024,https://www.uib.no/en/persons/Tommy.Gabrielsen,landing_page,unknown,research/evidence-pack/akademia/akademia-uib-kjopermakt.pdf,report; inst=Universitetet i Bergen
P1,reports.ts,oversikt-bransje-statistikk-beredskap,Bransjestatistikk og beredskapstall,2024,https://www.virke.no/bransjeomrade/dagligvare/,landing_page,unknown,research/evidence-pack/oversikt/oversikt-bransje-statistikk-beredskap.pdf,"report; inst=Diverse kilder (Nielsen, SSB, dagligvaretilsynet)"
P1,reports.ts,oversikt-akademia-dyp-research,Akademisk forskning paa nordisk dagligvare — oversikt,2025,https://press.nordicopenaccess.no/index.php/noasp/catalog/book/93,landing_page,unknown,research/evidence-pack/oversikt/oversikt-akademia-dyp-research.pdf,report; inst=Egenkartlegging
P1,reports.ts,pubmed-van-der-fels-klerx-2024,Framework for evaluation of food safety in circular food systems,2024,https://doi.org/10.1038/s41538-024-00276-9,doi,unknown,research/evidence-pack/akademia/pubmed-van-der-fels-klerx-2024.pdf,report; inst=Wageningen University / RIVM
P1,reports.ts,pubmed-van-leeuwen-2024,A novel approach to identify knowledge gaps on food safety in circular food systems,2024,https://doi.org/10.1038/s41538-024-00265-y,doi,unknown,research/evidence-pack/akademia/pubmed-van-leeuwen-2024.pdf,report; inst=Wageningen University / RIVM
P1,reports.ts,pubmed-hiis-2024,Unlocking bacterial potential to reduce farmland N2O emissions,2024,https://doi.org/10.1038/s41586-024-07464-3,doi,unknown,research/evidence-pack/akademia/pubmed-hiis-2024.pdf,report; inst=NMBU
P1,reports.ts,pubmed-recanati-2019,Assessing the role of CAP for more sustainable and healthier food systems in Europe,2019,https://doi.org/10.1016/j.scitotenv.2018.10.377,doi,unknown,research/evidence-pack/akademia/pubmed-recanati-2019.pdf,report; inst=BCFN Foundation / Universita degli Studi di Milano
P1,reports.ts,pubmed-szulecka-2024,Food waste governance architectures in four European countries,2024,https://doi.org/10.1002/gch2.202300265,doi,unknown,research/evidence-pack/akademia/pubmed-szulecka-2024.pdf,report; inst=Wageningen / div. europeiske univ.
P1,reports.ts,pubmed-javourez-2021,Waste-to-nutrition: a review of current and emerging conversion pathways,2021,https://doi.org/10.1016/j.biotechadv.2021.107857,doi,unknown,research/evidence-pack/akademia/pubmed-javourez-2021.pdf,report; inst=University College Dublin
P1,reports.ts,pubmed-wohner-2020,Environmental and economic assessment of food-packaging systems with a focus on food waste,2020,https://doi.org/10.1016/j.scitotenv.2020.139846,doi,unknown,research/evidence-pack/akademia/pubmed-wohner-2020.pdf,report; inst=FH Campus Wien / Universitat fur Bodenkultur
P1,reports.ts,van-zanten-circularity-2023,Circularity in Europe strengthens the sustainability of the global food system,2023,https://www.nature.com/articles/s43016-023-00734-9,landing_page,unknown,research/evidence-pack/akademia/van-zanten-circularity-2023.pdf,report; inst=Wageningen University
P1,reports.ts,plantefonden-projects-2023-2025,Plantefonden — projekter og bevillinger 2023-2025,2025,https://plantefonden.dk/,landing_page,unknown,research/evidence-pack/bransje/plantefonden-projects-2023-2025.pdf,"report; inst=Plantefonden / Foedevare-, Landbrugs- og Fiskeristyrelsen"
P1,reports.ts,kbh-food-strategy-madhus,Koebenhavns Madhus — maaltidstrategi og status,2025,https://maaltider.kk.dk/for-koebenhavnere/mad-og-maaltidsstrategi,landing_page,unknown,research/evidence-pack/bransje/kbh-food-strategy-madhus.pdf,report; inst=Koebenhavns Madhus / Koebenhavns Kommune
P1,reports.ts,motiva-food-procurement-2026,"Guide for Responsible Procurement of Food (Motiva, januar 2026)",2026,https://www.motiva.fi/en/databank/guide-for-the-responsible-procurement-of-food-recommendations-for-requirements-and-evaluation-criteria/,landing_page,unknown,research/evidence-pack/offentlig/motiva-food-procurement-2026.pdf,report; inst=Motiva Oy
P1,reports.ts,arla-farmahead-check-2024,Arla FarmAhead Check — Sustainability Incentive Model 2024,2024,https://www.arla.com/sustainability/,landing_page,unknown,research/evidence-pack/bransje/arla-farmahead-check-2024.pdf,report; inst=Arla Foods amba
P1,reports.ts,sodertaelje-diet-green-planet,Soedertaelje — Diet for a Green Planet,2023,https://www.diva-portal.org/smash/record.jsf?pid=diva2%3A1915414,landing_page,unknown,research/evidence-pack/akademia/sodertaelje-diet-green-planet.pdf,report; inst=Soedertaelje Kommun / DIVA Portal
P1,theses.ts,barbakken-hausken-2006,Det norske dagligvaremarkedet: relasjoner mellom detaljist og produsent,2006,https://openaccess.nhh.no/nhh-xmlui/handle/11250/167473,landing_page,open,research/evidence-pack/akademia/barbakken-hausken-2006.pdf,thesis; inst=NHH
P1,theses.ts,kronqvist-2010,Consumer-owned retail cooperative in duopoly with horizontally differentiated goods,2010,https://aaltodoc.aalto.fi/handle/123456789/523,landing_page,open,research/evidence-pack/akademia/kronqvist-2010.pdf,thesis; inst=Aalto University
P1,theses.ts,halseth-phd-2024,Competition and Grocery Retail Formats: Empirical Evidence from a Horizontal Acquisition in Norway,2024,https://www.cresse.info/wp-content/uploads/2023/09/2023_ps13_pa2_Strom-Halseth.pdf,direct_pdf,open,research/evidence-pack/akademia/halseth-phd-2024.pdf,thesis; inst=NHH / BECCLE
P1,theses.ts,hebrok-phd-2020,Food Waste: A practice-oriented design for sustainability approach,2020,https://hdl.handle.net/11250/2676125,landing_page,open,research/evidence-pack/akademia/hebrok-phd-2020.pdf,thesis; inst=OsloMet / SIFO
P1,theses.ts,eriksson-phd-2015,Supermarket food waste: Prevention and management,2015,https://pub.epsilon.slu.se/12756/,landing_page,open,research/evidence-pack/akademia/eriksson-phd-2015.pdf,thesis; inst=SLU Uppsala
P1,theses.ts,albizzati-phd-2021,Sustainability Assessment of Food Waste Management,2021,https://orbit.dtu.dk/en/publications/sustainability-assessment-of-food-waste-management,landing_page,open,research/evidence-pack/akademia/albizzati-phd-2021.pdf,thesis; inst=DTU
P1,theses.ts,esposito-2022,Nar matsvinn blir et politikkomrade,2022,https://bora.uib.no/bora-xmlui/handle/11250/3010552,landing_page,open,research/evidence-pack/akademia/esposito-2022.pdf,thesis; inst=UiB
P1,theses.ts,deljanin-2015,Market's imperfections — Building a concerned market for food waste,2015,http://studenttheses.cbs.dk/bitstream/handle/10417/5762/sarah_roxenne_deljanin.pdf?sequence=1,direct_pdf,open,research/evidence-pack/akademia/deljanin-2015.pdf,thesis; inst=CBS
P1,theses.ts,burgherr-2019,Food waste in Reykjavik — comparison 2015 vs 2018,2019,https://skemman.is/handle/1946/32307,landing_page,open,research/evidence-pack/akademia/burgherr-2019.pdf,thesis; inst=University of Iceland
P1,theses.ts,stein-2022,Sustainable food procurement in public catering: UK vs DK/SE,2022,https://salford-repository.worktribe.com/output/1322952/sustainable-food-procurement-in-public-catering-comparison-of-the-uk-with-denmark-sweden,landing_page,open,research/evidence-pack/akademia/stein-2022.pdf,thesis; inst=University of Salford
P1,theses.ts,steien-2016,Matsikkerhet i Norge — er forsyningsberedskapen tilstrekkelig?,2016,https://munin.uit.no/handle/10037/10932,landing_page,open,research/evidence-pack/akademia/steien-2016.pdf,thesis; inst=UiT
