source_id,entity,source_name,source_type,official_url,local_pdf_path,pdf_bytes,pdf_sha256,local_text_path,text_bytes,extraction_status,citation_readiness,notes
asko-barekraft-2024,ASKO Norge AS,Bærekraft i ASKO 2024,sustainability_report,https://asko.no/globalassets/om-asko/miljo/barekraft-i-asko-2024.pdf,research/evidence-pack/arsrapporter/asko-barekraft-2024.pdf,18646489,94b68068c89e9713e968f3c5ef17ed0f4e74fa57206ea5dd383aac6b44529108,research/evidence-pack/arsrapporter/text/asko-barekraft-2024.txt,185475,pdftotext_ok,not_financial_source,"Useful for ASKO sustainability/operations claims, not revenue/operating result."
asko-norge-as-regnskap-2024-brreg,ASKO Norge AS,ASKO Norge AS annual accounts copy 2024,official_registry_accounts_pdf,https://data.brreg.no/regnskapsregisteret/regnskap/aarsregnskap/kopi/929228723/2024,research/evidence-pack/arsrapporter/asko-norge-as-regnskap-2024-brreg.pdf,907051,98798b2c0715d73e48300ce7f6c65ea161e4abcddc82e35e8b8a75e5b48408df,research/evidence-pack/arsrapporter/text/asko-norge-as-regnskap-2024-brreg.txt,32,pdftotext_no_usable_text,registry_source_pdf_text_blank,"PDF copy archived, but pdftotext output is only form-feed characters; use archived JSON snapshot for machine-readable values."
axfood-annual-report-2024,Axfood AB,Annual and Sustainability Report 2024,annual_report,https://www.axfood.com/investors/reports-and-presentations/annual-and-sustainability-report-2024/,research/evidence-pack/arsrapporter/axfood-annual-report-2024.pdf,15634839,81d63226d797283c90605c8438675a282fd7c639ec2a8e12149d0c30079fea93,research/evidence-pack/arsrapporter/text/axfood-annual-report-2024.txt,1393962,pdftotext_ok,source_currency_verified_fx_needed,Verifies SEK net sales and operating profit; NOK conversion needs FX policy.
bama-2024,BAMA Gruppen AS,Års- og bærekraftsrapport 2024,annual_report,https://www.bama.no/siteassets/bama/arsrapport/2024/bama-2024-no.pdf,research/evidence-pack/arsrapporter/bama-2024.pdf,13238259,f2a5416b6c9f30203ce3bb476a460f5e617e9911815f310ecd027ce14a504fcc,research/evidence-pack/arsrapporter/text/bama-2024.txt,548061,pdftotext_ok,ownership_ready_after_name_normalization,"Verifies 46/34/20 ownership with legal names NorgesGruppen ASA, AS Banan and REMA Industrier AS."
coop-danmark-2024,Coop Danmark A/S,Årsrapport 2024,annual_report,https://coop.dk/media/vvwp2bdy/coop-danmark-aarsrapport-2024.pdf,research/evidence-pack/arsrapporter/coop-danmark-2024.pdf,1151486,00b7bf79388a8d573c00bccbc809c879705ce559b11e12129ab15c4f463f0a77,research/evidence-pack/arsrapporter/text/coop-danmark-2024.txt,225541,pdftotext_ok,source_currency_verified_fx_and_metric_decision_needed,Verifies DKK revenue and EBIT before/after special items; operatingResult definition remains open.
coop-norge-2024,Coop Norge SA,Års- og bærekraftsrapport Coop Norge 2024,annual_report,https://www.coop.no/om-coop/aarsrapporter,research/evidence-pack/arsrapporter/coop-norge-2024.pdf,18322510,743e935f8b6095eb673a23d9440359b415b25acc5454a744c60ee3f2d8aac084,research/evidence-pack/arsrapporter/text/coop-norge-2024.txt,1167375,pdftotext_ok,blocked_current_db_mismatch,Verifies total operating income and EBIT higher than current proposal; do not cite 55bn/580m.
hagar-2024-25,Hagar hf.,Management report 2024/25 and Q4 results,management_report,https://www.hagar.is/media/fgpfwir5/fr%C3%A9ttatilkynning-hagar-4f-2024-25-ensk.pdf,research/evidence-pack/arsrapporter/hagar-2024-25.pdf,560450,7ff714786c3d353f3c3aee5e3676131562cbe052fa9870d008710bb6dd0c1db1,research/evidence-pack/arsrapporter/text/hagar-2024-25.txt,55033,pdftotext_ok,fiscal_year_mapping_needed,"Verifies 2024/25 ISK sales, EBITDA and profit; DB year/fiscal mapping remains open."
ica-gruppen-annual-report-2024,ICA Gruppen AB,Annual Report 2024,annual_report,https://www.icagruppen.se/globalassets/xx.-arsredovisning-2024/250221_icagruppen_annual_report_2024.pdf,research/evidence-pack/arsrapporter/ica-gruppen-annual-report-2024.pdf,12107576,3c4874bccfb3b70f317b7352264474470f72a9868ec117eca83844755c4736a2,research/evidence-pack/arsrapporter/text/ica-gruppen-annual-report-2024.txt,1489855,pdftotext_ok,source_currency_verified_fx_and_ownership_model_needed,Verifies SEK financials and share/vote split; simplified 87/13 ownership is not exact.
kesko-annual-report-2024,Kesko Oyj,Annual Report 2024,annual_report,https://www.kesko.fi/en/media/news-and-releases/stock-exchange-releases/2025/keskos-2024-annual-report-has-been-published/,research/evidence-pack/arsrapporter/kesko-annual-report-2024.pdf,13217116,1d2541e18dc300d67b188e262b92211c57f44d823b32b133bfc0588ef96cd731,research/evidence-pack/arsrapporter/text/kesko-annual-report-2024.txt,1814508,pdftotext_ok,source_currency_verified_fx_and_ownership_model_needed,Verifies EUR financials and K-Retailers share/vote split.
norgesgruppen-2024,NorgesGruppen ASA,Års- og bærekraftsrapport 2024,annual_report,https://www.norgesgruppen.no/finans/finans-hjem/rapporter/,research/evidence-pack/arsrapporter/norgesgruppen-2024.pdf,37923666,b70f7d105ec15e8672a6d586dfbb2972e53ea73586627bdaffe0b8e18852bf3e,research/evidence-pack/arsrapporter/text/norgesgruppen-2024.txt,1575390,pdftotext_ok,ready_for_import_after_exact_vs_rounded_decision,"Verifies operating income, EBIT, profit and shareholder table."
