priority,status,country,theme,doc_type,institution,title,year,url,url_type,current_local_status,target_path,next_action,source_basis
P1,downloaded,NO,market-power,report,Konkurransetilsynet,Dagligvarerapport 2024-25,2025,https://konkurransetilsynet.no/wp-content/uploads/2025/04/Konkurransetilsynets-Dagligvarerapport-2024-25.pdf,direct_pdf,local_pdf_downloaded,research/evidence-pack/tilsyn/dagligvarerapport-2025.pdf,register_and_deduplicate_against_existing_local_copy,src/lib/data/reports.ts + src/lib/data/sources.ts
P1,downloaded,NO,market-power,report,Konkurransetilsynet,Marginstudie Del 1,2024,https://konkurransetilsynet.no/wp-content/uploads/2024/05/Rapport-marginstudie.pdf,direct_pdf,local_pdf_downloaded,research/evidence-pack/tilsyn/marginstudie-2024-del1-offisiell.pdf,register_and_compare_with_existing_local_copy,src/lib/data/reports.ts
P1,downloaded,NO,market-power,report,Konkurransetilsynet,Marginstudie Del 2,2025,https://konkurransetilsynet.no/wp-content/uploads/2025/01/Del-2.-Kartlegging-av-marginer-ved-bruk-av-informasjon-pa-produktniva.pdf,direct_pdf,local_pdf_downloaded,research/evidence-pack/tilsyn/marginstudie-2025-del2-offisiell.pdf,register_and_compare_with_existing_local_copy,src/lib/data/reports.ts
P1,downloaded,NO,competition-enforcement,decision,Konkurransetilsynet,"Prisjeger-saken, offentlig versjon",2024,https://konkurransetilsynet.no/wp-content/uploads/2025/02/V2024-4-Offentlig-versjon-Coop-Norge-SA-Norgesgruppen-ASA-Rema-1000-AS-%E2%80%93-palegg-om-opphor-av-overtredelse-.pdf,direct_pdf,local_pdf_downloaded,research/evidence-pack/tilsyn/prisjeger-saken-2024-offentlig-versjon.pdf,register_in_report_and_source_layers,src/lib/data/reports.ts
P1,downloaded,NO,pricing-governance,report,Konkurransetilsynet,Utredning om prisjusteringsvinduer,2023,https://konkurransetilsynet.no/wp-content/uploads/2023/12/Utredning-om-prisjusteringsvinduer-2023.pdf,direct_pdf,local_pdf_downloaded,research/evidence-pack/tilsyn/prisjusteringsvinduer-2023.pdf,register_in_report_or_source_layers,src/lib/data/reports.ts
P1,downloaded,NO,competition-enforcement,report,Konkurransetilsynet,Kartlegging av innkjopspriser 2017-2023,2024,https://konkurransetilsynet.no/dagligvare-forskjeller-i-innkjopspriser-ytterligere-redusert/,landing_html,local_pdf_captured_from_html,research/evidence-pack/tilsyn/innkjopspriser-2017-2023.pdf,register_as_manual_html_capture_not_official_attachment,src/lib/data/reports.ts
P1,downloaded,DK,merger-control,decision,KFST,"Salling Group, acquisition of parts of Coop Danmark",2025,https://kfst.dk/media/edgjum43/20250326-salling-groups-erhvervelse-af-dele-af-coop-danmark-a.pdf,direct_pdf,local_pdf_downloaded,research/evidence-pack/nordisk/kfst-salling-coop-2025-full.pdf,register_and_compare_with_existing_danish_case_pdf,research/bibliotek/nordisk-konkurranse/dk/salling-coop-opkob-2025.md
P1,downloaded,SE,local-concentration,report,Konkurrensverket,Dagligvaruhandelns etablering i kommunerna,2024,https://www.konkurrensverket.se/globalassets/dokument/informationsmaterial/rapporter-och-broschyrer/rapportserie/rapport_2024-4.pdf,direct_pdf,local_pdf_downloaded,research/evidence-pack/nordisk/konkurrensverket-2024-4-dagligvaruhandelns-etablering.pdf,register_in_nordic_report_layer,research/perpl-17-03/Nordisk Dagligvaremarked  Markedsstruktur og Validering 2024–2026.md
P1,downloaded,DK,annual-reports,annual_report,Coop Danmark,Coop Danmark aarsrapport 2024,2025,https://coop.dk/media/vvwp2bdy/coop-danmark-aarsrapport-2024.pdf,direct_pdf,local_pdf_downloaded,research/evidence-pack/arsrapporter/coop-danmark-2024.pdf,register_and_extract_key_figures,research/perpl-17-03/Nordisk Dagligvaremarked  Markedsstruktur og Validering 2024–2026.md
P1,downloaded,IS,annual-reports,annual_report,Hagar hf.,Management report 2024/25,2025,https://www.hagar.is/media/fgpfwir5/fr%C3%A9ttatilkynning-hagar-4f-2024-25-ensk.pdf,direct_pdf,local_pdf_downloaded,research/evidence-pack/arsrapporter/hagar-2024-25.pdf,register_and_extract_key_figures,research/perpl-17-03/Nordisk Dagligvaremarked  Markedsstruktur og Validering 2024–2026.md
P1,downloaded,NO,academic-theses,thesis,BECCLE,Paraplykjedenes overtakelse av distribusjonen i dagligvaremarkedet,2016,https://beccle.no/files/2016/09/Paraplykjedenes-overtakelse-av-distribusjonen-i-dagligvaremarkedet.pdf,direct_pdf,local_pdf_downloaded,research/evidence-pack/akademia/skjervheim-flo-2016.pdf,register_in_thesis_layer,src/lib/data/theses.ts
