priority,status,country,theme,doc_type,institution,title,year,url,url_type,current_local_status,target_path,next_action,source_basis
P1,url_only,Nordic,circular-food,artikkel,Nordic Circular Hotspot,"Beyond the Bean: A Nordic Perspective on Circular Food Systems",2023,https://nordiccircularhotspot.org/news/beyond-the-bean-a-nordic-perspective-on-circular-food-systems,landing_html,not_downloaded,research/evidence-pack/sirkular-mat/nordic-circular-hotspot-beyond-the-bean-2023.pdf,snapshot_html_article,media-mapping-2026-04-22
P1,url_only,Nordic,circular-food,rapport,Nordic Circular Hotspot,"Nordic public companies compete for circularity (Circular Economy Outlook 2024)",2024,https://nordiccircularhotspot.org/news/new-report-nordic-public-companies-compete-for-circularity,landing_html,not_downloaded,research/evidence-pack/sirkular-mat/nordic-circular-hotspot-ceo-2024.pdf,snapshot_html_article,media-mapping-2026-04-22
P1,url_only,NO,circular-food,prosjektside,Norsoek,"NORSOEK joins major European initiative for circular food systems: CIRCULANDIA",2026,https://www.norsok.no/en/news/2026/norsoek-inn-i-europeisk-storsatsing-for-sirkulaere-matsystemer-circulandia,landing_html,not_downloaded,research/evidence-pack/sirkular-mat/norsok-circulandia-2026.pdf,snapshot_html_article,media-mapping-2026-04-22
P1,url_only,NO,circular-food,publikasjon,Nofima,"A Perspective of Upcycled Food by Norwegian Consumers: The Meaning Without the Word",2025,https://nofima.com/publication/2372571/,landing_html,not_downloaded,research/evidence-pack/sirkular-mat/nofima-upcycled-consumers-2025.pdf,landing_has_abstract,media-mapping-2026-04-22
P1,url_only,NO,circular-food,prosjektside,NMBU/NORSUS,"FeedLoop — redesign of local food systems in Tolga and Steinkjer",2025,https://www.nmbu.no/en/research/projects/feedloop,landing_html,not_downloaded,research/evidence-pack/sirkular-mat/nmbu-feedloop-2025.pdf,snapshot_html_article,media-mapping-2026-04-22
P2,url_only,Nordic,circular-food,prosjektside,Circular Households (CARE),"Circular Food Pilot — household food waste reduction 50% (NO/SE/FI/DE/EE)",2024,https://www.circularhouseholds.eu/circular-food-pilot/,landing_html,not_downloaded,research/evidence-pack/sirkular-mat/circular-households-care-pilot-2024.pdf,snapshot_html_article,media-mapping-2026-04-22
P2,url_only,NO,circular-food,selskapsside,Nutricycle/Columbi Farms,"Truly circular food production — decoupled aquaponics",2024,https://www.nutricycle.no/,landing_html,not_downloaded,research/evidence-pack/sirkular-mat/nutricycle-landing-2024.pdf,snapshot_html_article,media-mapping-2026-04-22
P1,url_only,NO,circularity-benchmark,rapport,Circle Economy,"Circularity Gap Report — Norway (2.4 percent circular)",2024,https://www.circularity-gap.world/norway,landing_html,not_downloaded,research/evidence-pack/sirkular-mat/circularity-gap-norway-2024.pdf,interactive_dashboard,media-mapping-2026-04-22
P2,url_only,NO,circular-food,artikkel,Renewable Matter,"Norway has a long way to become circular. Here is why",2024,https://www.renewablematter.eu/en/norway-has-a-long-way-to-become-circular-here-is-why,landing_html,not_downloaded,research/evidence-pack/sirkular-mat/renewable-matter-norway-2024.pdf,snapshot_html_article,media-mapping-2026-04-22
P1,url_only,SE,circular-food,prosjektside,RISE,"Circular food in practice: Collaboration for sustainable public meals",2025,https://www.ri.se/en/system-innovation/circular-transition/project/circular-food-in-practice-collaboration-for,landing_html,not_downloaded,research/evidence-pack/sirkular-mat/rise-circular-food-practice-2025.pdf,snapshot_html_article,media-mapping-2026-04-22
P1,url_only,SE,circular-food,artikkel,New Food Magazine,"Carlsberg Sverige leads circular economy push by turning beer dredge into food (Brewed and Renewed)",2024,https://www.newfoodmagazine.com/carlsberg-sverige-leads-circular-economy-push-by-turning-beer-dredge-into-food/839675.article,landing_html,not_downloaded,research/evidence-pack/sirkular-mat/new-food-carlsberg-brewed-renewed-2024.pdf,snapshot_html_article,media-mapping-2026-04-22
P2,url_only,SE,circular-food,prosjektside,Smart Built Environment,"Circular food system in Gottsunda Center — From food waste to sustainable profitability",2024,https://smartbuilt.se/in-english/projects/value-chains-and-business-models/circular-food-system-in-gottsunda/,landing_html,not_downloaded,research/evidence-pack/sirkular-mat/smartbuilt-gottsunda-2024.pdf,snapshot_html_article,media-mapping-2026-04-22
P2,url_only,SE,circular-food,artikkel,KTH PLENTY,"Rethinking Food: From byproducts to breakthroughs (Dr Aratrika Ray)",2026,https://www.kth.se/plenty/news-events/plenty/rethinking-food-from-byproducts-to-breakthroughs-1.1468809,landing_html,not_downloaded,research/evidence-pack/sirkular-mat/kth-plenty-rethinking-food-2026.pdf,snapshot_html_article,media-mapping-2026-04-22
P2,url_only,SE,circular-food,artikkel,KTH PLENTY,"Designing a More Sustainable Future: Annelise de Jong research journey",2026,https://www.kth.se/plenty/news-events/plenty/designing-a-more-sustainable-future-annelise-de-jong-s-research-journey-1.1468818,landing_html,not_downloaded,research/evidence-pack/sirkular-mat/kth-plenty-de-jong-2026.pdf,snapshot_html_article,media-mapping-2026-04-22
P2,url_only,SE,circular-food,artikkel,KTH PLENTY,"New analysis reveals climate risks to Sweden food and water supply",2026,https://www.kth.se/plenty/news-events/plenty/new-analysis-reveals-climate-risks-to-sweden-s-food-and-water-supply-1.1468806,landing_html,not_downloaded,research/evidence-pack/sirkular-mat/kth-plenty-climate-risks-2026.pdf,snapshot_html_article,media-mapping-2026-04-22
P2,url_only,SE,circular-food,artikkel,KTH PLENTY,"A framework to analyze municipalities capacities in planning for food systems resilience",2026,https://www.kth.se/plenty/news-events/plenty/a-framework-to-analyze-municipalities-capacities-in-planning-for-food-systems-resilience-1.1466984,landing_html,not_downloaded,research/evidence-pack/sirkular-mat/kth-plenty-municipalities-resilience-2026.pdf,snapshot_html_article,media-mapping-2026-04-22
P2,url_only,SE,circular-food,artikkel,KTH PLENTY,"Making Use of the Invisible Pantry (Louise Bartek)",2026,https://www.kth.se/plenty/news-events/plenty/making-use-of-the-invisible-pantry-1.1466706,landing_html,not_downloaded,research/evidence-pack/sirkular-mat/kth-plenty-invisible-pantry-2026.pdf,snapshot_html_article,media-mapping-2026-04-22
P2,url_only,SE,circular-food,case,Circular Gastronomy,"Pantries below the surface — marine allotments",2024,https://circulargastronomy.se/en/case/pantries-below-the-surface/,landing_html,not_downloaded,research/evidence-pack/sirkular-mat/circular-gastronomy-pantries-below-surface-2024.pdf,snapshot_html_article,media-mapping-2026-04-22
P2,url_only,SE,circular-food,case,Circular Gastronomy,"When citrus peels work just as well — citrus upcycling",2024,https://circulargastronomy.se/en/case/when-citrus-peels-work-just-as-well/,landing_html,not_downloaded,research/evidence-pack/sirkular-mat/circular-gastronomy-citrus-peels-2024.pdf,snapshot_html_article,media-mapping-2026-04-22
P2,url_only,SE,circular-food,case,Circular Gastronomy,"Soda from compost waste — kitchen scraps to soft drinks",2024,https://circulargastronomy.se/en/case/soda-from-compost-waste-why-not/,landing_html,not_downloaded,research/evidence-pack/sirkular-mat/circular-gastronomy-soda-compost-2024.pdf,snapshot_html_article,media-mapping-2026-04-22
P1,url_only,SE,circular-food,prosjektside,IVL,"FOCUSE — Food production and provisioning through Circular Urban Systems in European Cities",2025,https://www.ivl.se/english/ivl/our-offer/research-projects/food/food-production-and-provisioning-through-circular-urban-systems-in-european-cities.html,landing_html,not_downloaded,research/evidence-pack/sirkular-mat/ivl-focuse-2025.pdf,snapshot_html_article,media-mapping-2026-04-22
P1,url_only,SE,circularity-benchmark,rapport,Circle Economy,"Circularity Gap Report — Sweden (3.4 percent circular)",2024,https://www.circularity-gap.world/sweden,landing_html,not_downloaded,research/evidence-pack/sirkular-mat/circularity-gap-sweden-2024.pdf,interactive_dashboard,media-mapping-2026-04-22
P1,url_only,DK,circular-food,artikkel,New Food Magazine,"Amcor backs Danish circular food packaging recycling project (CRISP)",2025,https://www.newfoodmagazine.com/news/amcor-backs-danish-circular-food-packaging-recycling-project/850273.article,landing_html,not_downloaded,research/evidence-pack/sirkular-mat/new-food-amcor-crisp-2025.pdf,snapshot_html_article,media-mapping-2026-04-22
P1,url_only,DK,circular-food,artikkel,FoodNavigator,"World first circular fish farm coming to Denmark (Onnest Hirtshals)",2025,https://www.foodnavigator.com/Article/2025/11/10/worlds-first-circular-fish-farm-coming-to-denmark/,landing_html,not_downloaded,research/evidence-pack/sirkular-mat/foodnavigator-onnest-2025.pdf,snapshot_html_article,media-mapping-2026-04-22
P2,url_only,DK,circular-food,artikkel,Food Nation Denmark,"The Danish Agriculture and Food Sector Steps Up Regarding Circularity (Jalm and B, Circular Food Technology, Peter Larsen Coffee, PhosphorCare, Reduced)",2024,https://foodnationdenmark.com/news/the-danish-agriculture-and-food-sector-steps-up-regarding-circularity/,landing_html,not_downloaded,research/evidence-pack/sirkular-mat/food-nation-denmark-circularity-2024.pdf,snapshot_html_article,media-mapping-2026-04-22
P1,url_only,FI,circular-food,prosjektside,Interreg Baltic Sea Region,"Circular FoodShift — municipal food waste reduction and procurement",2024,https://interreg-baltic.eu/project/circular-foodshift/,landing_html,not_downloaded,research/evidence-pack/sirkular-mat/interreg-circular-foodshift-2024.pdf,snapshot_html_article,media-mapping-2026-04-22
P1,url_only,FI,circular-food,forskning,MDPI Sustainability,"Managing a Circular Food System in Sustainable Urban Farming — Turku University Campus (also registered as src-154)",2021,https://www.mdpi.com/2071-1050/13/11/6231,landing_html,not_downloaded,research/evidence-pack/sirkular-mat/mdpi-turku-circular-campus-2021.pdf,landing_has_abstract,media-mapping-2026-04-22
P2,url_only,IS,circular-food,artikkel,Geothermie-Schweiz,"Geothermal energy for circular food production — GEOFOOD Iceland",2020,https://geothermie-schweiz.ch/geothermal-energy-for-circular-food-production/,landing_html,not_downloaded,research/evidence-pack/sirkular-mat/geothermie-schweiz-geofood-2020.pdf,snapshot_html_article,media-mapping-2026-04-22
P3,url_only,IS,circular-food,blogg,Novia University,"Local food and fibres in Iceland — seaweed and microgreens",2024,https://novialia.novia.fi/bloggar/bioekonomi/local-food-and-fibres-in-iceland-more-than-smelly-shark-and-sweaters,landing_html,not_downloaded,research/evidence-pack/sirkular-mat/novialia-iceland-2024.pdf,snapshot_html_article,media-mapping-2026-04-22
