priority,status,country,theme,doc_type,institution,title,year,url,url_type,current_local_status,target_path,next_action,source_basis
P1,downloaded,NO,matsvinn,rapport,Miljødirektoratet,Bransjeavtalen om reduksjon av matsvinn: Hovedrapport 2020,2021,https://www.regjeringen.no/no/dokumenter/bransjeavtalen-om-reduksjon-av-matsvinn-hovedrapport-2020/,html,pdf_available,research/evidence-pack/offentlig/bransjeavtalen-hovedrapport-2020.pdf,none,matsvinn-tekst
P1,downloaded,NO,matsvinn,rapport,Landbruksdirektoratet,Matsvinn i jordbrukssektoren. Kartlegging for 2023 (Rapport 52/2024),2024,https://www.landbruksdirektoratet.no/,html,pdf_available,research/evidence-pack/offentlig/landbruksdirektoratet-matsvinn-i-jordbrukssektoren-2023-rapport-52-2024.pdf,none,matsvinn-tekst
P1,downloaded,NO,matsvinn,rapport,NORSUS/Matvett,Kartleggingsrapport for matbransjen og forbrukerleddet 2020,2021,https://norsus.no/en/kartlegging-av-matsvinn/,html,pdf_available,research/evidence-pack/offentlig/norsus-matvett-sektorrapport-matbransjen-offentlig-sektor-husholdningsleddet-or36-21.pdf,none,matsvinn-tekst
P1,downloaded,NO,matsvinn,rapport,SINTEF Ocean,Sektorrapport sjømatindustrien for 2020,2021,,,pdf_available,research/evidence-pack/offentlig/sintef-ocean-matsvinn-i-sjomatindustrien-2020.pdf,none,matsvinn-tekst
P1,downloaded,NO,matsvinn,rapport,Landbruksdirektoratet,Utvikling av matsvinnstatistikk i jordbrukssektoren,2019,,,pdf_available,research/evidence-pack/offentlig/landbruksdirektoratet-utvikling-av-matsvinnstatistikk-i-jordbrukssektoren-2019.pdf,none,matsvinn-tekst
P1,downloaded,NO,matsvinn,rapport,Landbruksdirektoratet,Utvikling av matsvinnstatistikk i korn- og grøntsektoren,2020,,,pdf_available,research/evidence-pack/offentlig/landbruksdirektoratet-utvikling-av-matsvinnstatistikk-i-korn-og-grontsektoren-2020.pdf,none,matsvinn-tekst
P1,downloaded,NO,matsvinn,politikkdokument,Regjeringen,Bærekraft i det norske matsystemet,2023,https://www.regjeringen.no/no/dokumenter/landbruks-og-matdepartementets-arbeid-med-barekraftige-matsystemer/id3073155/,html,pdf_available,research/evidence-pack/offentlig/baerekraft-i-det-norske-matsystemet-2024.pdf,none,matsvinn-tekst
P1,downloaded,NO,matsvinn,politikkdokument,Regjeringen/LMD,Landbruks- og matdepartementets arbeid med bærekraftige matsystemer,2024,https://www.regjeringen.no/no/dokumenter/landbruks-og-matdepartementets-arbeid-med-barekraftige-matsystemer/id3073155/,html,pdf_available,research/evidence-pack/offentlig/lmd-arbeid-med-baerekraftige-matsystemer-2024.pdf,none,matsvinn-tekst
P1,downloaded,NO,matsvinn,utredning,KLD/LMD,Matsvinnutvalget — tiltak og virkemidler for 50 % reduksjon innen 2030,2024,,,pdf_available,research/evidence-pack/offentlig/matsvinnutvalget-2024.pdf,none,matsvinn-tekst
P1,requires_manual,NO,matsvinn,rapport,NIBIO,"Bærekraft i norsk jordbruksproduksjon — Kunnskapsstatus for vidare analysar (Del 1)",2023,https://hdl.handle.net/11250/3088083,handle,not_downloaded,research/evidence-pack/offentlig/nibio-baerekraft-jordbruksproduksjon-kunnskapsstatus-2023.pdf,manual_download_nibio_brage_dns_down,matsvinn-tekst
P1,requires_manual,NO,matsvinn,rapport,NIBIO,"Bærekraft i norsk jordbruksproduksjon — Premisser og tiltak for forbedringer (Del 2)",2024,https://hdl.handle.net/11250/3159516,handle,not_downloaded,research/evidence-pack/offentlig/nibio-baerekraft-jordbruksproduksjon-premisser-tiltak-2024.pdf,manual_download_nibio_brage_dns_down,matsvinn-tekst
P1,downloaded,NO,matsvinn,rapport,NORSUS,Matsvinn i Norge — Rapportering av nøkkeltall 2015–2018,2019,https://norsus.no/wp-content/uploads/or3219-matsvinn-i-norge-rapportering-av-noekkeltall-2015-2018.pdf,pdf,pdf_available,research/evidence-pack/forskningsinstitutt/norsus-matsvinn-i-norge-nokkeltall-2015-2018.pdf,none,matsvinn-tekst
P1,downloaded,NO,matsvinn,rapport,NORSUS/Østfoldforskning,"Matsvinn i Norge 2010–2015 (ForMat sluttrapport)",2016,https://norsus.no/wp-content/uploads/format-rapport-2016-sluttrapport.pdf,pdf,pdf_available,research/evidence-pack/forskningsinstitutt/norsus-format-matsvinn-2010-2015-sluttrapport.pdf,none,matsvinn-tekst
P1,downloaded,NO,matsvinn,faktaark,NORSUS,Faktaark om matsvinn i Norge 2024,2025,https://norsus.no/wp-content/uploads/7.-OR.27.25-Faktark-om-matsvinn-i-Norge-2024-1.pdf,pdf,pdf_available,research/evidence-pack/forskningsinstitutt/norsus-faktaark-matsvinn-norge-2024.pdf,none,matsvinn-tekst
P1,url_only,NO,matsvinn-avfall,statistikk,SSB,Avfallshåndtering ved avfallsanlegg,2026,https://www.ssb.no/natur-og-miljo/avfall/statistikk/avfallshandtering-ved-avfallsanlegg,html,url_registered,n/a,none,matsvinn-tekst
P1,url_only,NO,matsvinn-avfall,statistikk,SSB,Avfall fra industrien,2026,https://www.ssb.no/natur-og-miljo/statistikker/avfind,html,url_registered,n/a,none,matsvinn-tekst
P1,url_only,NO,matsvinn-avfall,statistikk,SSB,Avfallsregnskapet,2026,https://www.ssb.no/natur-og-miljo/avfall/statistikk/avfallsregnskapet,html,url_registered,n/a,none,matsvinn-tekst
