priority,status,country,theme,doc_type,institution,title,year,url,url_type,current_local_status,target_path,next_action,source_basis
P1,downloaded,NO,competition,report-pdf,Regjeringen,arsrapport dagligvaretilsynet 2024,2024,https://www.regjeringen.no/contentassets/036ffda0c81e4b3f99456a78ec31df0e/arsrapport-dagligvaretilsynet-2024.pdf,pdf_direct,local_pdf_available,research/evidence-pack/offentlig/dagligvaretilsynet-aarsrapport-2024.pdf,none,perplexity-runde-2026-04-20
P1,downloaded,NO,competition,report-pdf,Regjeringen,konkurransetilsynet kt tildelingsbrev for 2026,2024,https://www.regjeringen.no/contentassets/036ffda0c81e4b3f99456a78ec31df0e/konkurransetilsynet-kt-tildelingsbrev-for-2026.pdf,pdf_direct,local_pdf_available,research/evidence-pack/offentlig/kt-tildelingsbrev-2026.pdf,none,perplexity-runde-2026-04-20
P1,downloaded,NO,circularity-ccs,report-pdf,Regjeringen,rapport co2 handtering i norsk landbasert industri frem mot 2050,2024,https://www.regjeringen.no/contentassets/4f9881329d1843a2b4c03fd3c659cb4e/rapport-co2-handtering-i-norsk-landbasert-industri-frem-mot-2050.pdf,pdf_direct,local_pdf_available,research/evidence-pack/offentlig/rapport-co2-handtering-norsk-industri-2050.pdf,none,perplexity-runde-2026-04-20
P1,downloaded,NO,competition,report-pdf,Regjeringen,horingsnotat om forslag til endringer i lov om god handelsskikk,2024,https://www.regjeringen.no/contentassets/859d5021b8c84701800831babe1ff660/horingsnotat-om-forslag-til-endringer-i-lov-om-god-handelsskikk.pdf,pdf_direct,local_pdf_available,research/evidence-pack/offentlig/horingsnotat-god-handelsskikk-endringer.pdf,none,perplexity-runde-2026-04-20
P1,downloaded,NO,general,report-pdf,Regjeringen,stm201920200033000engpdfs,2024,https://www.regjeringen.no/contentassets/943cb244091d4b2fb3782f395d69b05b/en-gb/pdfs/stm201920200033000engpdfs.pdf,pdf_direct,local_pdf_available,research/evidence-pack/offentlig/meld-st-27-2019-2020-dagligvare-eng.pdf,none,perplexity-runde-2026-04-20
P1,downloaded,NO,general,report-pdf,Regjeringen,nou201120110004000dddpdfs,2024,https://www.regjeringen.no/contentassets/a46b6fc6d9e44882a47be0621ed899a4/no/pdfs/nou201120110004000dddpdfs.pdf,pdf_direct,local_pdf_available,research/evidence-pack/offentlig/nou-2011-4-mat-makt-avmakt-full.pdf,none,perplexity-runde-2026-04-20
P1,downloaded,NO,general,legislation,Regjeringen,/no/dokumenter/meld.-st.-25-20242025/id3095592/,2024,https://www.regjeringen.no/no/dokumenter/meld.-st.-25-20242025/id3095592/?ch=10,html_page,local_pdf_available,research/evidence-pack/offentlig/meld-st-25-2024-2025-sirkular.pdf,none,perplexity-runde-2026-04-20
P1,downloaded,NO,general,legislation,Regjeringen,/no/dokumenter/meld.-st.-27-20192020/id2714670/,2024,https://www.regjeringen.no/no/dokumenter/meld.-st.-27-20192020/id2714670/?ch=2,html_page,local_pdf_available,research/evidence-pack/offentlig/meld-st-27-2019-2020-dagligvare.pdf,none,perplexity-runde-2026-04-20
P1,downloaded,NO,general,legislation,Regjeringen,/no/dokumenter/prop.-33-l-20192020/id2681097/,2024,https://www.regjeringen.no/no/dokumenter/prop.-33-l-20192020/id2681097/?ch=2,html_page,local_pdf_available,research/evidence-pack/offentlig/prop-33-l-2019-2020.pdf,none,perplexity-runde-2026-04-20
P1,downloaded,NO,general,legislation,Regjeringen,/no/dokumenter/prop.-4-l-20252026/id3124887/,2024,https://www.regjeringen.no/no/dokumenter/prop.-4-l-20252026/id3124887/?ch=2,html_page,local_pdf_available,research/evidence-pack/offentlig/prop-4-l-2025-2026.pdf,none,perplexity-runde-2026-04-20
