FREQ;Frekvens;BASE_CUR;Basisvaluta;QUOTE_CUR;Kvoteringsvaluta;TENOR;Løpetid;DECIMALS;CALCULATED;UNIT_MULT;Multiplikator;COLLECTION;Innsamlingstidspunkt;TIME_PERIOD;OBS_VALUE
B;Virkedag;ISK;Islandske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2023-03-01;7,28
B;Virkedag;ISK;Islandske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2023-03-02;7,34
B;Virkedag;ISK;Islandske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2023-03-03;7,36
B;Virkedag;ISK;Islandske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2023-03-06;7,42
B;Virkedag;ISK;Islandske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2023-03-07;7,47
B;Virkedag;ISK;Islandske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2023-03-08;7,49
B;Virkedag;ISK;Islandske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2023-03-09;7,52
B;Virkedag;ISK;Islandske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2023-03-10;7,52
B;Virkedag;ISK;Islandske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2023-03-13;7,55
B;Virkedag;ISK;Islandske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2023-03-14;7,5
B;Virkedag;ISK;Islandske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2023-03-15;7,54
B;Virkedag;ISK;Islandske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2023-03-16;7,63
B;Virkedag;ISK;Islandske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2023-03-17;7,65
B;Virkedag;ISK;Islandske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2023-03-20;7,61
B;Virkedag;ISK;Islandske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2023-03-21;7,54
B;Virkedag;ISK;Islandske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2023-03-22;7,56
B;Virkedag;ISK;Islandske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2023-03-23;7,53
B;Virkedag;ISK;Islandske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2023-03-24;7,53
B;Virkedag;ISK;Islandske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2023-03-27;7,56
B;Virkedag;ISK;Islandske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2023-03-28;7,65
B;Virkedag;ISK;Islandske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2023-03-29;7,6
B;Virkedag;ISK;Islandske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2023-03-30;7,67
B;Virkedag;ISK;Islandske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2023-03-31;7,68
B;Virkedag;ISK;Islandske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2023-04-03;7,52
B;Virkedag;ISK;Islandske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2023-04-04;7,52
B;Virkedag;ISK;Islandske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2023-04-05;7,61
B;Virkedag;ISK;Islandske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2023-04-11;7,72
B;Virkedag;ISK;Islandske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2023-04-12;7,7
