id,path,text,updated,title,variables,has_organic_term,match_terms,url
LAN10001.px,landaburdur/LAN10001.px,Consumption of artificial fertilizers from 1977,2025-12-02T09:00:05,Consumption of artificial fertilizers from 1977,Ár:Year; Áburður:Fertilizer,no,,https://px.hagstofa.is/pxen/api/v1/en/Atvinnuvegir/landbunadur/landaburdur/LAN10001.px
LAN1101.px,landbhagreikn/afkomalandbundadarins/LAN1101.px,Agricultural output 2007-2024,2025-06-10T09:00:06,Agricultural output 2007-2024,Verð:Price; Mælikvarði:Measure; Vöruflokkur:Product; Ár:Year,no,,https://px.hagstofa.is/pxen/api/v1/en/Atvinnuvegir/landbunadur/landbhagreikn/afkomalandbundadarins/LAN1101.px
LAN1103.px,landbhagreikn/afkomalandbundadarins/LAN1103.px,Intermediate consumption in agriculture 2007-2024,2025-06-10T09:00:06,Intermediate consumption in agriculture 2007-2024,Mælikvarði:Value unit; Vöruflokkur:Products; Ár:Year,no,,https://px.hagstofa.is/pxen/api/v1/en/Atvinnuvegir/landbunadur/landbhagreikn/afkomalandbundadarins/LAN1103.px
LAN1105.px,landbhagreikn/afkomalandbundadarins/LAN1105.px,Results of agricultural operations 2007-2024,2025-06-10T09:00:06,Results of agricultural operations 2007-2024,Mælikvarði:Value unit; Liður:Activity; Ár:Year,no,,https://px.hagstofa.is/pxen/api/v1/en/Atvinnuvegir/landbunadur/landbhagreikn/afkomalandbundadarins/LAN1105.px
LAN1107.px,landbhagreikn/afkomalandbundadarins/LAN1107.px,Gross fixed capital formation in agriculture 2007-2023,2025-06-10T09:00:06,Gross fixed capital formation in agriculture 2007-2023,Verðlag:Value unit; Fjármunategund:Activity; Ár:Year,no,,https://px.hagstofa.is/pxen/api/v1/en/Atvinnuvegir/landbunadur/landbhagreikn/afkomalandbundadarins/LAN1107.px
LAN05001.px,landbhagreikn/rekstrarogefnahagsyfirlit/LAN05001.px,Income statement and balance sheet for sheep farms in regions 2008-2024,2026-02-03T09:00:06,Income statement and balance sheet for sheep farms in regions 2008-2024,Landsvæði:Region; Reikningsliður:Account heading; Ár:Year,no,,https://px.hagstofa.is/pxen/api/v1/en/Atvinnuvegir/landbunadur/landbhagreikn/rekstrarogefnahagsyfirlit/LAN05001.px
LAN05002.px,landbhagreikn/rekstrarogefnahagsyfirlit/LAN05002.px,Income statement and balance sheet for sheep farms by number of livestock 2008-2024,2026-02-03T09:00:06,Income statement and balance sheet for sheep farms by number of livestock 2008-2024,Fjöldi sauðfjár:Sheep Livestock; Reikningsliður:Account heading; Ár:Year,no,,https://px.hagstofa.is/pxen/api/v1/en/Atvinnuvegir/landbunadur/landbhagreikn/rekstrarogefnahagsyfirlit/LAN05002.px
LAN05003.px,landbhagreikn/rekstrarogefnahagsyfirlit/LAN05003.px,Income statement and balance sheet for dairy farms in regions 2008-2024,2026-02-03T09:00:06,Income statement and balance sheet for dairy farms in regions 2008-2024,Landsvæði:Region; Reikningsliður:Account heading; Ár:Year,no,,https://px.hagstofa.is/pxen/api/v1/en/Atvinnuvegir/landbunadur/landbhagreikn/rekstrarogefnahagsyfirlit/LAN05003.px
LAN05004.px,landbhagreikn/rekstrarogefnahagsyfirlit/LAN05004.px,Income statement and balance sheet for dairy farms by number of livestock 2008-2024,2026-02-03T09:00:06,Income statement and balance sheet for dairy farms by number of livestock 2008-2024,Fjöldi mjólkurkúa:Dairy cattle livestock; Reikningsliður:Account heading; Ár:Year,no,,https://px.hagstofa.is/pxen/api/v1/en/Atvinnuvegir/landbunadur/landbhagreikn/rekstrarogefnahagsyfirlit/LAN05004.px
LAN05005.px,landbhagreikn/rekstrarogefnahagsyfirlit/LAN05005.px,Income statement and balance sheet for other cattle farms in regions 2008-2024,2026-02-03T09:00:06,Income statement and balance sheet for other cattle farms in regions 2008-2024,Landsvæði:Region; Reikningsliður:Account heading; Ár:Year,no,,https://px.hagstofa.is/pxen/api/v1/en/Atvinnuvegir/landbunadur/landbhagreikn/rekstrarogefnahagsyfirlit/LAN05005.px
LAN05006.px,landbhagreikn/rekstrarogefnahagsyfirlit/LAN05006.px,Income statement and balance sheet for other cattle farms by number of livestock 2008-2024,2026-02-03T09:00:06,Income statement and balance sheet for other cattle farms by number of livestock 2008-2024,Fjöldi nautgripa:Other cattle livestock; Reikningsliður:Account heading; Ár:Year,no,,https://px.hagstofa.is/pxen/api/v1/en/Atvinnuvegir/landbunadur/landbhagreikn/rekstrarogefnahagsyfirlit/LAN05006.px
LAN05007.px,landbhagreikn/rekstrarogefnahagsyfirlit/LAN05007.px,Income statements and balance sheets for growing of crops and plant propagation 2008-2024,2026-02-03T09:00:06,Income statements and balance sheets for growing of crops and plant propagation 2008-2024,Búgrein:Farming; Reikningsliður:Account heading; Ár:Year,no,,https://px.hagstofa.is/pxen/api/v1/en/Atvinnuvegir/landbunadur/landbhagreikn/rekstrarogefnahagsyfirlit/LAN05007.px
LAN05008.px,landbhagreikn/rekstrarogefnahagsyfirlit/LAN05008.px,Income statements and balance sheets for fur farming 2008-2024,2026-02-03T09:00:06,Income statements and balance sheets for fur farming 2008-2024,Reikningsliður:Account heading; Ár:Year,no,,https://px.hagstofa.is/pxen/api/v1/en/Atvinnuvegir/landbunadur/landbhagreikn/rekstrarogefnahagsyfirlit/LAN05008.px
LAN1001.px,landbrannsokn/LAN1001.px,Number of farms and utilised agricultural land 2010,2017-11-09T11:42:20,Number of farms and utilised agricultural land 2010,Region:Region; Unit:Unit,no,,https://px.hagstofa.is/pxen/api/v1/en/Atvinnuvegir/landbunadur/landbrannsokn/LAN1001.px
LAN1002.px,landbrannsokn/LAN1002.px,Livestock by regions 2010,2017-11-09T11:42:20,Livestock by regions 2010,Region:Region; Livestock:Livestock,no,,https://px.hagstofa.is/pxen/api/v1/en/Atvinnuvegir/landbunadur/landbrannsokn/LAN1002.px
LAN1003.px,landbrannsokn/LAN1003.px,Other gainful activities of agricultural holdings,2017-11-09T11:42:20,Other gainful activities of agricultural holdings,Activity:Activity; Region:Region; Volume:Volume,no,,https://px.hagstofa.is/pxen/api/v1/en/Atvinnuvegir/landbunadur/landbrannsokn/LAN1003.px
LAN10102.px,landbufe/LAN10102.px,Livestock by region from 1980,2026-02-06T12:24:06,Livestock by region from 1980,Ár:Year; Búpeningur:Livestock; Landshluti:Region,no,,https://px.hagstofa.is/pxen/api/v1/en/Atvinnuvegir/landbunadur/landbufe/LAN10102.px
LAN10103.px,landbufe/LAN10103.px,Production in agriculture from 1977,2026-03-04T12:45:35,Production in agriculture from 1977,Tegund:Products; Ár:Year,no,,https://px.hagstofa.is/pxen/api/v1/en/Atvinnuvegir/landbunadur/landbufe/LAN10103.px
LAN10201.px,landframleidsla/LAN10201.px,Meat production from 1983,2026-03-02T08:56:54,Meat production from 1983,Kjöttegund:Species; Flokkar:Item; Ár:Year,no,,https://px.hagstofa.is/pxen/api/v1/en/Atvinnuvegir/landbunadur/landframleidsla/LAN10201.px
LAN10202.px,landframleidsla/LAN10202.px,Annual meat consumption per capita 1983-2015,2021-02-15T12:36:31,Annual meat consumption per capita 1983-2015,Species:Species; Year:Year,no,,https://px.hagstofa.is/pxen/api/v1/en/Atvinnuvegir/landbunadur/landframleidsla/LAN10202.px
