reference,operator_name,postal_code,city,country,issuing_body_code,issuing_body_name,status,issued_on,expires_on,activities,categories
IS-LIF-01.352-0000090.2026.001,Sláturfélag Suðurlands svf,110,Reykjavik,IS,IS-LIF-01,Vottunarstofan Tun,ISSUED,2026-04-01T15:47:59.132Z,2028-12-31,distribution_placing_on_the_market;storing,FEED
IS-LIF-01.352-0000052.2026.001,Biobú ehf.,112,Reykjavik,IS,IS-LIF-01,Vottunarstofan Tun,ISSUED,2026-03-09T15:04:28.226Z,2026-12-31,distribution_placing_on_the_market;_import;preparation;storing,LIVESTOCK_AND_UNPROCESSED_LIVESTOCK_PRODUCTS;PROCESSED_AGRICULTURAL_PRODUCTS_INCLUDING_AQUACULTURE_FOR_USE_AS_FOOD
IS-LIF-01.352-0000076.2026.001,KARL K. KARLSON HEILDVERSLUN,203,Kopavogur,IS,IS-LIF-01,Vottunarstofan Tun,ISSUED,2026-03-02T11:07:43.407Z,2026-12-31,distribution_placing_on_the_market;_import;storing,PROCESSED_AGRICULTURAL_PRODUCTS_INCLUDING_AQUACULTURE_FOR_USE_AS_FOOD;WINE
IS-LIF-01.352-0000056.2026.002,Nesbúegg ehf.,190,Vogar,IS,IS-LIF-01,Vottunarstofan Tun,ISSUED,2026-02-26T17:33:44.595Z,2026-12-31,preparation;production,LIVESTOCK_AND_UNPROCESSED_LIVESTOCK_PRODUCTS;PROCESSED_AGRICULTURAL_PRODUCTS_INCLUDING_AQUACULTURE_FOR_USE_AS_FOOD
IS-LIF-01.352-0000089.2026.001,Auðhumla svf.,800,Selfoss,IS,IS-LIF-01,Vottunarstofan Tun,ISSUED,2026-02-26T16:50:26.720Z,2026-12-31,distribution_placing_on_the_market;storing,LIVESTOCK_AND_UNPROCESSED_LIVESTOCK_PRODUCTS
IS-LIF-01.352-0000051.2026.001,Sóley Organics ehf.,101,Reykjavik,IS,IS-LIF-01,Vottunarstofan Tun,ISSUED,2026-02-26T16:11:05.407Z,2026-12-31,production,UNPROCESSED_PLANT_PRODUCTS_INCLUDING_SEEDS
IS-LIF-01.352-0000015.2026.001,Syðra-Holt ehf.,621,Árskógssandur,IS,IS-LIF-01,Vottunarstofan Tun,ISSUED,2026-02-23T14:18:39.573Z,2026-12-31,production,LIVESTOCK_AND_UNPROCESSED_LIVESTOCK_PRODUCTS;UNPROCESSED_PLANT_PRODUCTS_INCLUDING_SEEDS
IS-LIF-01.352-0000010.2026.001,Steinaborg Berufjarðarströnd ehf.,765,Djúpivogur,IS,IS-LIF-01,Vottunarstofan Tun,ISSUED,2026-02-23T11:17:11.612Z,2026-12-31,production,ALGAE_AND_UNPROCESSED_AQUACULTURE_PRODUCTS;UNPROCESSED_PLANT_PRODUCTS_INCLUDING_SEEDS
IS-LIF-01.352-0000057.2026.001,Aðföng,104,Reykjavik,IS,IS-LIF-01,Vottunarstofan Tun,ISSUED,2026-02-13T17:25:15.277Z,2026-12-31,distribution_placing_on_the_market;preparation;storing,PROCESSED_AGRICULTURAL_PRODUCTS_INCLUDING_AQUACULTURE_FOR_USE_AS_FOOD;WINE
IS-LIF-01.352-0000088.2026.001,Spírubarinn ehf.,210,Garðabær,IS,IS-LIF-01,Vottunarstofan Tun,ISSUED,2026-02-02T11:40:28.190Z,2028-12-31,preparation;production,PROCESSED_AGRICULTURAL_PRODUCTS_INCLUDING_AQUACULTURE_FOR_USE_AS_FOOD;UNPROCESSED_PLANT_PRODUCTS_INCLUDING_SEEDS
IS-LIF-01.352-0000016.2026.001,Kaja organic ehf.,300,Akranes,IS,IS-LIF-01,Vottunarstofan Tun,ISSUED,2026-01-28T20:36:05.174Z,2026-12-31,distribution_placing_on_the_market;preparation;storing,PROCESSED_AGRICULTURAL_PRODUCTS_INCLUDING_AQUACULTURE_FOR_USE_AS_FOOD
IS-LIF-01.352-0000018.2026.001,Móðir Jörð ehf.,701,Egilsstaðir,IS,IS-LIF-01,Vottunarstofan Tun,ISSUED,2026-01-27T20:48:43.735Z,2026-12-31,preparation;production,PROCESSED_AGRICULTURAL_PRODUCTS_INCLUDING_AQUACULTURE_FOR_USE_AS_FOOD;UNPROCESSED_PLANT_PRODUCTS_INCLUDING_SEEDS
IS-LIF-01.352-0000042.2026.001,Nathan hf.,104,Reykjavik,IS,IS-LIF-01,Vottunarstofan Tun,ISSUED,2026-01-27T12:43:07.851Z,2026-12-31,distribution_placing_on_the_market;_import;storing,PROCESSED_AGRICULTURAL_PRODUCTS_INCLUDING_AQUACULTURE_FOR_USE_AS_FOOD
IS-LIF-01.352-0000001.2026.001,Heilsa ehf,112,Reykjavik,IS,IS-LIF-01,Vottunarstofan Tun,ISSUED,2026-01-25T15:50:47.571Z,2026-12-31,distribution_placing_on_the_market;_import;storing,OTHER_PRODUCTS_NOT_COVERED_BY_PREVIOUS_CATEGORIES;PROCESSED_AGRICULTURAL_PRODUCTS_INCLUDING_AQUACULTURE_FOR_USE_AS_FOOD
IS-LIF-01.352-0000068.2026.001,Villimey slf.,170,Reykjavik,IS,IS-LIF-01,Vottunarstofan Tun,ISSUED,2026-01-22T22:24:03.125Z,2026-12-31,production,UNPROCESSED_PLANT_PRODUCTS_INCLUDING_SEEDS
IS-LIF-01.352-0000035.2026.001,Smiðjugrund ehf.,,Varmahlíð,IS,IS-LIF-01,Vottunarstofan Tun,ISSUED,2026-01-22T22:06:43.141Z,2026-12-31,preparation;production,LIVESTOCK_AND_UNPROCESSED_LIVESTOCK_PRODUCTS;PROCESSED_AGRICULTURAL_PRODUCTS_INCLUDING_AQUACULTURE_FOR_USE_AS_FOOD;UNPROCESSED_PLANT_PRODUCTS_INCLUDING_SEEDS
IS-LIF-01.352-0000078.2026.001,Avita ehf.,203,Kopavogur,IS,IS-LIF-01,Vottunarstofan Tun,ISSUED,2026-01-22T19:27:05.747Z,2026-12-31,distribution_placing_on_the_market;storing,PROCESSED_AGRICULTURAL_PRODUCTS_INCLUDING_AQUACULTURE_FOR_USE_AS_FOOD
IS-LIF-01.352-0000046.2026.001,Lífland ehf,104,Reykjavik,IS,IS-LIF-01,Vottunarstofan Tun,ISSUED,2026-01-22T11:43:12.724Z,2026-12-31,distribution_placing_on_the_market;preparation;storing,FEED;LIVESTOCK_AND_UNPROCESSED_LIVESTOCK_PRODUCTS;UNPROCESSED_PLANT_PRODUCTS_INCLUDING_SEEDS
IS-LIF-01.352-0000039.2026.002,Guðmundur Ólafsson,861,Hvolsvöllur,IS,IS-LIF-01,Vottunarstofan Tun,ISSUED,2026-01-10T16:10:07.021Z,2026-12-31,production,LIVESTOCK_AND_UNPROCESSED_LIVESTOCK_PRODUCTS;UNPROCESSED_PLANT_PRODUCTS_INCLUDING_SEEDS
IS-LIF-01.352-0000036.2026.001,Friðgeir Jónasson,541,Bólstaðarhlíð,IS,IS-LIF-01,Vottunarstofan Tun,ISSUED,2026-01-10T14:45:42.803Z,2026-12-31,production,UNPROCESSED_PLANT_PRODUCTS_INCLUDING_SEEDS
IS-LIF-01.352-0000063.2026.001,Björk Svavarsdóttir,861,Hvolsvöllur,IS,IS-LIF-01,Vottunarstofan Tun,ISSUED,2026-01-05T14:02:33.923Z,2026-12-31,production,LIVESTOCK_AND_UNPROCESSED_LIVESTOCK_PRODUCTS;UNPROCESSED_PLANT_PRODUCTS_INCLUDING_SEEDS
IS-LIF-01.352-0000070.2026.001,Biogenic Minerals ehf.,225,Garðabær,IS,IS-LIF-01,Vottunarstofan Tun,ISSUED,2026-01-03T15:40:43.413Z,2026-12-31,preparation;production,ALGAE_AND_UNPROCESSED_AQUACULTURE_PRODUCTS;FEED;PROCESSED_AGRICULTURAL_PRODUCTS_INCLUDING_AQUACULTURE_FOR_USE_AS_FOOD
IS-LIF-01.352-0000037.2025.002,Hrísiðn ehf,630,Hrísey,IS,IS-LIF-01,Vottunarstofan Tun,ISSUED,2025-12-13T11:48:39.106Z,2026-12-31,preparation;production,PROCESSED_AGRICULTURAL_PRODUCTS_INCLUDING_AQUACULTURE_FOR_USE_AS_FOOD;UNPROCESSED_PLANT_PRODUCTS_INCLUDING_SEEDS
IS-LIF-01.352-0000013.2025.002,Íslensk bláskel og sjávargróður ehf.,340,Stykkishólmur,IS,IS-LIF-01,Vottunarstofan Tun,ISSUED,2025-12-10T17:53:03.000Z,2026-12-31,preparation;production,ALGAE_AND_UNPROCESSED_AQUACULTURE_PRODUCTS;PROCESSED_AGRICULTURAL_PRODUCTS_INCLUDING_AQUACULTURE_FOR_USE_AS_FOOD
IS-LIF-01.352-0000050.2025.002,Norður & Co ehf.,380,Reykhólar,IS,IS-LIF-01,Vottunarstofan Tun,ISSUED,2025-12-10T17:47:59.000Z,2026-12-31,preparation;production,OTHER_PRODUCTS_NOT_COVERED_BY_PREVIOUS_CATEGORIES
IS-LIF-01.352-0000025.2025.002,THORUNGAVERKSMIDJAN HF,380,Reykhólar,IS,IS-LIF-01,Vottunarstofan Tun,ISSUED,2025-12-10T17:42:44.000Z,2026-12-31,preparation;production,ALGAE_AND_UNPROCESSED_AQUACULTURE_PRODUCTS;FEED;PROCESSED_AGRICULTURAL_PRODUCTS_INCLUDING_AQUACULTURE_FOR_USE_AS_FOOD
IS-LIF-01.352-0000060.2025.004,Isea ehf.,340,Stykkishólmur,IS,IS-LIF-01,Vottunarstofan Tun,ISSUED,2025-12-05T14:23:09.000Z,2026-12-31,preparation;production,ALGAE_AND_UNPROCESSED_AQUACULTURE_PRODUCTS;FEED;PROCESSED_AGRICULTURAL_PRODUCTS_INCLUDING_AQUACULTURE_FOR_USE_AS_FOOD
IS-LIF-01.352-0000004.2025.004,Costco Wholesale Iceland ehf,210,Garðabær,IS,IS-LIF-01,Vottunarstofan Tun,ISSUED,2025-12-05T10:38:41.000Z,2026-12-31,distribution_placing_on_the_market;_import;storing,PROCESSED_AGRICULTURAL_PRODUCTS_INCLUDING_AQUACULTURE_FOR_USE_AS_FOOD;WINE
IS-LIF-01.352-0000054.2025.002,Icepharma hf.,110,Reykjavik,IS,IS-LIF-01,Vottunarstofan Tun,ISSUED,2025-12-05T10:31:53.000Z,2026-12-31,distribution_placing_on_the_market;_import;storing,OTHER_PRODUCTS_NOT_COVERED_BY_PREVIOUS_CATEGORIES;PROCESSED_AGRICULTURAL_PRODUCTS_INCLUDING_AQUACULTURE_FOR_USE_AS_FOOD
IS-LIF-01.352-0000014.2025.002,Ægir sjávarfang ehf,240,Grindavík,IS,IS-LIF-01,Vottunarstofan Tun,ISSUED,2025-12-04T17:46:53.000Z,2026-12-31,_import;preparation,PROCESSED_AGRICULTURAL_PRODUCTS_INCLUDING_AQUACULTURE_FOR_USE_AS_FOOD
IS-LIF-01.352-0000003.2025.003,Innnes ehf,104,Reykjavik,IS,IS-LIF-01,Vottunarstofan Tun,ISSUED,2025-12-04T15:21:11.000Z,2026-12-31,distribution_placing_on_the_market;_import;storing,PROCESSED_AGRICULTURAL_PRODUCTS_INCLUDING_AQUACULTURE_FOR_USE_AS_FOOD;UNPROCESSED_PLANT_PRODUCTS_INCLUDING_SEEDS;WINE
IS-LIF-01.352-0000005.2025.003,Íslenska kalkþörungafélagið ehf.,465,Bíldudalur,IS,IS-LIF-01,Vottunarstofan Tun,ISSUED,2025-12-04T14:44:02.000Z,2026-12-31,preparation;production,ALGAE_AND_UNPROCESSED_AQUACULTURE_PRODUCTS;PROCESSED_AGRICULTURAL_PRODUCTS_INCLUDING_AQUACULTURE_FOR_USE_AS_FOOD
IS-LIF-01.352-0000062.2025.002,Ás styrktarfélag fta.,203,Kopavogur,IS,IS-LIF-01,Vottunarstofan Tun,ISSUED,2025-11-26T16:43:43.000Z,2026-12-31,production,UNPROCESSED_PLANT_PRODUCTS_INCLUDING_SEEDS
IS-LIF-01.352-0000030.2025.002,Heilsustofnun NLFÍ,810,Hveragerði,IS,IS-LIF-01,Vottunarstofan Tun,ISSUED,2025-11-20T15:36:55.000Z,2026-12-31,production,UNPROCESSED_PLANT_PRODUCTS_INCLUDING_SEEDS
IS-LIF-01.352-0000027.2025.002,Kristján Oddsson,271,Mosfellsdalur,IS,IS-LIF-01,Vottunarstofan Tun,ISSUED,2025-11-20T14:51:57.000Z,2026-12-31,production,FEED;LIVESTOCK_AND_UNPROCESSED_LIVESTOCK_PRODUCTS;UNPROCESSED_PLANT_PRODUCTS_INCLUDING_SEEDS
IS-LIF-01.352-0000007.2025.003,Þeley ehf.,801,Selfossi,IS,IS-LIF-01,Vottunarstofan Tun,ISSUED,2025-10-17T13:49:16.000Z,2026-12-31,production,UNPROCESSED_PLANT_PRODUCTS_INCLUDING_SEEDS
IS-LIF-01.352-0000028.2025.002,Ólafur Ingi Sigurmundsson,801,Selfossi,IS,IS-LIF-01,Vottunarstofan Tun,ISSUED,2025-10-17T13:28:31.000Z,2026-12-31,production,LIVESTOCK_AND_UNPROCESSED_LIVESTOCK_PRODUCTS;UNPROCESSED_PLANT_PRODUCTS_INCLUDING_SEEDS
IS-LIF-01.352-0000087.2025.001,Olifa á Íslands ehf.,108,Reykjavik,IS,IS-LIF-01,Vottunarstofan Tun,ISSUED,2025-10-01T16:07:06.000Z,2026-12-31,distribution_placing_on_the_market;storing,PROCESSED_AGRICULTURAL_PRODUCTS_INCLUDING_AQUACULTURE_FOR_USE_AS_FOOD
IS-LIF-01.352-0000065.2025.003,Te og kaffi hf.,220,Hafnarfjordur,IS,IS-LIF-01,Vottunarstofan Tun,ISSUED,2025-10-01T15:47:14.000Z,2026-12-31,distribution_placing_on_the_market;preparation;storing,PROCESSED_AGRICULTURAL_PRODUCTS_INCLUDING_AQUACULTURE_FOR_USE_AS_FOOD
IS-LIF-01.352-0000081.2025.002,Vínbóndinn ehf.,270,Mosfellsdalur,IS,IS-LIF-01,Vottunarstofan Tun,ISSUED,2025-10-01T12:36:23.000Z,2026-12-31,distribution_placing_on_the_market;storing,PROCESSED_AGRICULTURAL_PRODUCTS_INCLUDING_AQUACULTURE_FOR_USE_AS_FOOD;WINE
IS-LIF-01.352-0000034.2025.002,Elínborg Erla Ásgeirsdóttir,,Varmahlíð,IS,IS-LIF-01,Vottunarstofan Tun,ISSUED,2025-09-17T10:53:26.000Z,2026-12-31,distribution_placing_on_the_market;preparation;production;storing,OTHER_PRODUCTS_NOT_COVERED_BY_PREVIOUS_CATEGORIES;PROCESSED_AGRICULTURAL_PRODUCTS_INCLUDING_AQUACULTURE_FOR_USE_AS_FOOD;UNPROCESSED_PLANT_PRODUCTS_INCLUDING_SEEDS
IS-LIF-01.352-0000086.2025.001,DANÓL EHF,110,Reykjavik,IS,IS-LIF-01,Vottunarstofan Tun,ISSUED,2025-07-20T20:54:26.000Z,2026-12-31,distribution_placing_on_the_market;storing,PROCESSED_AGRICULTURAL_PRODUCTS_INCLUDING_AQUACULTURE_FOR_USE_AS_FOOD;WINE
IS-LIF-01.352-0000085.2025.001,Olgerdin Egill Skallagrimsson,110,Reykjavik,IS,IS-LIF-01,Vottunarstofan Tun,ISSUED,2025-07-20T20:46:29.000Z,2026-12-31,distribution_placing_on_the_market;storing,PROCESSED_AGRICULTURAL_PRODUCTS_INCLUDING_AQUACULTURE_FOR_USE_AS_FOOD;WINE
IS-LIF-01.352-0000084.2025.001,Krónan ehf,201,Kopavogur,IS,IS-LIF-01,Vottunarstofan Tun,ISSUED,2025-07-07T10:35:18.000Z,2026-12-31,distribution_placing_on_the_market;preparation;storing,PROCESSED_AGRICULTURAL_PRODUCTS_INCLUDING_AQUACULTURE_FOR_USE_AS_FOOD;UNPROCESSED_PLANT_PRODUCTS_INCLUDING_SEEDS
IS-LIF-01.352-0000045.2025.002,Mistur ehf,112,Reykjavik,IS,IS-LIF-01,Vottunarstofan Tun,ISSUED,2025-07-02T15:11:56.000Z,2026-12-31,distribution_placing_on_the_market;storing,PROCESSED_AGRICULTURAL_PRODUCTS_INCLUDING_AQUACULTURE_FOR_USE_AS_FOOD
IS-LIF-01.352-0000074.2025.002,VAXA Technologies Iceland ehf.,112,Reykjavik,IS,IS-LIF-01,Vottunarstofan Tun,ISSUED,2025-02-20T12:49:43.000Z,2026-12-31,distribution_placing_on_the_market;export;preparation;production;storing,ALGAE_AND_UNPROCESSED_AQUACULTURE_PRODUCTS;PROCESSED_AGRICULTURAL_PRODUCTS_INCLUDING_AQUACULTURE_FOR_USE_AS_FOOD
IS-LIF-01.352-0000082.2025.001,H-Berg ehf,220,Hafnarfjordur,IS,IS-LIF-01,Vottunarstofan Tun,ISSUED,2025-02-02T15:39:32.000Z,2026-12-31,distribution_placing_on_the_market;preparation;storing,PROCESSED_AGRICULTURAL_PRODUCTS_INCLUDING_AQUACULTURE_FOR_USE_AS_FOOD
IS-LIF-01.352-0000024.2025.001,BANANAR EHF,104,Reykjavik,IS,IS-LIF-01,Vottunarstofan Tun,ISSUED,2025-01-30T20:03:23.000Z,2026-12-31,distribution_placing_on_the_market;storing,PROCESSED_AGRICULTURAL_PRODUCTS_INCLUDING_AQUACULTURE_FOR_USE_AS_FOOD;UNPROCESSED_PLANT_PRODUCTS_INCLUDING_SEEDS
IS-LIF-01.352-0000008.2025.001,Skrifandi ehf.,861,Hvolsvöllur,IS,IS-LIF-01,Vottunarstofan Tun,ISSUED,2025-01-29T21:14:13.000Z,2026-12-31,production,UNPROCESSED_PLANT_PRODUCTS_INCLUDING_SEEDS
IS-LIF-01.352-0000059.2025.001,Framtíðin ehf.,110,Reykjavik,IS,IS-LIF-01,Vottunarstofan Tun,ISSUED,2025-01-29T21:10:13.000Z,2026-12-31,production,UNPROCESSED_PLANT_PRODUCTS_INCLUDING_SEEDS
IS-LIF-01.352-0000032.2025.001,Akur organic ehf.,680,Þórshöfn,IS,IS-LIF-01,Vottunarstofan Tun,ISSUED,2025-01-29T20:38:14.000Z,2026-12-31,production,UNPROCESSED_PLANT_PRODUCTS_INCLUDING_SEEDS
IS-LIF-01.352-0000061.2025.001,Benchmark Genetics Iceland hf.,220,Hafnarfjordur,IS,IS-LIF-01,Vottunarstofan Tun,ISSUED,2025-01-29T18:20:39.000Z,2026-12-31,distribution_placing_on_the_market;production,ALGAE_AND_UNPROCESSED_AQUACULTURE_PRODUCTS
IS-LIF-01.352-0000047.2025.001,BLÓM Í EGGI - HEILSUVÖRUR,105,Reykjavik,IS,IS-LIF-01,Vottunarstofan Tun,ISSUED,2025-01-29T16:35:18.000Z,2026-12-31,distribution_placing_on_the_market;_import;storing,PROCESSED_AGRICULTURAL_PRODUCTS_INCLUDING_AQUACULTURE_FOR_USE_AS_FOOD
IS-LIF-01.352-0000066.2025.002,V.B. Umboðið ehf.,108,Reykjavik,IS,IS-LIF-01,Vottunarstofan Tun,ISSUED,2025-01-29T14:24:18.000Z,2026-12-31,distribution_placing_on_the_market;_import;storing,PROCESSED_AGRICULTURAL_PRODUCTS_INCLUDING_AQUACULTURE_FOR_USE_AS_FOOD
IS-LIF-01.352-0000058.2025.001,HOLLT OG GOTT EHF,110,Reykjavik,IS,IS-LIF-01,Vottunarstofan Tun,ISSUED,2025-01-28T21:59:38.000Z,2026-12-31,distribution_placing_on_the_market;_import;preparation;storing,UNPROCESSED_PLANT_PRODUCTS_INCLUDING_SEEDS
IS-LIF-01.352-0000043.2025.001,Brauð og co ehf.,200,Kopavogur,IS,IS-LIF-01,Vottunarstofan Tun,ISSUED,2025-01-28T21:52:04.000Z,2026-12-31,distribution_placing_on_the_market;_import;storing,PROCESSED_AGRICULTURAL_PRODUCTS_INCLUDING_AQUACULTURE_FOR_USE_AS_FOOD
IS-LIF-01.352-0000064.2025.001,Sólheimasetur ses.,801,Selfossi,IS,IS-LIF-01,Vottunarstofan Tun,ISSUED,2025-01-28T17:37:12.000Z,2026-12-31,distribution_placing_on_the_market;preparation;storing,PROCESSED_AGRICULTURAL_PRODUCTS_INCLUDING_AQUACULTURE_FOR_USE_AS_FOOD
IS-LIF-01.352-0000038.2025.001,Sláturhús Vesturlands ehf,310,Borgarnes,IS,IS-LIF-01,Vottunarstofan Tun,ISSUED,2025-01-28T17:05:22.000Z,2026-12-31,preparation,PROCESSED_AGRICULTURAL_PRODUCTS_INCLUDING_AQUACULTURE_FOR_USE_AS_FOOD
IS-LIF-01.352-0000069.2025.001,Dyer ehf.,200,Kopavogur,IS,IS-LIF-01,Vottunarstofan Tun,ISSUED,2025-01-26T23:29:59.000Z,2026-12-31,distribution_placing_on_the_market;storing,PROCESSED_AGRICULTURAL_PRODUCTS_INCLUDING_AQUACULTURE_FOR_USE_AS_FOOD
