country,year,domain,metric,value,unit,scope,source_file,source_ref,quality_flag,notes
NO,2024,area,organic_area_approved,423044,daa,approved organic agricultural area,text/no-debio-statistikk-2024.txt,section Okologisk landbruksareal,official_control,Approved organic area excluding conversion.
NO,2024,area,organic_area_including_conversion,457168,daa,organic plus conversion area,text/no-debio-statistikk-2024.txt,section Okologisk landbruksareal,official_control,Includes karens/conversion area.
NO,2024,area,organic_share_approved,4.3,percent,share of total agricultural area,text/no-debio-statistikk-2024.txt,section Okologisk landbruksareal,official_control,Excludes conversion area.
NO,2024,area,organic_share_including_conversion,4.6,percent,share of total agricultural area,text/no-debio-statistikk-2024.txt,section Okologisk landbruksareal,official_control,Includes conversion area.
NO,2024,control,certified_under_official_organic_regulation,3432,operators,whole value chain,text/no-debio-statistikk-2024.txt,lines 34-44 and 90,official_control,Debio controls more than 3800 businesses; 3432 under official organic regulation.
NO,2024,control,agricultural_operators_in_control_scheme,1914,operators,agricultural holdings,text/no-debio-statistikk-2024.txt,section Landbruksvirksomheter i kontrollordningen,official_control,Net decrease of 25 agricultural businesses in 2024.
NO,2024,control,processing_import_trade_operators,1419,operators,processing/import/trade certification area,text/no-debio-statistikk-2024.txt,lines 41-44,official_control,Up from 1382 in 2023; +2.7 percent.
NO,2025,market,organic_grocery_sales_value,4.3,NOK_billion,grocery retail,text/no-landbruksdirektoratet-okologiske-jordbruksvarer-2025.txt,lines 140-142 and 2434-2438,authority_report_pdf,Official Landbruksdirektoratet report PDF.
NO,2025,market,organic_grocery_sales_growth,17.6,percent,grocery retail year-on-year,text/no-landbruksdirektoratet-okologiske-jordbruksvarer-2025.txt,lines 140-142 and 2434-2438,authority_report_pdf,Growth from 2024.
NO,2025,production,organic_grain_production,16100,tonnes,grain,text/no-landbruksdirektoratet-okologiske-jordbruksvarer-2025.txt,lines 108-110 and 171-183,authority_report_pdf,Around 7 percent increase from previous year.
NO,2025,production,organic_grain_area,76515,daa,grain area,text/no-landbruksdirektoratet-okologiske-jordbruksvarer-2025.txt,lines 108-110 and 261-264,authority_report_pdf,Down 1.7 percent.
NO,2025,production,organic_milk_delivered,43.4,million_litres,milk delivered,text/no-landbruksdirektoratet-okologiske-jordbruksvarer-2025.txt,lines 113-118,authority_report_pdf,About unchanged from previous year.
NO,2025,market,organic_milk_sales_to_dairies,35,million_litres,milk sold to dairies,text/no-landbruksdirektoratet-okologiske-jordbruksvarer-2025.txt,lines 113-118,authority_report_pdf,Record level; not enough organic milk to meet demand.
NO,2025,production,organic_meat_production,3135,tonnes,all organic meat,text/no-landbruksdirektoratet-okologiske-jordbruksvarer-2025.txt,lines 119-124,authority_report_pdf,Small increase; poultry increased most.
NO,2025,production,organic_egg_production,4700,tonnes,eggs,text/no-landbruksdirektoratet-okologiske-jordbruksvarer-2025.txt,lines 125-127,authority_report_pdf,About 88 percent sold as organic.
NO,2025,market,organic_fruit_veg_market_share,1.6,percent,fruit and vegetables,text/no-landbruksdirektoratet-okologiske-jordbruksvarer-2025.txt,lines 128-139,authority_report_pdf,"Low level; potatoes down, field vegetables up."
NO,2025,policy,organic_production_subsidies,166.1,NOK_million,production subsidies,text/no-landbruksdirektoratet-okologiske-jordbruksvarer-2025.txt,lines 3701-3704,authority_report_pdf,Up NOK 4.8 million from previous year.
DK,2024,area,organic_production_area,295233,ha,certified/applied organic production area,text/dk-landbrugsstyrelsen-okologiske-jordbrugsbedrifter-2024.txt,lines 66-68 and 284-286,official_statistics,"Appendix line 2220 gives 295223 ha; summary says 295233 ha. Keep official summary value, flag minor internal discrepancy if importing."
DK,2024,area,organic_production_area_share,11.1,percent,share of total production area,text/dk-landbrugsstyrelsen-okologiske-jordbrugsbedrifter-2024.txt,lines 66-68,official_statistics,Down from 11.4 percent in 2023.
DK,2024,area,organic_production_area_change,-8330,ha,year-on-year area change,text/dk-landbrugsstyrelsen-okologiske-jordbrugsbedrifter-2024.txt,lines 66-68,official_statistics,About -2.7 percent.
DK,2024,control,organic_farms,3929,farms,certified or applied for certification,text/dk-landbrugsstyrelsen-okologiske-jordbrugsbedrifter-2024.txt,lines 70-72,official_statistics,30 fewer than 2023.
DK,2024,control,organic_farm_share,11.4,percent,share of all farms,text/dk-landbrugsstyrelsen-okologiske-jordbrugsbedrifter-2024.txt,lines 70-72,official_statistics,Table line 331 says 11.1 percent; needs primary-table reconciliation before canonical import.
DK,2024,market,organic_retail_sales_value,16,DKK_billion,retail trade including online shopping,text/dk-organic-denmark-market-report-2025.txt,lines 180-182,sector_market_source,Organic Denmark market report.
DK,2024,market,organic_retail_market_share_value,11.6,percent,retail trade by value,text/dk-organic-denmark-market-report-2025.txt,lines 240-252,sector_market_source,References Statistics Denmark.
DK,2024,market,organic_retail_volume_change,2,percent,retail volume year-on-year,text/dk-organic-denmark-market-report-2025.txt,lines 240-252,sector_market_source,Small increase compared with 2023.
DK,2024,market,organic_foodservice_sales_value,3.7,DKK_billion,foodservice,text/dk-organic-denmark-market-report-2025.txt,lines 180-182,sector_market_source,Report headline market split.
DK,2023,market,organic_foodservice_sales_value,3.4,DKK_billion,foodservice,text/dk-organic-denmark-market-report-2025.txt,lines 1500-1510,sector_market_source,Foodservice sales increased by 13 percent from DKK 3.0bn in 2022.
DK,2023,trade,organic_food_exports,3.5,DKK_billion,exports,text/dk-organic-denmark-market-report-2025.txt,lines 1620-1624,sector_market_source,Exports rose by 4 percent from 2022.
SE,2024,area,organic_agricultural_land,495700,ha,converted plus under conversion agricultural land,text/se-jordbruksverket-ekologisk-vaxtodling-2024.txt,line 99,official_statistics,Smallest area since 2012 according to report summary.
SE,2024,area,organic_agricultural_land_change,-54500,ha,year-on-year area change,text/se-jordbruksverket-ekologisk-vaxtodling-2024.txt,line 99,official_statistics,Corresponds to -10 percent from 2023.
SE,2024,control,enterprises_with_organic_agricultural_land,3985,enterprises,agricultural land,text/se-jordbruksverket-ekologisk-vaxtodling-2024.txt,lines 89 and 114,official_statistics,491 fewer than 2023; -30 percent since 2019 peak.
SE,2024,area,organic_arable_land,373700,ha,arable land converted plus under conversion,text/se-jordbruksverket-ekologisk-vaxtodling-2024.txt,line 108,official_statistics,14.8 percent of total Swedish arable land.
SE,2024,area,organic_pasture_land,122000,ha,pasture/slatterang converted plus under conversion,text/se-jordbruksverket-ekologisk-vaxtodling-2024.txt,line 110,official_statistics,26.9 percent of total Swedish pasture.
SE,2024,area,organic_cereal_area,89700,ha,cereals,text/se-jordbruksverket-ekologisk-vaxtodling-2024.txt,line 141,official_statistics,9.0 percent of total Swedish cereal area.
SE,2024,production,organic_milk_delivered_to_dairies,295200,tonnes,milk delivered to dairies,text/se-jordbruksverket-ekologisk-animalieproduktion-2024.txt,lines 97-99,official_statistics,Down 18 percent from 2023 and 39 percent from 2021 peak.
SE,2024,production,organic_milk_share,11,percent,share of milk delivered,text/se-jordbruksverket-ekologisk-animalieproduktion-2024.txt,lines 91 and 99,official_statistics,Approximate; line says knappt 11 percent.
SE,2024,production,organic_egg_inweighing,14000,tonnes,wholesale egg inweighing,text/se-jordbruksverket-ekologisk-animalieproduktion-2024.txt,line 147,official_statistics,Down 13 percent from 2023.
SE,2024,production,organic_egg_share,13,percent,share of wholesale egg inweighing,text/se-jordbruksverket-ekologisk-animalieproduktion-2024.txt,line 147,official_statistics,Lowest share since 2010.
SE,2024,market,organic_food_sales_value_change,-1.5,percent,total organic food sales value,text/se-ekologiska-arsrapporten-2024.txt,lines 60-70,sector_market_source,Organic share decreased in all channels.
