rank,owner,number_of_shares,percentage,last_updated,source_url,local_html_path,html_sha256
1,Gildi - lífeyrissjóður,179.893.219,16.26%,14. May 2026,https://www.hagar.is/en/investors/shareholders-information/shareholders-list/,research/evidence-pack/shareholders/hagar-shareholders-list-2026-05-18.html,b4f95654f9b3d86f5b084053b47ee203070a975e22259ce04f305e45712ce01f
2,Lífeyrissjóður verzlunarmanna,136.912.404,12.37%,14. May 2026,https://www.hagar.is/en/investors/shareholders-information/shareholders-list/,research/evidence-pack/shareholders/hagar-shareholders-list-2026-05-18.html,b4f95654f9b3d86f5b084053b47ee203070a975e22259ce04f305e45712ce01f
3,Lífeyrissj.starfsm.rík. A-deild,125.387.598,11.33%,14. May 2026,https://www.hagar.is/en/investors/shareholders-information/shareholders-list/,research/evidence-pack/shareholders/hagar-shareholders-list-2026-05-18.html,b4f95654f9b3d86f5b084053b47ee203070a975e22259ce04f305e45712ce01f
4,Brú Lífeyrissjóður starfs sveit,92.625.404,8.37%,14. May 2026,https://www.hagar.is/en/investors/shareholders-information/shareholders-list/,research/evidence-pack/shareholders/hagar-shareholders-list-2026-05-18.html,b4f95654f9b3d86f5b084053b47ee203070a975e22259ce04f305e45712ce01f
5,Kaldbakur ehf.,90.000.000,8.13%,14. May 2026,https://www.hagar.is/en/investors/shareholders-information/shareholders-list/,research/evidence-pack/shareholders/hagar-shareholders-list-2026-05-18.html,b4f95654f9b3d86f5b084053b47ee203070a975e22259ce04f305e45712ce01f
6,Birta lífeyrissjóður,71.842.636,6.49%,14. May 2026,https://www.hagar.is/en/investors/shareholders-information/shareholders-list/,research/evidence-pack/shareholders/hagar-shareholders-list-2026-05-18.html,b4f95654f9b3d86f5b084053b47ee203070a975e22259ce04f305e45712ce01f
7,Festa - lífeyrissjóður,46.149.169,4.17%,14. May 2026,https://www.hagar.is/en/investors/shareholders-information/shareholders-list/,research/evidence-pack/shareholders/hagar-shareholders-list-2026-05-18.html,b4f95654f9b3d86f5b084053b47ee203070a975e22259ce04f305e45712ce01f
8,Stapi lífeyrissjóður,32.760.917,2.96%,14. May 2026,https://www.hagar.is/en/investors/shareholders-information/shareholders-list/,research/evidence-pack/shareholders/hagar-shareholders-list-2026-05-18.html,b4f95654f9b3d86f5b084053b47ee203070a975e22259ce04f305e45712ce01f
9,Söfnunarsjóður lífeyrisréttinda,26.304.824,2.38%,14. May 2026,https://www.hagar.is/en/investors/shareholders-information/shareholders-list/,research/evidence-pack/shareholders/hagar-shareholders-list-2026-05-18.html,b4f95654f9b3d86f5b084053b47ee203070a975e22259ce04f305e45712ce01f
10,Almenni-Lífsverk lífeyrissjóður,26.267.240,2.37%,14. May 2026,https://www.hagar.is/en/investors/shareholders-information/shareholders-list/,research/evidence-pack/shareholders/hagar-shareholders-list-2026-05-18.html,b4f95654f9b3d86f5b084053b47ee203070a975e22259ce04f305e45712ce01f
11,Lífeyrissj.starfsm.rík. B-deild,19.779.633,1.79%,14. May 2026,https://www.hagar.is/en/investors/shareholders-information/shareholders-list/,research/evidence-pack/shareholders/hagar-shareholders-list-2026-05-18.html,b4f95654f9b3d86f5b084053b47ee203070a975e22259ce04f305e45712ce01f
12,Hagar hf.,17.767.034,1.61%,14. May 2026,https://www.hagar.is/en/investors/shareholders-information/shareholders-list/,research/evidence-pack/shareholders/hagar-shareholders-list-2026-05-18.html,b4f95654f9b3d86f5b084053b47ee203070a975e22259ce04f305e45712ce01f
13,Brú R deild,15.973.187,1.44%,14. May 2026,https://www.hagar.is/en/investors/shareholders-information/shareholders-list/,research/evidence-pack/shareholders/hagar-shareholders-list-2026-05-18.html,b4f95654f9b3d86f5b084053b47ee203070a975e22259ce04f305e45712ce01f
14,Vanguard Total International S,14.021.015,1.27%,14. May 2026,https://www.hagar.is/en/investors/shareholders-information/shareholders-list/,research/evidence-pack/shareholders/hagar-shareholders-list-2026-05-18.html,b4f95654f9b3d86f5b084053b47ee203070a975e22259ce04f305e45712ce01f
15,Vanguard Emerging Markets Stock,13.244.702,1.20%,14. May 2026,https://www.hagar.is/en/investors/shareholders-information/shareholders-list/,research/evidence-pack/shareholders/hagar-shareholders-list-2026-05-18.html,b4f95654f9b3d86f5b084053b47ee203070a975e22259ce04f305e45712ce01f
16,Folketrygdfondet,11.348.278,1.03%,14. May 2026,https://www.hagar.is/en/investors/shareholders-information/shareholders-list/,research/evidence-pack/shareholders/hagar-shareholders-list-2026-05-18.html,b4f95654f9b3d86f5b084053b47ee203070a975e22259ce04f305e45712ce01f
17,Stefnir - Innlend hlutabréf hs.,10.446.970,0.94%,14. May 2026,https://www.hagar.is/en/investors/shareholders-information/shareholders-list/,research/evidence-pack/shareholders/hagar-shareholders-list-2026-05-18.html,b4f95654f9b3d86f5b084053b47ee203070a975e22259ce04f305e45712ce01f
18,Sp/F NM Holding,9.177.019,0.83%,14. May 2026,https://www.hagar.is/en/investors/shareholders-information/shareholders-list/,research/evidence-pack/shareholders/hagar-shareholders-list-2026-05-18.html,b4f95654f9b3d86f5b084053b47ee203070a975e22259ce04f305e45712ce01f
19,Frjálsi lífeyrissjóðurinn,8.624.995,0.78%,14. May 2026,https://www.hagar.is/en/investors/shareholders-information/shareholders-list/,research/evidence-pack/shareholders/hagar-shareholders-list-2026-05-18.html,b4f95654f9b3d86f5b084053b47ee203070a975e22259ce04f305e45712ce01f
20,Vanguard Fiduciary Trust Compa,7.149.122,0.65%,14. May 2026,https://www.hagar.is/en/investors/shareholders-information/shareholders-list/,research/evidence-pack/shareholders/hagar-shareholders-list-2026-05-18.html,b4f95654f9b3d86f5b084053b47ee203070a975e22259ce04f305e45712ce01f
