"Year","Tonnes","Value (1000 ISK)"
1992,1613,101771
1993,2059,128752
1994,2168,124232
1995,2892,141154
1996,3064,161008
1997,3779,183026
1998,3866,229476
1999,12470,890557
2000,7161,611486
2001,8003,1043418
2002,12687,1269789
2003,20815,1399362
2004,25677,1376168
2005,28750,1028189
2006,29081,1492613
2007,31234,1481370
2008,32613,2612160
2009,48415,4188485
2010,55336,6295830
2011,54787,4222114
2012,55755,5047385
2013,58467,4976242
2014,53788,4969138
2015,51947,5607600
2016,48459,4863721
2017,40456,3404958
2018,42091,3996347
2019,28764,3874091
2020,31013,4670105
2021,32080,4774172
2022,27335,5369177
2023,26288,5997229
2024,30424,7264114
