"Species","By-product","2018 Tonnes","2018 Value (1000 ISK)","2019 Tonnes","2019 Value (1000 ISK)","2020 Tonnes","2020 Value (1000 ISK)","2021 Tonnes","2021 Value (1000 ISK)","2022 Tonnes","2022 Value (1000 ISK)","2023 Tonnes","2023 Value (1000 ISK)","2024 Tonnes","2024 Value (1000 ISK)"
"All species","All by-product",42091,3996347,28764,3874091,31013,4670105,32080,4774172,27335,5369177,26288,5997229,30424,7264114
"All species","Fish trimmings",16416,818273,6158,707425,6229,785548,8863,761827,6228,712074,7567,904666,2897,614644
"All species","Fat",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"All species","Fish tongues",8,6658,5,4963,10,9410,8,9159,17,22738,13,22280,10,21235
"All species","Heads",7592,1306722,5626,1083592,6963,1417504,7805,1624832,8224,2351593,7891,2487064,9193,2807679
"All species","Chad (capelin)",66,2591,..,..,..,..,..,..,..,..,..,..,6420,608821
"All species","Roe",1880,363114,2221,599030,2379,691110,2081,766060,2203,900862,1888,1093181,1796,934864
"All species","Fish cheeks",4,2872,2,1426,3,2106,4,2405,7,5250,5,6755,1,959
"All species","Claws",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"All species","Swim bladders",..,..,..,..,0,0,0,167,..,..,..,..,..,..
"All species","Liver",14574,1237374,13578,1230579,13506,1354672,11615,1240198,9270,1062647,7844,1124621,8524,1659027
"All species","Puffs",..,..,..,..,..,..,..,..,0,113,0,68,0,68
"All species","Fish oil",262,35316,210,33988,354,79609,280,68327,298,66026,201,77018,372,199380
"All species","Minced fish",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"All species","Fish-meal",719,103596,614,102038,1206,192280,1020,166411,682,96340,355,71009,765,167147
"All species","tails",293,109433,230,105962,265,133242,281,129660,238,143335,329,196290,335,244772
"All species","Milt (fish semen)",277,10398,119,5088,98,4619,124,5127,168,8170,180,13923,109,5519
"All species","Fins",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"All species","Fish waste",..,..,..,..,..,..,..,..,..,..,14,353,..,..
"All species","Other by-products",..,..,..,..,0,6,..,..,0,30,0,0,..,..
"Cod","All by-product",19073,2059610,18020,2331515,19347,2799030,16555,2592508,14102,2442496,12134,2680003,12959,3260312
"Cod","Fish trimmings",1624,344335,1578,423085,1777,524976,1416,389775,1180,336978,1088,342253,1256,419395
"Cod","Fat",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Cod","Fish tongues",8,6658,5,4963,10,9410,8,9159,17,22738,13,22280,10,21235
"Cod","Heads",686,31774,823,23955,1140,32370,1197,44097,1481,61447,1541,76177,1283,63661
"Cod","Chad (capelin)",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Cod","Roe",1814,358048,2096,582436,2265,679901,1954,751123,1944,858723,1653,1032761,1552,881330
"Cod","Fish cheeks",4,2872,2,1426,3,2085,4,2405,7,5250,5,6755,1,959
"Cod","Claws",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Cod","Swim bladders",..,..,..,..,0,0,0,167,..,..,..,..,..,..
"Cod","Liver",13679,1166613,12572,1154535,12493,1273780,10552,1155918,8324,986714,7083,1037406,7616,1503079
"Cod","Puffs",..,..,..,..,..,..,..,..,0,113,0,68,0,68
"Cod","Fish oil",262,35316,210,33988,354,79609,280,68327,298,66026,201,77018,372,199380
"Cod","Minced fish",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Cod","Fish-meal",719,103596,614,102038,1206,192280,1020,166411,682,96340,355,71009,759,165688
"Cod","tails",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Cod","Milt (fish semen)",277,10398,119,5088,98,4619,124,5127,168,8170,180,13923,109,5519
"Cod","Fins",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Cod","Fish waste",..,..,..,..,..,..,..,..,..,..,13,353,..,..
"Cod","Other by-products",..,..,..,..,..,..,..,..,..,..,..,..,..,..
