INFO_code,INFO_label,A_code,A_label,KAYTT_code,KAYTT_label,TUOTT_code,TUOTT_label,LJ_code,LJ_label,value,source_label,source_updated,api_url,api_query,table_id,unit,dataset_role
KGT,"1,000 kg",2022,2022,KAYTTT_YHT,TOTAL (intended use),TUOTT_YHT,TOTAL (production method),VEHN,Wheat,422117,"Use of cereals and protein and oilseeds in industry by Information, Year, Intended use, Production method and Species",2026-02-13T06:00:00Z,https://statdb.luke.fi/PxWeb/api/v1/en/LUKE/maa/vilvar/0600_vilvar.px,"{""query"":[{""code"":""INFO"",""selection"":{""filter"":""item"",""values"":[""KGT""]}},{""code"":""A"",""selection"":{""filter"":""item"",""values"":[""2022"",""2023"",""2024"",""2025""]}},{""code"":""KAYTT"",""selection"":{""filter"":""item"",""values"":[""KAYTTT_YHT"",""REHUK""]}},{""code"":""TUOTT"",""selection"":{""filter"":""item"",""values"":[""TUOTT_YHT""]}},{""code"":""LJ"",""selection"":{""filter"":""item"",""values"":[""VEHN"",""OHRA"",""KAUR"",""RYRA"",""HERN"",""HARPAP"",""MAIS"",""SOIJ""]}}],""response"":{""format"":""JSON-stat2""}}",maa/vilvar/0600_vilvar.px,1000 kg,annual_industrial_use
KGT,"1,000 kg",2022,2022,KAYTTT_YHT,TOTAL (intended use),TUOTT_YHT,TOTAL (production method),OHRA,Barley,469762,"Use of cereals and protein and oilseeds in industry by Information, Year, Intended use, Production method and Species",2026-02-13T06:00:00Z,https://statdb.luke.fi/PxWeb/api/v1/en/LUKE/maa/vilvar/0600_vilvar.px,"{""query"":[{""code"":""INFO"",""selection"":{""filter"":""item"",""values"":[""KGT""]}},{""code"":""A"",""selection"":{""filter"":""item"",""values"":[""2022"",""2023"",""2024"",""2025""]}},{""code"":""KAYTT"",""selection"":{""filter"":""item"",""values"":[""KAYTTT_YHT"",""REHUK""]}},{""code"":""TUOTT"",""selection"":{""filter"":""item"",""values"":[""TUOTT_YHT""]}},{""code"":""LJ"",""selection"":{""filter"":""item"",""values"":[""VEHN"",""OHRA"",""KAUR"",""RYRA"",""HERN"",""HARPAP"",""MAIS"",""SOIJ""]}}],""response"":{""format"":""JSON-stat2""}}",maa/vilvar/0600_vilvar.px,1000 kg,annual_industrial_use
KGT,"1,000 kg",2022,2022,KAYTTT_YHT,TOTAL (intended use),TUOTT_YHT,TOTAL (production method),KAUR,Oats,367206,"Use of cereals and protein and oilseeds in industry by Information, Year, Intended use, Production method and Species",2026-02-13T06:00:00Z,https://statdb.luke.fi/PxWeb/api/v1/en/LUKE/maa/vilvar/0600_vilvar.px,"{""query"":[{""code"":""INFO"",""selection"":{""filter"":""item"",""values"":[""KGT""]}},{""code"":""A"",""selection"":{""filter"":""item"",""values"":[""2022"",""2023"",""2024"",""2025""]}},{""code"":""KAYTT"",""selection"":{""filter"":""item"",""values"":[""KAYTTT_YHT"",""REHUK""]}},{""code"":""TUOTT"",""selection"":{""filter"":""item"",""values"":[""TUOTT_YHT""]}},{""code"":""LJ"",""selection"":{""filter"":""item"",""values"":[""VEHN"",""OHRA"",""KAUR"",""RYRA"",""HERN"",""HARPAP"",""MAIS"",""SOIJ""]}}],""response"":{""format"":""JSON-stat2""}}",maa/vilvar/0600_vilvar.px,1000 kg,annual_industrial_use
KGT,"1,000 kg",2022,2022,KAYTTT_YHT,TOTAL (intended use),TUOTT_YHT,TOTAL (production method),RYRA,Turnip rape and rape,,"Use of cereals and protein and oilseeds in industry by Information, Year, Intended use, Production method and Species",2026-02-13T06:00:00Z,https://statdb.luke.fi/PxWeb/api/v1/en/LUKE/maa/vilvar/0600_vilvar.px,"{""query"":[{""code"":""INFO"",""selection"":{""filter"":""item"",""values"":[""KGT""]}},{""code"":""A"",""selection"":{""filter"":""item"",""values"":[""2022"",""2023"",""2024"",""2025""]}},{""code"":""KAYTT"",""selection"":{""filter"":""item"",""values"":[""KAYTTT_YHT"",""REHUK""]}},{""code"":""TUOTT"",""selection"":{""filter"":""item"",""values"":[""TUOTT_YHT""]}},{""code"":""LJ"",""selection"":{""filter"":""item"",""values"":[""VEHN"",""OHRA"",""KAUR"",""RYRA"",""HERN"",""HARPAP"",""MAIS"",""SOIJ""]}}],""response"":{""format"":""JSON-stat2""}}",maa/vilvar/0600_vilvar.px,1000 kg,annual_industrial_use
KGT,"1,000 kg",2022,2022,KAYTTT_YHT,TOTAL (intended use),TUOTT_YHT,TOTAL (production method),HERN,Peas,20963,"Use of cereals and protein and oilseeds in industry by Information, Year, Intended use, Production method and Species",2026-02-13T06:00:00Z,https://statdb.luke.fi/PxWeb/api/v1/en/LUKE/maa/vilvar/0600_vilvar.px,"{""query"":[{""code"":""INFO"",""selection"":{""filter"":""item"",""values"":[""KGT""]}},{""code"":""A"",""selection"":{""filter"":""item"",""values"":[""2022"",""2023"",""2024"",""2025""]}},{""code"":""KAYTT"",""selection"":{""filter"":""item"",""values"":[""KAYTTT_YHT"",""REHUK""]}},{""code"":""TUOTT"",""selection"":{""filter"":""item"",""values"":[""TUOTT_YHT""]}},{""code"":""LJ"",""selection"":{""filter"":""item"",""values"":[""VEHN"",""OHRA"",""KAUR"",""RYRA"",""HERN"",""HARPAP"",""MAIS"",""SOIJ""]}}],""response"":{""format"":""JSON-stat2""}}",maa/vilvar/0600_vilvar.px,1000 kg,annual_industrial_use
KGT,"1,000 kg",2022,2022,KAYTTT_YHT,TOTAL (intended use),TUOTT_YHT,TOTAL (production method),HARPAP,Broad bean,6525,"Use of cereals and protein and oilseeds in industry by Information, Year, Intended use, Production method and Species",2026-02-13T06:00:00Z,https://statdb.luke.fi/PxWeb/api/v1/en/LUKE/maa/vilvar/0600_vilvar.px,"{""query"":[{""code"":""INFO"",""selection"":{""filter"":""item"",""values"":[""KGT""]}},{""code"":""A"",""selection"":{""filter"":""item"",""values"":[""2022"",""2023"",""2024"",""2025""]}},{""code"":""KAYTT"",""selection"":{""filter"":""item"",""values"":[""KAYTTT_YHT"",""REHUK""]}},{""code"":""TUOTT"",""selection"":{""filter"":""item"",""values"":[""TUOTT_YHT""]}},{""code"":""LJ"",""selection"":{""filter"":""item"",""values"":[""VEHN"",""OHRA"",""KAUR"",""RYRA"",""HERN"",""HARPAP"",""MAIS"",""SOIJ""]}}],""response"":{""format"":""JSON-stat2""}}",maa/vilvar/0600_vilvar.px,1000 kg,annual_industrial_use
KGT,"1,000 kg",2022,2022,KAYTTT_YHT,TOTAL (intended use),TUOTT_YHT,TOTAL (production method),MAIS,Maize,72044,"Use of cereals and protein and oilseeds in industry by Information, Year, Intended use, Production method and Species",2026-02-13T06:00:00Z,https://statdb.luke.fi/PxWeb/api/v1/en/LUKE/maa/vilvar/0600_vilvar.px,"{""query"":[{""code"":""INFO"",""selection"":{""filter"":""item"",""values"":[""KGT""]}},{""code"":""A"",""selection"":{""filter"":""item"",""values"":[""2022"",""2023"",""2024"",""2025""]}},{""code"":""KAYTT"",""selection"":{""filter"":""item"",""values"":[""KAYTTT_YHT"",""REHUK""]}},{""code"":""TUOTT"",""selection"":{""filter"":""item"",""values"":[""TUOTT_YHT""]}},{""code"":""LJ"",""selection"":{""filter"":""item"",""values"":[""VEHN"",""OHRA"",""KAUR"",""RYRA"",""HERN"",""HARPAP"",""MAIS"",""SOIJ""]}}],""response"":{""format"":""JSON-stat2""}}",maa/vilvar/0600_vilvar.px,1000 kg,annual_industrial_use
KGT,"1,000 kg",2022,2022,KAYTTT_YHT,TOTAL (intended use),TUOTT_YHT,TOTAL (production method),SOIJ,Soy,62499,"Use of cereals and protein and oilseeds in industry by Information, Year, Intended use, Production method and Species",2026-02-13T06:00:00Z,https://statdb.luke.fi/PxWeb/api/v1/en/LUKE/maa/vilvar/0600_vilvar.px,"{""query"":[{""code"":""INFO"",""selection"":{""filter"":""item"",""values"":[""KGT""]}},{""code"":""A"",""selection"":{""filter"":""item"",""values"":[""2022"",""2023"",""2024"",""2025""]}},{""code"":""KAYTT"",""selection"":{""filter"":""item"",""values"":[""KAYTTT_YHT"",""REHUK""]}},{""code"":""TUOTT"",""selection"":{""filter"":""item"",""values"":[""TUOTT_YHT""]}},{""code"":""LJ"",""selection"":{""filter"":""item"",""values"":[""VEHN"",""OHRA"",""KAUR"",""RYRA"",""HERN"",""HARPAP"",""MAIS"",""SOIJ""]}}],""response"":{""format"":""JSON-stat2""}}",maa/vilvar/0600_vilvar.px,1000 kg,annual_industrial_use
KGT,"1,000 kg",2022,2022,REHUK,Used for feed,TUOTT_YHT,TOTAL (production method),VEHN,Wheat,,"Use of cereals and protein and oilseeds in industry by Information, Year, Intended use, Production method and Species",2026-02-13T06:00:00Z,https://statdb.luke.fi/PxWeb/api/v1/en/LUKE/maa/vilvar/0600_vilvar.px,"{""query"":[{""code"":""INFO"",""selection"":{""filter"":""item"",""values"":[""KGT""]}},{""code"":""A"",""selection"":{""filter"":""item"",""values"":[""2022"",""2023"",""2024"",""2025""]}},{""code"":""KAYTT"",""selection"":{""filter"":""item"",""values"":[""KAYTTT_YHT"",""REHUK""]}},{""code"":""TUOTT"",""selection"":{""filter"":""item"",""values"":[""TUOTT_YHT""]}},{""code"":""LJ"",""selection"":{""filter"":""item"",""values"":[""VEHN"",""OHRA"",""KAUR"",""RYRA"",""HERN"",""HARPAP"",""MAIS"",""SOIJ""]}}],""response"":{""format"":""JSON-stat2""}}",maa/vilvar/0600_vilvar.px,1000 kg,annual_industrial_use
KGT,"1,000 kg",2022,2022,REHUK,Used for feed,TUOTT_YHT,TOTAL (production method),OHRA,Barley,195228,"Use of cereals and protein and oilseeds in industry by Information, Year, Intended use, Production method and Species",2026-02-13T06:00:00Z,https://statdb.luke.fi/PxWeb/api/v1/en/LUKE/maa/vilvar/0600_vilvar.px,"{""query"":[{""code"":""INFO"",""selection"":{""filter"":""item"",""values"":[""KGT""]}},{""code"":""A"",""selection"":{""filter"":""item"",""values"":[""2022"",""2023"",""2024"",""2025""]}},{""code"":""KAYTT"",""selection"":{""filter"":""item"",""values"":[""KAYTTT_YHT"",""REHUK""]}},{""code"":""TUOTT"",""selection"":{""filter"":""item"",""values"":[""TUOTT_YHT""]}},{""code"":""LJ"",""selection"":{""filter"":""item"",""values"":[""VEHN"",""OHRA"",""KAUR"",""RYRA"",""HERN"",""HARPAP"",""MAIS"",""SOIJ""]}}],""response"":{""format"":""JSON-stat2""}}",maa/vilvar/0600_vilvar.px,1000 kg,annual_industrial_use
