code,description,classification,year,country,flow,indicator,kg,product_key,url,error
1201,Soybeans aggregate,Classification of Products CN,2015,AA All countries together,Imports by countries of origin,V3 Quantity kg,2212086,"1201 (2002--.) Soya beans, whether or not broken",https://uljas.tulli.fi/uljas/graph/api.aspx?lang=en&atype=data&konv=json&ifile=%2FDATABASE%2F01+ULKOMAANKAUPPATILASTOT%2F01+CN%2FULJAS_CN2&Classification+of+Products+CN=1201&Year=2015&Country=AA&Flow=1&Indicators=V3,
1201,Soybeans aggregate,Classification of Products CN,2016,AA All countries together,Imports by countries of origin,V3 Quantity kg,70872113,"1201 (2002--.) Soya beans, whether or not broken",https://uljas.tulli.fi/uljas/graph/api.aspx?lang=en&atype=data&konv=json&ifile=%2FDATABASE%2F01+ULKOMAANKAUPPATILASTOT%2F01+CN%2FULJAS_CN2&Classification+of+Products+CN=1201&Year=2016&Country=AA&Flow=1&Indicators=V3,
1201,Soybeans aggregate,Classification of Products CN,2017,AA All countries together,Imports by countries of origin,V3 Quantity kg,12553367,"1201 (2002--.) Soya beans, whether or not broken",https://uljas.tulli.fi/uljas/graph/api.aspx?lang=en&atype=data&konv=json&ifile=%2FDATABASE%2F01+ULKOMAANKAUPPATILASTOT%2F01+CN%2FULJAS_CN2&Classification+of+Products+CN=1201&Year=2017&Country=AA&Flow=1&Indicators=V3,
1201,Soybeans aggregate,Classification of Products CN,2018,AA All countries together,Imports by countries of origin,V3 Quantity kg,47462881,"1201 (2002--.) Soya beans, whether or not broken",https://uljas.tulli.fi/uljas/graph/api.aspx?lang=en&atype=data&konv=json&ifile=%2FDATABASE%2F01+ULKOMAANKAUPPATILASTOT%2F01+CN%2FULJAS_CN2&Classification+of+Products+CN=1201&Year=2018&Country=AA&Flow=1&Indicators=V3,
1201,Soybeans aggregate,Classification of Products CN,2019,AA All countries together,Imports by countries of origin,V3 Quantity kg,23665625,"1201 (2002--.) Soya beans, whether or not broken",https://uljas.tulli.fi/uljas/graph/api.aspx?lang=en&atype=data&konv=json&ifile=%2FDATABASE%2F01+ULKOMAANKAUPPATILASTOT%2F01+CN%2FULJAS_CN2&Classification+of+Products+CN=1201&Year=2019&Country=AA&Flow=1&Indicators=V3,
1201,Soybeans aggregate,Classification of Products CN,2020,AA All countries together,Imports by countries of origin,V3 Quantity kg,28515568,"1201 (2002--.) Soya beans, whether or not broken",https://uljas.tulli.fi/uljas/graph/api.aspx?lang=en&atype=data&konv=json&ifile=%2FDATABASE%2F01+ULKOMAANKAUPPATILASTOT%2F01+CN%2FULJAS_CN2&Classification+of+Products+CN=1201&Year=2020&Country=AA&Flow=1&Indicators=V3,
1201,Soybeans aggregate,Classification of Products CN,2021,AA All countries together,Imports by countries of origin,V3 Quantity kg,26812793,"1201 (2002--.) Soya beans, whether or not broken",https://uljas.tulli.fi/uljas/graph/api.aspx?lang=en&atype=data&konv=json&ifile=%2FDATABASE%2F01+ULKOMAANKAUPPATILASTOT%2F01+CN%2FULJAS_CN2&Classification+of+Products+CN=1201&Year=2021&Country=AA&Flow=1&Indicators=V3,
1201,Soybeans aggregate,Classification of Products CN,2022,AA All countries together,Imports by countries of origin,V3 Quantity kg,25351466,"1201 (2002--.) Soya beans, whether or not broken",https://uljas.tulli.fi/uljas/graph/api.aspx?lang=en&atype=data&konv=json&ifile=%2FDATABASE%2F01+ULKOMAANKAUPPATILASTOT%2F01+CN%2FULJAS_CN2&Classification+of+Products+CN=1201&Year=2022&Country=AA&Flow=1&Indicators=V3,
1201,Soybeans aggregate,Classification of Products CN,2023,AA All countries together,Imports by countries of origin,V3 Quantity kg,20562651,"1201 (2002--.) Soya beans, whether or not broken",https://uljas.tulli.fi/uljas/graph/api.aspx?lang=en&atype=data&konv=json&ifile=%2FDATABASE%2F01+ULKOMAANKAUPPATILASTOT%2F01+CN%2FULJAS_CN2&Classification+of+Products+CN=1201&Year=2023&Country=AA&Flow=1&Indicators=V3,
1201,Soybeans aggregate,Classification of Products CN,2024,AA All countries together,Imports by countries of origin,V3 Quantity kg,5958444,"1201 (2002--.) Soya beans, whether or not broken",https://uljas.tulli.fi/uljas/graph/api.aspx?lang=en&atype=data&konv=json&ifile=%2FDATABASE%2F01+ULKOMAANKAUPPATILASTOT%2F01+CN%2FULJAS_CN2&Classification+of+Products+CN=1201&Year=2024&Country=AA&Flow=1&Indicators=V3,
