code,year,internal_comtrade_preview_kg,uljas_kg,diff_kg,diff_pct
1201,2022,25351466,25351466,0,0.000000
1201,2023,20562651,20562651,0,0.000000
1201,2024,5958444,5958444,0,0.000000
2304,2022,143763833,143763783,-50,-0.000035
2304,2023,87269515,87269531,16,0.000018
2304,2024,124421830,124421787,-43,-0.000035
230641,2022,214112482,214112472,-10,-0.000005
230641,2023,217552730,217552724,-6,-0.000003
230641,2024,216302600,216302676,76,0.000035
230649,2022,20590309,20590306,-3,-0.000015
230649,2023,25209370,25209360,-10,-0.000040
230649,2024,32324406,32324419,13,0.000040
