country,entity,registry_trace,source_url,local_path,sha256,access_date,access_method,artifact_status,field_citation_can_be_created_now,stop_rule
FI,Kesko Oyj,PRH open-data basic register details,https://avoindata.prh.fi/opendata-ytj-api/v3/companies?businessId=0109862-8,research/evidence-pack/registry-sources/fi-is-2026-05-18/fi/kesko-prh-open-data-company-0109862-8.json,f144452ef98c520310ea3acd23a335d85c04a6ac1a7a6565c9a0c6a4ff56730e,2026-05-18,HTTP GET,acquired,yes,Use for basic register fields only
FI,Kesko Oyj,PRH open-data service frontdoor,https://avoindata.prh.fi/en,research/evidence-pack/registry-sources/fi-is-2026-05-18/fi/prh-open-data-frontdoor.html,a77aa903b4b9b70cd24093678abd3ef5d307980f0d04be5a56a7457ee0df6e6b,2026-05-18,HTTP GET,acquired,no,Service/path citation only
FI,Kesko Oyj,Virre frontdoor redirect evidence,https://virre.prh.fi/novus/home?userLang=en,research/evidence-pack/registry-sources/fi-is-2026-05-18/fi/prh-virre-frontdoor-http-redirect.txt,b360d8b7d2ffed6c63b5b4929921fe8fd3f0c2fd6ce596da0160a96db3c05e17,2026-05-18,HTTP GET headers,blocked,no,Interactive Virre session required for stable company extract artifact
FI,Kesko Oyj,Virre instructions,https://www.prh.fi/en/companiesandorganisations/tietopalvelut/virre/virre_-_instructions.html,research/evidence-pack/registry-sources/fi-is-2026-05-18/fi/prh-virre-instructions.html,2c986dc7ef52c493fc797f975c896bfa675bd1628701bbf2875e0cebaa9cd2df,2026-05-18,HTTP GET,acquired,no,Service/path citation only
FI,Kesko Oyj,PRH Trade Register extract instructions,https://www.prh.fi/en/companiesandorganisations/tietopalvelut/trade_register_extract.html,research/evidence-pack/registry-sources/fi-is-2026-05-18/fi/prh-trade-register-extract-instructions.html,f21f02254d55a1491c4585bdd4fc7bd5ebc7df293d1640e9dd10b7deaedd7899,2026-05-18,HTTP GET,acquired,no,Do not cite extract fields until actual company extract is archived
FI,Kesko Oyj,PRH financial statements instructions,https://www.prh.fi/en/companiesandorganisations/financial_statements.html,research/evidence-pack/registry-sources/fi-is-2026-05-18/fi/prh-financial-statements-instructions.html,57356369fba46b736821fa9ecbbe5616106432ce058f134f5db9d1f36233ea28,2026-05-18,HTTP GET,acquired,no,Do not cite document fields until company-specific financial statement artifact is archived
IS,Hagar hf,Skatturinn company lookup,https://www.skatturinn.is/fyrirtaekjaskra/leit/kennitala/6702032120,research/evidence-pack/registry-sources/fi-is-2026-05-18/is/hagar-skatturinn-company-6702032120.html,19a320bec148f0c945652168e0249ab3f6620d73811c8c98b7c44249715c4052,2026-05-18,HTTP GET via search/kennitala,acquired,yes,Use for basic fields and annual-account availability only
IS,Hagar hf,Skatturinn company-registry frontdoor,https://www.skatturinn.is/fyrirtaekjaskra/,research/evidence-pack/registry-sources/fi-is-2026-05-18/is/skatturinn-company-registry-frontdoor.html,5358823a40b5577346cc52fa065c112b57b8f51c5cf5b818f6cbda367198b8d9,2026-05-18,HTTP GET,acquired,no,Service/path citation only
IS,Hagar hf,Skatturinn company information/certificate instructions,https://www.skatturinn.is/fyrirtaekjaskra/thjonusta/upplysingar-ur-fyrirtaekjaskra/,research/evidence-pack/registry-sources/fi-is-2026-05-18/is/skatturinn-company-info-certificates.html,d5547ab309f1e05f050d247a7d0bc6d6d3c6ab28a693664dfd2bbc5603984426,2026-05-18,HTTP GET,acquired,no,Acquisition instructions only
IS,Hagar hf,Skatturinn beneficial-owner path,https://www.rsk.is/fyrirtaekjaskra/raunverulegir-eigendur/,research/evidence-pack/registry-sources/fi-is-2026-05-18/is/skatturinn-beneficial-owners.html,6d00c81c3e05fa373cfdea09c5967904280641bef062f54ac034d1dabf57c6c9,2026-05-18,HTTP GET,acquired,no,Path only; company-specific Hagar BO artifact not acquired
IS,Hagar hf,Free registration overview cart evidence,https://www.skatturinn.is/da/CartService/addToCart?itemid=6702032120&typeid=9,research/evidence-pack/registry-sources/fi-is-2026-05-18/is/hagar-registration-overview-cart.html,649cab0ef98dfa3f1a7b8218ca745350637ccf03e1c720c84df8a7ad251f8b8a,2026-05-18,Session HTTP GET to cart service then cart page,applicable,no,Cart proves zero-price availability; final overview document not downloaded
IS,Hagar hf,Registration overview cart URL,ephemeral vefverslun URL saved locally,research/evidence-pack/registry-sources/fi-is-2026-05-18/is/hagar-registration-overview-cart-url.txt,7e6fbcf3dc49feedc66e857e24c3906e2a98be24925a86572497eb46733a1973,2026-05-18,Session HTTP GET,applicable,no,Ephemeral session URL only
IS,Hagar hf,2025 consolidated annual-account cart evidence,https://www.skatturinn.is/da/CartService/addToCart?itemid=799554&typeid=2,research/evidence-pack/registry-sources/fi-is-2026-05-18/is/hagar-annual-account-2025-consolidated-cart.html,93a19b2ca6d2339e1683e68de8f38f134840df3ca130994c3ff0a5ee2c79647d,2026-05-18,Session HTTP GET to cart service then cart page,applicable,no,Cart proves zero-price availability; final annual-account document not downloaded
IS,Hagar hf,Annual-account cart URL,ephemeral vefverslun URL saved locally,research/evidence-pack/registry-sources/fi-is-2026-05-18/is/hagar-annual-account-2025-consolidated-cart-url.txt,7e6fbcf3dc49feedc66e857e24c3906e2a98be24925a86572497eb46733a1973,2026-05-18,Session HTTP GET,applicable,no,Ephemeral session URL only
