target,status,operation,confidence,document_id,typed_id,existing_id,source_path,import_file_path,filename,document_title,promoted_title,review_action,title_remediation_status,current_target_links,reason_codes,reason_summary,payload_preview
Report,updated,update,medium,cmoh2g6f10000n60d269y28y9,report-food-227bb60d773e,report-food-227bb60d773e,Food Research Process 20.04.26/03_Policy_Governance_And_Market/2022-68-EMV-og-innovasjon-i-dagligvare-1.pdf,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/227bb60d77-2022-68-emv-og-innovasjon-i-dagligvare-1.pdf,2022-68-EMV-og-innovasjon-i-dagligvare-1.pdf,Egne merkevarer (EMV) og innovasjon i dagligvare,Egne merkevarer (EMV) og innovasjon i dagligvare,import,clear,,stable-id-match,stable-id-match,"{""id"":""report-food-227bb60d773e"",""title"":""Egne merkevarer (EMV) og innovasjon i dagligvare"",""fullTitle"":null,""author"":null,""institution"":null,""date"":""2022"",""year"":2022,""sourceUrl"":""https://www.menon.no/wp-content/uploads/2022-68-EMV-og-innovasjon-i-dagligvare.pdf"",""reportCategory"":""offentlig"",""country"":""no"",""keyFindings"":[],""recommendations"":[],""relevance"":""Report-oriented signals lead this recommendation: review metadata proposed doc_type=policy_report; review metadata typed_layer_candidate=report-or-source. Caution: title-remediation weak-title flags: leading_identifier; unapplied title-remediation suggestion exists but was not used for classification."",""tags"":[""batch:food-research-process-2026-04-20"",""policy-governance-market"",""03_Policy_Governance_And_Market""],""doi"":null,""isbn"":null,""issn"":null,""publisher"":null,""documentId"":""cmoh2g6f10000n60d269y28y9""}"
Report,skip,none,medium,,report-food-502c48131262,,Food Research Process 20.04.26/03_Policy_Governance_And_Market/20250326-salling-groups-erhvervelse-af-dele-af-coop-danmark-a.pdf,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/db15012312-20250326-salling-groups-erhvervelse-af-dele-af-coop-danmark-a.pdf,20250326-salling-groups-erhvervelse-af-dele-af-coop-danmark-a.pdf,Salling Group A/S’ erhvervelse af dele af Coop Danmark A/S,Salling Group A/S’ erhvervelse af dele af Coop Danmark A/S,skip,clear,,missing-batch-document,missing-batch-document,{}
Report,updated,update,high,cmoh2g6g30001n60dhuhguh87,report-food-e3f33c5a4766,report-food-e3f33c5a4766,Food Research Process 20.04.26/03_Policy_Governance_And_Market/Aarsrapport-Dagligvaretilsynet-2023.pdf,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/e3f33c5a47-aarsrapport-dagligvaretilsynet-2023.pdf,Aarsrapport-Dagligvaretilsynet-2023.pdf,Årsrapport for Dagligvaretilsynet 2023,Årsrapport for Dagligvaretilsynet 2023,import,clear,,stable-id-match,stable-id-match,"{""id"":""report-food-e3f33c5a4766"",""title"":""Årsrapport for Dagligvaretilsynet 2023"",""fullTitle"":null,""author"":null,""institution"":null,""date"":""2023"",""year"":2023,""sourceUrl"":""https://www.dagligvaretilsynet.no/rapporter-og-strategi"",""reportCategory"":""offentlig"",""country"":""no"",""keyFindings"":[],""recommendations"":[],""relevance"":""Report-oriented signals lead this recommendation: title/filename matches arsrapport language; review metadata proposed doc_type=policy_report; review metadata typed_layer_candidate=report-or-source."",""tags"":[""batch:food-research-process-2026-04-20"",""policy-governance-market"",""03_Policy_Governance_And_Market""],""doi"":null,""isbn"":null,""issn"":null,""publisher"":null,""documentId"":""cmoh2g6g30001n60dhuhguh87""}"
Report,updated,update,high,cmoh2g6gk0002n60drn30t1uq,report-food-283dd0683b0d,report-food-283dd0683b0d,Food Research Process 20.04.26/03_Policy_Governance_And_Market/Aarsrapport-Dagligvaretilsynet-2024.pdf,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/283dd0683b-aarsrapport-dagligvaretilsynet-2024.pdf,Aarsrapport-Dagligvaretilsynet-2024.pdf,Årsrapport for Dagligvaretilsynet 2024,Årsrapport for Dagligvaretilsynet 2024,import,clear,,stable-id-match,stable-id-match,"{""id"":""report-food-283dd0683b0d"",""title"":""Årsrapport for Dagligvaretilsynet 2024"",""fullTitle"":null,""author"":null,""institution"":null,""date"":""2024"",""year"":2024,""sourceUrl"":""https://www.dagligvaretilsynet.no/rapporter-og-strategi"",""reportCategory"":""offentlig"",""country"":""no"",""keyFindings"":[],""recommendations"":[],""relevance"":""Report-oriented signals lead this recommendation: title/filename matches arsrapport language; review metadata proposed doc_type=policy_report; review metadata typed_layer_candidate=report-or-source."",""tags"":[""batch:food-research-process-2026-04-20"",""policy-governance-market"",""03_Policy_Governance_And_Market""],""doi"":null,""isbn"":null,""issn"":null,""publisher"":null,""documentId"":""cmoh2g6gk0002n60drn30t1uq""}"
Report,skip,none,medium,,report-food-29367d0d7a1d,,Food Research Process 20.04.26/03_Policy_Governance_And_Market/Afgangsprojekt_HD1_Analyse_af_Salling_Group_AS_og_Coop_Danmark_AS.pdf,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/9f8d0396d2-afgangsprojekt-hd1-analyse-af-salling-group-as-og-coop-danmark-as.pdf,Afgangsprojekt_HD1_Analyse_af_Salling_Group_AS_og_Coop_Danmark_AS.pdf,Afgangsprojekt HD1 Analyse af Salling Group AS og Coop Danmark AS,Afgangsprojekt HD1 Analyse af Salling Group AS og Coop Danmark AS,skip,clear,,missing-batch-document,missing-batch-document,{}
Report,updated,update,high,cmoh2g6h40003n60dqhyqrk6u,report-food-e268bd87c1c4,report-food-e268bd87c1c4,Food Research Process 20.04.26/03_Policy_Governance_And_Market/cibus_interim_report_q3_2025.pdf,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/e268bd87c1-cibus-interim-report-q3-2025.pdf,cibus_interim_report_q3_2025.pdf,cibus interim report q3 2025,cibus interim report q3 2025,import,clear,,stable-id-match,stable-id-match,"{""id"":""report-food-e268bd87c1c4"",""title"":""cibus interim report q3 2025"",""fullTitle"":null,""author"":null,""institution"":null,""date"":""2025"",""year"":2025,""sourceUrl"":""https://www.cibusrealestate.com/investors/financial-reports"",""reportCategory"":""offentlig"",""country"":""se"",""keyFindings"":[],""recommendations"":[],""relevance"":""Report-oriented signals lead this recommendation: title/filename matches interim report language; review metadata proposed doc_type=policy_report; title/filename uses report language."",""tags"":[""batch:food-research-process-2026-04-20"",""policy-governance-market"",""03_Policy_Governance_And_Market""],""doi"":null,""isbn"":null,""issn"":null,""publisher"":null,""documentId"":""cmoh2g6h40003n60dqhyqrk6u""}"
Report,updated,update,high,cmoh2g6hv0004n60duhghy9p9,report-food-cc2689719568,report-food-cc2689719568,Food Research Process 20.04.26/03_Policy_Governance_And_Market/cibus_nordic_annual_report_2025.pdf,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/cc26897195-cibus-nordic-annual-report-2025.pdf,cibus_nordic_annual_report_2025.pdf,cibus nordic annual report 2025,cibus nordic annual report 2025,import,clear,,stable-id-match,stable-id-match,"{""id"":""report-food-cc2689719568"",""title"":""cibus nordic annual report 2025"",""fullTitle"":null,""author"":null,""institution"":null,""date"":""2025"",""year"":2025,""sourceUrl"":""https://www.cibusrealestate.com/investors/financial-reports"",""reportCategory"":""offentlig"",""country"":""nordic"",""keyFindings"":[],""recommendations"":[],""relevance"":""Report-oriented signals lead this recommendation: title/filename matches annual report language; review metadata proposed doc_type=policy_report; title/filename uses report language."",""tags"":[""batch:food-research-process-2026-04-20"",""policy-governance-market"",""03_Policy_Governance_And_Market""],""doi"":null,""isbn"":null,""issn"":null,""publisher"":null,""documentId"":""cmoh2g6hv0004n60duhghy9p9""}"
Report,updated,update,high,cmoh2g6ig0005n60d8xqmk6nz,report-food-069b10c9ac66,report-food-069b10c9ac66,Food Research Process 20.04.26/03_Policy_Governance_And_Market/cibus_year-end_report_2025.pdf,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/069b10c9ac-cibus-year-end-report-2025.pdf,cibus_year-end_report_2025.pdf,cibus year end report 2025,cibus year end report 2025,import,clear,,stable-id-match,stable-id-match,"{""id"":""report-food-069b10c9ac66"",""title"":""cibus year end report 2025"",""fullTitle"":null,""author"":null,""institution"":null,""date"":""2025"",""year"":2025,""sourceUrl"":""https://www.cibusrealestate.com/investors/financial-reports"",""reportCategory"":""offentlig"",""country"":""se"",""keyFindings"":[],""recommendations"":[],""relevance"":""Report-oriented signals lead this recommendation: title/filename matches year-end report language; review metadata proposed doc_type=policy_report; title/filename uses report language."",""tags"":[""batch:food-research-process-2026-04-20"",""policy-governance-market"",""03_Policy_Governance_And_Market""],""doi"":null,""isbn"":null,""issn"":null,""publisher"":null,""documentId"":""cmoh2g6ig0005n60d8xqmk6nz""}"
Report,skip,none,medium,,report-food-720b94622ac2,,Food Research Process 20.04.26/03_Policy_Governance_And_Market/Dagligvare_ Forskjeller i innkjøpspriser ytterligere redusert - Konkurransetilsynet.pdf,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/19fbdf3210-dagligvare-forskjeller-i-innkj-pspriser-ytterligere-redusert-konkurransetilsynet.pdf,Dagligvare_ Forskjeller i innkjøpspriser ytterligere redusert - Konkurransetilsynet.pdf,Dagligvare: Forskjeller i innkjøpspriser ytterligere redusert - Konkurransetilsynet,Kartlegging av innkjopspriser 2017-2023,skip,clear,,missing-batch-document,missing-batch-document,{}
Report,skip,none,high,,report-food-42899925473d,,Food Research Process 20.04.26/03_Policy_Governance_And_Market/dagligvare_rapport.pdf,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/82be185d01-dagligvare-rapport.pdf,dagligvare_rapport.pdf,Samarbeidsklimaet i dagligvarebransjen,Samarbeidsklima-undersokelsen 2025,skip,clear,,missing-batch-document,missing-batch-document,{}
