target,status,operation,confidence,document_id,typed_id,existing_id,source_path,import_file_path,filename,document_title,promoted_title,review_action,title_remediation_status,current_target_links,reason_codes,reason_summary,payload_preview
SourceDoc,updated,update,high,cmo7cfjg9000fzo0duxs28t20,src-food-f93b8ffb56bf,src-food-f93b8ffb56bf,Food Research Process 20.04.26/03_Policy_Governance_And_Market/Forbyr praksis som motvirker konkurranse i dagligvaremarkedet - regjeringen.no.pdf,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/f93b8ffb56-forbyr-praksis-som-motvirker-konkurranse-i-dagligvaremarkedet-regjeringen-no.pdf,Forbyr praksis som motvirker konkurranse i dagligvaremarkedet - regjeringen.no.pdf,Forbyr praksis som motvirker konkurranse i dagligvaremarkedet - regjeringen.no,Forbyr praksis som motvirker konkurranse i dagligvaremarkedet - regjeringen.no,import,clear,SourceDoc:src-food-f93b8ffb56bf,document-already-linked-to-sourcedoc,document-already-linked-to-sourcedoc,"{""id"":""src-food-f93b8ffb56bf"",""filename"":""Forbyr praksis som motvirker konkurranse i dagligvaremarkedet - regjeringen.no.pdf"",""title"":""Forbyr praksis som motvirker konkurranse i dagligvaremarkedet - regjeringen.no"",""author"":null,""year"":null,""sourceType"":""policy-report"",""description"":""Promoted from 03_Policy_Governance_And_Market in food-research-process-2026-04-20."",""relevance"":""Source-material signals lead this recommendation: title/filename references regjeringen.no; title is formatted like a web or page capture; review metadata typed_layer_candidate=report-or-source."",""url"":null,""isDuplicate"":false,""doi"":null,""publisher"":null,""documentId"":""cmo7cfjg9000fzo0duxs28t20""}"
SourceDoc,updated,update,medium,cmo7cfjh1000hzo0dxg2jh678,src-food-7ff714786c3d,src-food-7ff714786c3d,Food Research Process 20.04.26/03_Policy_Governance_And_Market/fréttatilkynning-hagar-4f-2024-25-ensk.pdf,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/7ff714786c-frettatilkynning-hagar-4f-2024-25-ensk.pdf,fréttatilkynning-hagar-4f-2024-25-ensk.pdf,Hagar PLC: Management Report 2024/25 and Fourth-Quarter Results,Hagar PLC: Management Report 2024/25 and Fourth-Quarter Results,import,clear,SourceDoc:src-food-7ff714786c3d,document-already-linked-to-sourcedoc,document-already-linked-to-sourcedoc,"{""id"":""src-food-7ff714786c3d"",""filename"":""fréttatilkynning-hagar-4f-2024-25-ensk.pdf"",""title"":""Hagar PLC: Management Report 2024/25 and Fourth-Quarter Results"",""author"":null,""year"":""2024"",""sourceType"":""policy-report"",""description"":""Promoted from 03_Policy_Governance_And_Market in food-research-process-2026-04-20."",""relevance"":""Source-material signals lead this recommendation: title/filename uses press-announcement language; title is formatted like a web or page capture; review metadata typed_layer_candidate=report-or-source. Caution: current imported title still looks like a word-export artifact."",""url"":null,""isDuplicate"":false,""doi"":null,""publisher"":null,""documentId"":""cmo7cfjh1000hzo0dxg2jh678""}"
SourceDoc,updated,update,high,cmo7cfji6000kzo0dxu3gk58h,src-food-5f481fd61eef,src-food-5f481fd61eef,Food Research Process 20.04.26/03_Policy_Governance_And_Market/Ny rapport om krav til åpenhet i dagligvarebransjen - regjeringen.no.pdf,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/5f481fd61e-ny-rapport-om-krav-til-apenhet-i-dagligvarebransjen-regjeringen-no.pdf,Ny rapport om krav til åpenhet i dagligvarebransjen - regjeringen.no.pdf,Ny rapport om krav til åpenhet i dagligvarebransjen - regjeringen.no,Ny rapport om krav til åpenhet i dagligvarebransjen - regjeringen.no,import,clear,SourceDoc:src-food-5f481fd61eef,document-already-linked-to-sourcedoc,document-already-linked-to-sourcedoc,"{""id"":""src-food-5f481fd61eef"",""filename"":""Ny rapport om krav til åpenhet i dagligvarebransjen - regjeringen.no.pdf"",""title"":""Ny rapport om krav til åpenhet i dagligvarebransjen - regjeringen.no"",""author"":null,""year"":null,""sourceType"":""policy-report"",""description"":""Promoted from 03_Policy_Governance_And_Market in food-research-process-2026-04-20."",""relevance"":""Source-material signals lead this recommendation: title/filename references regjeringen.no; title is formatted like a web or page capture; review metadata typed_layer_candidate=report-or-source."",""url"":null,""isDuplicate"":false,""doi"":null,""publisher"":null,""documentId"":""cmo7cfji6000kzo0dxu3gk58h""}"
SourceDoc,updated,update,high,cmo7cfjik000lzo0dhwyr3vkq,src-food-cc43df6788d9,src-food-cc43df6788d9,Food Research Process 20.04.26/03_Policy_Governance_And_Market/Nye tiltak for bedre konkurranse i dagligvarebransjen - regjeringen.no.pdf,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/cc43df6788-nye-tiltak-for-bedre-konkurranse-i-dagligvarebransjen-regjeringen-no.pdf,Nye tiltak for bedre konkurranse i dagligvarebransjen - regjeringen.no.pdf,Nye tiltak for bedre konkurranse i dagligvarebransjen - regjeringen.no,Nye tiltak for bedre konkurranse i dagligvarebransjen - regjeringen.no,import,clear,SourceDoc:src-food-cc43df6788d9,document-already-linked-to-sourcedoc,document-already-linked-to-sourcedoc,"{""id"":""src-food-cc43df6788d9"",""filename"":""Nye tiltak for bedre konkurranse i dagligvarebransjen - regjeringen.no.pdf"",""title"":""Nye tiltak for bedre konkurranse i dagligvarebransjen - regjeringen.no"",""author"":null,""year"":null,""sourceType"":""policy-report"",""description"":""Promoted from 03_Policy_Governance_And_Market in food-research-process-2026-04-20."",""relevance"":""Source-material signals lead this recommendation: title/filename references regjeringen.no; title is formatted like a web or page capture; review metadata typed_layer_candidate=report-or-source."",""url"":null,""isDuplicate"":false,""doi"":null,""publisher"":null,""documentId"":""cmo7cfjik000lzo0dhwyr3vkq""}"
SourceDoc,updated,update,high,cmo7cfjmp000vzo0d23ke9a3z,src-food-357f64eccf76,src-food-357f64eccf76,Food Research Process 20.04.26/03_Policy_Governance_And_Market/Svak konkurranse – som fortjent - Civita.pdf,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/357f64eccf-svak-konkurranse-som-fortjent-civita.pdf,Svak konkurranse – som fortjent - Civita.pdf,Svak konkurranse – som fortjent - Civita,Svak konkurranse – som fortjent - Civita,import,clear,SourceDoc:src-food-357f64eccf76,document-already-linked-to-sourcedoc,document-already-linked-to-sourcedoc,"{""id"":""src-food-357f64eccf76"",""filename"":""Svak konkurranse – som fortjent - Civita.pdf"",""title"":""Svak konkurranse – som fortjent - Civita"",""author"":null,""year"":null,""sourceType"":""policy-report"",""description"":""Promoted from 03_Policy_Governance_And_Market in food-research-process-2026-04-20."",""relevance"":""Source-material signals lead this recommendation: title/filename references Civita; title is formatted like a web or page capture; review metadata typed_layer_candidate=report-or-source."",""url"":null,""isDuplicate"":false,""doi"":null,""publisher"":null,""documentId"":""cmo7cfjmp000vzo0d23ke9a3z""}"
SourceDoc,updated,update,medium,cmo7cfjo0000yzo0d8ktckmfs,src-food-742d30b62e5b,src-food-742d30b62e5b,Food Research Process 20.04.26/04_Food_Waste_And_Circularity/100 millioner brød har blitt kastet siden… _ Framtiden i våre hender.pdf,incoming/food-research-process-2026-04-20/04-food-waste-and-circularity/742d30b62e-100-millioner-br-d-har-blitt-kastet-siden-framtiden-i-vare-hender.pdf,100 millioner brød har blitt kastet siden… _ Framtiden i våre hender.pdf,100 millioner brød har blitt kastet siden… | Framtiden i våre hender,100 millioner brød har blitt kastet siden… | Framtiden i våre hender,import,clear,SourceDoc:src-food-742d30b62e5b,document-already-linked-to-sourcedoc,document-already-linked-to-sourcedoc,"{""id"":""src-food-742d30b62e5b"",""filename"":""100 millioner brød har blitt kastet siden… _ Framtiden i våre hender.pdf"",""title"":""100 millioner brød har blitt kastet siden… | Framtiden i våre hender"",""author"":null,""year"":null,""sourceType"":""pdf-document"",""description"":""Promoted from 04_Food_Waste_And_Circularity in food-research-process-2026-04-20."",""relevance"":""Source-material signals lead this recommendation: title is formatted like a web or page capture; title punctuation reads like article or web-copy language; review metadata typed_layer_candidate=report-or-source."",""url"":null,""isDuplicate"":false,""doi"":null,""publisher"":null,""documentId"":""cmo7cfjo0000yzo0d8ktckmfs""}"
SourceDoc,updated,update,high,cmo7cfjoq0010zo0dwaqdqvl0,src-food-a96beaeb90c8,src-food-a96beaeb90c8,Food Research Process 20.04.26/04_Food_Waste_And_Circularity/Consumer food waste prevention - Food Safety - European Commission.pdf,incoming/food-research-process-2026-04-20/04-food-waste-and-circularity/a96beaeb90-consumer-food-waste-prevention-food-safety-european-commission.pdf,Consumer food waste prevention - Food Safety - European Commission.pdf,Consumer food waste prevention - Food Safety - European Commission,Consumer food waste prevention - Food Safety - European Commission,import,clear,SourceDoc:src-food-a96beaeb90c8,document-already-linked-to-sourcedoc,document-already-linked-to-sourcedoc,"{""id"":""src-food-a96beaeb90c8"",""filename"":""Consumer food waste prevention - Food Safety - European Commission.pdf"",""title"":""Consumer food waste prevention - Food Safety - European Commission"",""author"":null,""year"":null,""sourceType"":""pdf-document"",""description"":""Promoted from 04_Food_Waste_And_Circularity in food-research-process-2026-04-20."",""relevance"":""Source-material signals lead this recommendation: title/filename references the European Commission; title is formatted like a web or page capture; review metadata typed_layer_candidate=report-or-source."",""url"":null,""isDuplicate"":false,""doi"":null,""publisher"":null,""documentId"":""cmo7cfjoq0010zo0dwaqdqvl0""}"
SourceDoc,updated,update,medium,cmo7cfjpa0011zo0dgcffn9tz,src-food-350c203a5cc1,src-food-350c203a5cc1,Food Research Process 20.04.26/04_Food_Waste_And_Circularity/Det er mye penger å tjene på matsvinn _ Framtiden i våre hender.pdf,incoming/food-research-process-2026-04-20/04-food-waste-and-circularity/350c203a5c-det-er-mye-penger-a-tjene-pa-matsvinn-framtiden-i-vare-hender.pdf,Det er mye penger å tjene på matsvinn _ Framtiden i våre hender.pdf,Det er mye penger å tjene på matsvinn | Framtiden i våre hender,Det er mye penger å tjene på matsvinn | Framtiden i våre hender,import,clear,SourceDoc:src-food-350c203a5cc1,document-already-linked-to-sourcedoc,document-already-linked-to-sourcedoc,"{""id"":""src-food-350c203a5cc1"",""filename"":""Det er mye penger å tjene på matsvinn _ Framtiden i våre hender.pdf"",""title"":""Det er mye penger å tjene på matsvinn | Framtiden i våre hender"",""author"":null,""year"":null,""sourceType"":""pdf-document"",""description"":""Promoted from 04_Food_Waste_And_Circularity in food-research-process-2026-04-20."",""relevance"":""Source-material signals lead this recommendation: title is formatted like a web or page capture; review metadata typed_layer_candidate=report-or-source."",""url"":null,""isDuplicate"":false,""doi"":null,""publisher"":null,""documentId"":""cmo7cfjpa0011zo0dgcffn9tz""}"
SourceDoc,updated,update,high,cmo7cfjpo0012zo0dxzhu3e7s,src-food-3604b45fb661,src-food-3604b45fb661,Food Research Process 20.04.26/04_Food_Waste_And_Circularity/Efficiency of a novel “Food to waste to food” system including anaerobic digestion of food waste and cultivation of vegetables on digestate in a bubble-insulated greenhouse - ScienceDirect.pdf,incoming/food-research-process-2026-04-20/04-food-waste-and-circularity/3604b45fb6-efficiency-of-a-novel-food-to-waste-to-food-system-including-anaerobic-digestion-of-food-waste-and-cultivation-of-vegetables-on-digestate-in-a-bubble-insulated-greenhouse-sciencedirect.pdf,Efficiency of a novel “Food to waste to food” system including anaerobic digestion of food waste and cultivation of vegetables on digestate in a bubble-insulated greenhouse - ScienceDirect.pdf,Efficiency of a novel “Food to waste to food” system including anaerobic digestion of food waste and cultivation of vegetables on digestate in a bubble-insulated greenhouse - ScienceDirect,Efficiency of a novel “Food to waste to food” system including anaerobic digestion of food waste and cultivation of vegetables on digestate in a bubble-insulated greenhouse - ScienceDirect,import,clear,SourceDoc:src-food-3604b45fb661,document-already-linked-to-sourcedoc,document-already-linked-to-sourcedoc,"{""id"":""src-food-3604b45fb661"",""filename"":""Efficiency of a novel “Food to waste to food” system including anaerobic digestion of food waste and cultivation of vegetables on digestate in a bubble-insulated greenhouse - ScienceDirect.pdf"",""title"":""Efficiency of a novel “Food to waste to food” system including anaerobic digestion of food waste and cultivation of vegetables on digestate in a bubble-insulated greenhouse - ScienceDirect"",""author"":null,""year"":null,""sourceType"":""pdf-document"",""description"":""Promoted from 04_Food_Waste_And_Circularity in food-research-process-2026-04-20."",""relevance"":""Source-material signals lead this recommendation: title/filename references ScienceDirect; title is formatted like a web or page capture; review metadata typed_layer_candidate=report-or-source."",""url"":null,""isDuplicate"":false,""doi"":null,""publisher"":null,""documentId"":""cmo7cfjpo0012zo0dxzhu3e7s""}"
SourceDoc,updated,update,medium,cmo7cfjq60013zo0dceywnb0k,src-food-417f05987af9,src-food-417f05987af9,Food Research Process 20.04.26/04_Food_Waste_And_Circularity/Endelig er matsvinnloven her! _ Framtiden i våre hender.pdf,incoming/food-research-process-2026-04-20/04-food-waste-and-circularity/417f05987a-endelig-er-matsvinnloven-her-framtiden-i-vare-hender.pdf,Endelig er matsvinnloven her! _ Framtiden i våre hender.pdf,Endelig er matsvinnloven her! | Framtiden i våre hender,Endelig er matsvinnloven her! | Framtiden i våre hender,import,clear,SourceDoc:src-food-417f05987af9,document-already-linked-to-sourcedoc,document-already-linked-to-sourcedoc,"{""id"":""src-food-417f05987af9"",""filename"":""Endelig er matsvinnloven her! _ Framtiden i våre hender.pdf"",""title"":""Endelig er matsvinnloven her! | Framtiden i våre hender"",""author"":null,""year"":null,""sourceType"":""pdf-document"",""description"":""Promoted from 04_Food_Waste_And_Circularity in food-research-process-2026-04-20."",""relevance"":""Source-material signals lead this recommendation: title is formatted like a web or page capture; title punctuation reads like article or web-copy language; review metadata typed_layer_candidate=report-or-source."",""url"":null,""isDuplicate"":false,""doi"":null,""publisher"":null,""documentId"":""cmo7cfjq60013zo0dceywnb0k""}"
