target,status,operation,confidence,document_id,typed_id,existing_id,source_path,import_file_path,filename,document_title,promoted_title,review_action,title_remediation_status,current_target_links,reason_codes,reason_summary,payload_preview
Thesis,updated,update,medium,cmo7cfjfw000ezo0dgez09d69,thesis-food-bef4051e02de,thesis-food-bef4051e02de,Food Research Process 20.04.26/03_Policy_Governance_And_Market/Effekter-av-innkjopssamarbeid-i-det-norske-dagligvaremarkedet-masteroppgave-2015.pdf,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/bef4051e02-effekter-av-innkjopssamarbeid-i-det-norske-dagligvaremarkedet-masteroppgave-2015.pdf,Effekter-av-innkjopssamarbeid-i-det-norske-dagligvaremarkedet-masteroppgave-2015.pdf,Microsoft Word - Masteroppgave revidert 3.docx,Microsoft Word - Masteroppgave revidert 3.docx,import,clear,Thesis:thesis-food-bef4051e02de,document-already-linked-to-thesis,document-already-linked-to-thesis,"{""id"":""thesis-food-bef4051e02de"",""authors"":""Kare Helvik Morken"",""institution"":""Universitetet i Bergen, Institutt for okonomi"",""year"":2015,""title"":""Effekter av innkjopssamarbeid i det norske dagligvaremarkedet - En litteraturstudie"",""titleNo"":null,""url"":""https://hdl.handle.net/1956/10899"",""synthesis"":""Litteraturstudie av hvordan innkjopssamarbeid paverker konkurranse og velferd i norsk dagligvare. Oppgaven konkluderer med at slike samarbeid oker risikoen for hoyere sluttbrukerpriser og lavere konsumentvelferd uten tydelig gevinst for samlet velferd."",""keyFindings"":[],""tags"":[""batch:food-research-process-2026-04-20"",""policy-governance-market"",""03_Policy_Governance_And_Market""],""takeaways"":[],""method"":null,""awardWinning"":false,""degree"":""master"",""doi"":null,""isbn"":null,""publisher"":null,""accessDate"":null,""documentId"":""cmo7cfjfw000ezo0dgez09d69""}"
Thesis,updated,update,low,cmo7cfjvp001gzo0de8n9rsaa,thesis-food-49a5e899db68,thesis-food-49a5e899db68,Food Research Process 20.04.26/04_Food_Waste_And_Circularity/Resource-Recovery-surplus-bread-thesis.pdf,incoming/food-research-process-2026-04-20/04-food-waste-and-circularity/49a5e899db-resource-recovery-surplus-bread-thesis.pdf,Resource-Recovery-surplus-bread-thesis.pdf,Prevention and valorisation of surplus bread at the supplier–retailer interface,Prevention and valorisation of surplus bread at the supplier–retailer interface,import,clear,Thesis:thesis-food-49a5e899db68,document-already-linked-to-thesis,document-already-linked-to-thesis,"{""id"":""thesis-food-49a5e899db68"",""authors"":""Pedro Luz Brancoli"",""institution"":""University of Boras, Faculty of Textiles, Engineering and Business"",""year"":2021,""title"":""Prevention and valorisation of surplus bread at the supplier-retailer interface"",""titleNo"":null,""url"":""https://urn.kb.se/resolve?urn=urn:nbn:se:hb:diva-26454"",""synthesis"":""Doktoravhandlingen kvantifiserer svensk brodsvinn og viser at take-back-avtaler mellom bakeri og retail er en sentral driver for overproduksjon og svinn. Den finner ogsa at forebygging, donasjon og dyrefor gir bedre miljoresultater enn anaerob nedbrytning og forbrenning."",""keyFindings"":[],""tags"":[""batch:food-research-process-2026-04-20"",""food-waste-circularity"",""04_Food_Waste_And_Circularity""],""takeaways"":[],""method"":null,""awardWinning"":false,""degree"":""master"",""doi"":null,""isbn"":null,""publisher"":null,""accessDate"":null,""documentId"":""cmo7cfjvp001gzo0de8n9rsaa""}"
Thesis,skip,none,high,cmo7cfkx40032zo0dry52p719,thesis-food-85e4cae388ae,,Food Research Process 20.04.26/07_Academic_Research_And_Theses/806685_Master_Thesis_Assessment_of_Grocery_eCommerce_in_Scandinavia_jumi18ab.pdf,incoming/food-research-process-2026-04-20/07-academic-research-and-theses/85e4cae388-806685-master-thesis-assessment-of-grocery-ecommerce-in-scandinavia-jumi18ab.pdf,806685_Master_Thesis_Assessment_of_Grocery_eCommerce_in_Scandinavia_jumi18ab.pdf,Assessment of Grocery eCommerce in Scandinavia,Assessment of Grocery eCommerce in Scandinavia,skip,clear,,review-action-not-import,review-action-not-import,{}
Thesis,skip,none,low,cmo7cfl020038zo0dcofpmf18,thesis-food-f2e9e64b954a,,Food Research Process 20.04.26/07_Academic_Research_And_Theses/Bilgic2025tht_VoR.pdf,incoming/food-research-process-2026-04-20/07-academic-research-and-theses/f2e9e64b95-bilgic2025tht-vor.pdf,Bilgic2025tht_VoR.pdf,untitled,untitled,import,blocked,,unresolved-title-remediation,unresolved-title-remediation,{}
Thesis,skip,none,low,cmo7cfl0k0039zo0d906yig9q,thesis-food-e627428c942b,,Food Research Process 20.04.26/07_Academic_Research_And_Theses/cellar_1fefebb0-1b4e-11ee-806b-01aa75ed71a1.0001.02_DOC_2.pdf,incoming/food-research-process-2026-04-20/07-academic-research-and-theses/e627428c94-cellar-1fefebb0-1b4e-11ee-806b-01aa75ed71a1-0001-02-doc-2.pdf,cellar_1fefebb0-1b4e-11ee-806b-01aa75ed71a1.0001.02_DOC_2.pdf,cellar 1fefebb0 1b4e 11ee 806b 01aa75ed71a1 0001 02 DOC 2,cellar 1fefebb0 1b4e 11ee 806b 01aa75ed71a1 0001 02 DOC 2,import,clear,,thesis-metadata-too-weak:authors+institution+year+url+synthesis+title-quality,thesis-metadata-too-weak:authors+institution+year+url+synthesis+title-quality,"{""id"":""thesis-food-e627428c942b"",""authors"":"""",""institution"":"""",""year"":0,""title"":""cellar 1fefebb0 1b4e 11ee 806b 01aa75ed71a1 0001 02 DOC 2"",""titleNo"":null,""url"":"""",""synthesis"":"""",""keyFindings"":[],""tags"":[""batch:food-research-process-2026-04-20"",""academic-research"",""07_Academic_Research_And_Theses""],""takeaways"":[],""method"":null,""awardWinning"":false,""degree"":""master"",""doi"":null,""isbn"":null,""publisher"":null,""accessDate"":null,""documentId"":""cmo7cfl0k0039zo0d906yig9q""}"
Thesis,skip,none,low,cmo7cfl12003azo0dfsuwhrxl,thesis-food-b2260530c2af,,Food Research Process 20.04.26/07_Academic_Research_And_Theses/cellar_1fefebb0-1b4e-11ee-806b-01aa75ed71a1.0001.02_DOC_3.pdf,incoming/food-research-process-2026-04-20/07-academic-research-and-theses/b2260530c2-cellar-1fefebb0-1b4e-11ee-806b-01aa75ed71a1-0001-02-doc-3.pdf,cellar_1fefebb0-1b4e-11ee-806b-01aa75ed71a1.0001.02_DOC_3.pdf,cellar 1fefebb0 1b4e 11ee 806b 01aa75ed71a1 0001 02 DOC 3,cellar 1fefebb0 1b4e 11ee 806b 01aa75ed71a1 0001 02 DOC 3,import,clear,,thesis-metadata-too-weak:authors+institution+year+url+synthesis+title-quality,thesis-metadata-too-weak:authors+institution+year+url+synthesis+title-quality,"{""id"":""thesis-food-b2260530c2af"",""authors"":"""",""institution"":"""",""year"":0,""title"":""cellar 1fefebb0 1b4e 11ee 806b 01aa75ed71a1 0001 02 DOC 3"",""titleNo"":null,""url"":"""",""synthesis"":"""",""keyFindings"":[],""tags"":[""batch:food-research-process-2026-04-20"",""academic-research"",""07_Academic_Research_And_Theses""],""takeaways"":[],""method"":null,""awardWinning"":false,""degree"":""master"",""doi"":null,""isbn"":null,""publisher"":null,""accessDate"":null,""documentId"":""cmo7cfl12003azo0dfsuwhrxl""}"
Thesis,skip,none,low,cmo7cfl1m003bzo0dl1p4idl3,thesis-food-4c1e829dd694,,Food Research Process 20.04.26/07_Academic_Research_And_Theses/cellar_1fefebb0-1b4e-11ee-806b-01aa75ed71a1.0001.02_DOC_4.pdf,incoming/food-research-process-2026-04-20/07-academic-research-and-theses/4c1e829dd6-cellar-1fefebb0-1b4e-11ee-806b-01aa75ed71a1-0001-02-doc-4.pdf,cellar_1fefebb0-1b4e-11ee-806b-01aa75ed71a1.0001.02_DOC_4.pdf,cellar 1fefebb0 1b4e 11ee 806b 01aa75ed71a1 0001 02 DOC 4,cellar 1fefebb0 1b4e 11ee 806b 01aa75ed71a1 0001 02 DOC 4,import,clear,,thesis-metadata-too-weak:authors+institution+year+url+synthesis+title-quality,thesis-metadata-too-weak:authors+institution+year+url+synthesis+title-quality,"{""id"":""thesis-food-4c1e829dd694"",""authors"":"""",""institution"":"""",""year"":0,""title"":""cellar 1fefebb0 1b4e 11ee 806b 01aa75ed71a1 0001 02 DOC 4"",""titleNo"":null,""url"":"""",""synthesis"":"""",""keyFindings"":[],""tags"":[""batch:food-research-process-2026-04-20"",""academic-research"",""07_Academic_Research_And_Theses""],""takeaways"":[],""method"":null,""awardWinning"":false,""degree"":""master"",""doi"":null,""isbn"":null,""publisher"":null,""accessDate"":null,""documentId"":""cmo7cfl1m003bzo0dl1p4idl3""}"
Thesis,skip,none,low,cmo7cfl21003czo0d1blem0mk,thesis-food-e36f2878e975,,Food Research Process 20.04.26/07_Academic_Research_And_Theses/cellar_1fefebb0-1b4e-11ee-806b-01aa75ed71a1.0001.02_DOC_5.pdf,incoming/food-research-process-2026-04-20/07-academic-research-and-theses/e36f2878e9-cellar-1fefebb0-1b4e-11ee-806b-01aa75ed71a1-0001-02-doc-5.pdf,cellar_1fefebb0-1b4e-11ee-806b-01aa75ed71a1.0001.02_DOC_5.pdf,cellar 1fefebb0 1b4e 11ee 806b 01aa75ed71a1 0001 02 DOC 5,cellar 1fefebb0 1b4e 11ee 806b 01aa75ed71a1 0001 02 DOC 5,import,clear,,thesis-metadata-too-weak:authors+institution+year+url+synthesis+title-quality,thesis-metadata-too-weak:authors+institution+year+url+synthesis+title-quality,"{""id"":""thesis-food-e36f2878e975"",""authors"":"""",""institution"":"""",""year"":0,""title"":""cellar 1fefebb0 1b4e 11ee 806b 01aa75ed71a1 0001 02 DOC 5"",""titleNo"":null,""url"":"""",""synthesis"":"""",""keyFindings"":[],""tags"":[""batch:food-research-process-2026-04-20"",""academic-research"",""07_Academic_Research_And_Theses""],""takeaways"":[],""method"":null,""awardWinning"":false,""degree"":""master"",""doi"":null,""isbn"":null,""publisher"":null,""accessDate"":null,""documentId"":""cmo7cfl21003czo0d1blem0mk""}"
Thesis,skip,none,medium,cmo7cflab003qzo0dxqs6gj9g,thesis-food-bdddbddf7d19,,Food Research Process 20.04.26/07_Academic_Research_And_Theses/HDR___Afgangsprojekt___Gruppe_25.pdf,incoming/food-research-process-2026-04-20/07-academic-research-and-theses/bdddbddf7d-hdr-afgangsprojekt-gruppe-25.pdf,HDR___Afgangsprojekt___Gruppe_25.pdf,HDR Afgangsprojekt Gruppe 25,HDR Afgangsprojekt Gruppe 25,skip,clear,,review-action-not-import,review-action-not-import,{}
Thesis,updated,update,medium,cmo7cflaq003rzo0d4qgsq4g1,thesis-food-28bf4892a6a2,thesis-food-28bf4892a6a2,Food Research Process 20.04.26/07_Academic_Research_And_Theses/HDR_Afgangsprojekt_maj_2024.pdf,incoming/food-research-process-2026-04-20/07-academic-research-and-theses/28bf4892a6-hdr-afgangsprojekt-maj-2024.pdf,HDR_Afgangsprojekt_maj_2024.pdf,Rema 1000: Nøglen til succes på det danske detailmarked,Rema 1000: Nøglen til succes på det danske detailmarked,import,clear,Thesis:thesis-food-28bf4892a6a2,document-already-linked-to-thesis,document-already-linked-to-thesis,"{""id"":""thesis-food-28bf4892a6a2"",""authors"":""Mads Jorgensen; Meisam Ahmadi"",""institution"":""Aalborg Universitet"",""year"":2024,""title"":""Rema 1000: Noglen til succes pa det danske detailmarked"",""titleNo"":null,""url"":""https://projekter.aau.dk/rema-1000-noglen-til-succes-pa-det-danske-detailmarked-bf170821.html"",""synthesis"":""Oppgaven forklarer Rema 1000s danske vekst gjennom analyse av konkurranseforhold, okonomi, franchisemodell og kundeverdi. Den peker saerlig pa sterk finansiell ryggrad, lokal tilpasning gjennom franchising og et tydelig lavpriskonsept som forklaring pa hoy lojalitet og markedsfremgang."",""keyFindings"":[],""tags"":[""batch:food-research-process-2026-04-20"",""academic-research"",""07_Academic_Research_And_Theses""],""takeaways"":[],""method"":null,""awardWinning"":false,""degree"":""master"",""doi"":null,""isbn"":null,""publisher"":null,""accessDate"":null,""documentId"":""cmo7cflaq003rzo0d4qgsq4g1""}"
