source_path,source_top_folder,filename,ext,size_bytes,modified_at,sha256,priority,project_fit,candidate_model,typed_layer_candidate,import_file_path,proposed_title,proposed_year,proposed_country,proposed_theme,proposed_doc_type,review_status,action,final_title,final_year,final_country,final_theme,final_doc_type,final_url,notes
Food Research Process 20.04.26/00_Working_Files/Alternative distribusjonskanaler som utfordrer og kompletterer dagligvarekjedene i Norden.docx,00_Working_Files,Alternative distribusjonskanaler som utfordrer og kompletterer dagligvarekjedene i Norden.docx,.docx,29464,2026-04-20T05:57:34.089Z,ea9a6200c33bdf1de12c8965240e469fde84b19f31d93fbcea8e2db4f438e574,P3,maybe,working-file,none,incoming/food-research-process-2026-04-20/00-working-files/ea9a6200c3-alternative-distribusjonskanaler-som-utfordrer-og-kompletterer-dagligvarekjedene-i-norden.docx,Alternative distribusjonskanaler som utfordrer og kompletterer dagligvarekjedene i Norden,,nordic,working-files,report,pending,hold,,,,,,,
Food Research Process 20.04.26/00_Working_Files/compass_artifact_wf-ec2d735b-d33b-4ffa-a5ba-7877ce1d1a3c_text_markdown.md,00_Working_Files,compass_artifact_wf-ec2d735b-d33b-4ffa-a5ba-7877ce1d1a3c_text_markdown.md,.md,8583,2026-04-20T05:57:04.071Z,77e93de6dcace3b83cf8aa2714ca5eafa37de640388bae7c1df18b472add6b70,P3,maybe,working-file,none,incoming/food-research-process-2026-04-20/00-working-files/77e93de6dc-compass-artifact-wf-ec2d735b-d33b-4ffa-a5ba-7877ce1d1a3c-text-markdown.md,compass artifact wf ec2d735b d33b 4ffa a5ba 7877ce1d1a3c text markdown,,,working-files,report,pending,hold,,,,,,,
Food Research Process 20.04.26/00_Working_Files/deep-research-report (39).md,00_Working_Files,deep-research-report (39).md,.md,15670,2026-04-20T05:57:21.494Z,52147ac0f39c7ffff86a1ec7c59dc940b255542532ed93f5abc0ef89d59952d3,P3,maybe,working-file,none,incoming/food-research-process-2026-04-20/00-working-files/52147ac0f3-deep-research-report-39.md,deep research report (39),,,working-files,report,pending,hold,,,,,,,
Food Research Process 20.04.26/00_Working_Files/deep-research-report (40).md,00_Working_Files,deep-research-report (40).md,.md,37390,2026-04-20T05:57:31.259Z,8ee1f6a6cfbd014c3471be60d9531cefdb58f5a002acf62ceae2806a31c58802,P3,maybe,working-file,none,incoming/food-research-process-2026-04-20/00-working-files/8ee1f6a6cf-deep-research-report-40.md,deep research report (40),,,working-files,report,pending,hold,,,,,,,
Food Research Process 20.04.26/00_Working_Files/deep-research-report (41).md,00_Working_Files,deep-research-report (41).md,.md,24846,2026-04-20T05:57:39.174Z,396f37bcfcae3999ff747cf4d6e9206a51165f2c11de8eebbbdef8dba0a72411,P3,maybe,working-file,none,incoming/food-research-process-2026-04-20/00-working-files/396f37bcfc-deep-research-report-41.md,deep research report (41),,,working-files,report,pending,hold,,,,,,,
Food Research Process 20.04.26/00_Working_Files/deep-research-report (42).md,00_Working_Files,deep-research-report (42).md,.md,28225,2026-04-20T05:57:48.304Z,95939dcf7cbcbc80d074c391477297f8223f2190518db6405b5719202b1bc733,P3,maybe,working-file,none,incoming/food-research-process-2026-04-20/00-working-files/95939dcf7c-deep-research-report-42.md,deep research report (42),,,working-files,report,pending,hold,,,,,,,
Food Research Process 20.04.26/00_Working_Files/deep-research-report (43).md,00_Working_Files,deep-research-report (43).md,.md,25851,2026-04-20T05:58:01.892Z,2cff713568c36710877830be24bb50fd883dd8f89b5c777bdff7ad053f88add6,P3,maybe,working-file,none,incoming/food-research-process-2026-04-20/00-working-files/2cff713568-deep-research-report-43.md,deep research report (43),,,working-files,report,pending,hold,,,,,,,
Food Research Process 20.04.26/00_Working_Files/deep-research-report (44).md,00_Working_Files,deep-research-report (44).md,.md,30981,2026-04-20T05:58:11.817Z,cbea99816aa9100712dac25686c4903047bf4a043ddd9e69c8618abb6489dfe1,P3,maybe,working-file,none,incoming/food-research-process-2026-04-20/00-working-files/cbea99816a-deep-research-report-44.md,deep research report (44),,,working-files,report,pending,hold,,,,,,,
Food Research Process 20.04.26/00_Working_Files/deep-research-report (45).md,00_Working_Files,deep-research-report (45).md,.md,21682,2026-04-20T05:58:19.749Z,5a4ab8a0aa2a1d19d613378360afb2782cd094b81d3235ebe66c158dad98f653,P3,maybe,working-file,none,incoming/food-research-process-2026-04-20/00-working-files/5a4ab8a0aa-deep-research-report-45.md,deep research report (45),,,working-files,report,pending,hold,,,,,,,
Food Research Process 20.04.26/00_Working_Files/deep-research-report (46).md,00_Working_Files,deep-research-report (46).md,.md,30548,2026-04-20T05:58:29.410Z,0f9af7bb0b8ec56e9c79ec502814be3883717c7083af5775d5362ea70b83a4f6,P3,maybe,working-file,none,incoming/food-research-process-2026-04-20/00-working-files/0f9af7bb0b-deep-research-report-46.md,deep research report (46),,,working-files,report,pending,hold,,,,,,,
Food Research Process 20.04.26/00_Working_Files/Eiendomsmakt i dagligvaremarkedet i Norge og Norden.docx,00_Working_Files,Eiendomsmakt i dagligvaremarkedet i Norge og Norden.docx,.docx,21506,2026-04-20T05:58:24.056Z,d8f0493dea4a69c510132b486f9f6e39fbfb2fe08f6e499dd4763140d1a5403a,P3,maybe,working-file,none,incoming/food-research-process-2026-04-20/00-working-files/d8f0493dea-eiendomsmakt-i-dagligvaremarkedet-i-norge-og-norden.docx,Eiendomsmakt i dagligvaremarkedet i Norge og Norden,,nordic,working-files,report,pending,hold,,,,,,,
Food Research Process 20.04.26/00_Working_Files/Evidensnotat for Food Systems 2026.docx,00_Working_Files,Evidensnotat for Food Systems 2026.docx,.docx,18606,2026-04-20T05:57:25.485Z,964264bcc3c3368cc96cdb98085796f3a5202064da15cbf989647adf4dbd84ff,P3,maybe,working-file,none,incoming/food-research-process-2026-04-20/00-working-files/964264bcc3-evidensnotat-for-food-systems-2026.docx,Evidensnotat for Food Systems 2026,2026,,working-files,report,pending,hold,,,,,,,
"Food Research Process 20.04.26/00_Working_Files/Framstillinger av mat, makt og beredskap i norsk offentlighet.docx",00_Working_Files,"Framstillinger av mat, makt og beredskap i norsk offentlighet.docx",.docx,25957,2026-04-20T05:57:50.740Z,aa478581d2b2f3e9fc9ab7e2f2698b96b588a7a8cfe5930da1a7fcd9292b9027,P3,maybe,working-file,none,incoming/food-research-process-2026-04-20/00-working-files/aa478581d2-framstillinger-av-mat-makt-og-beredskap-i-norsk-offentlighet.docx,"Framstillinger av mat, makt og beredskap i norsk offentlighet",,,working-files,report,pending,hold,,,,,,,
"Food Research Process 20.04.26/00_Working_Files/Makt, fryktkultur og svak enforcement i norsk og nordisk dagligvare.docx",00_Working_Files,"Makt, fryktkultur og svak enforcement i norsk og nordisk dagligvare.docx",.docx,25930,2026-04-20T05:58:33.097Z,6edc2b998f93453a7e239d5bf2777ffca7c7a4284022b28fdf8b91a24df11ec5,P3,maybe,working-file,none,incoming/food-research-process-2026-04-20/00-working-files/6edc2b998f-makt-fryktkultur-og-svak-enforcement-i-norsk-og-nordisk-dagligvare.docx,"Makt, fryktkultur og svak enforcement i norsk og nordisk dagligvare",,nordic,working-files,report,pending,hold,,,,,,,
"Food Research Process 20.04.26/00_Working_Files/Nordisk analyse av HORECA, offentlige måltider og institusjonelle innkjøp i matsystemet.docx",00_Working_Files,"Nordisk analyse av HORECA, offentlige måltider og institusjonelle innkjøp i matsystemet.docx",.docx,26085,2026-04-20T05:58:14.699Z,4252750542bdd5f5ff2668b615ac22d9e0ba9f91b9ecbc5b4fe169c9b053f4b7,P3,maybe,working-file,none,incoming/food-research-process-2026-04-20/00-working-files/4252750542-nordisk-analyse-av-horeca-offentlige-maltider-og-institusjonelle-innkj-p-i-matsystemet.docx,"Nordisk analyse av HORECA, offentlige måltider og institusjonelle innkjøp i matsystemet",,nordic,working-files,report,pending,hold,,,,,,,
