source_path,final_title,final_year,final_url,authors,institution,synthesis,notes
Food Research Process 20.04.26/03_Policy_Governance_And_Market/Effekter-av-innkjopssamarbeid-i-det-norske-dagligvaremarkedet-masteroppgave-2015.pdf,Effekter av innkjopssamarbeid i det norske dagligvaremarkedet - En litteraturstudie,2015,https://hdl.handle.net/1956/10899,Kare Helvik Morken,"Universitetet i Bergen, Institutt for okonomi","Litteraturstudie av hvordan innkjopssamarbeid paverker konkurranse og velferd i norsk dagligvare. Oppgaven konkluderer med at slike samarbeid oker risikoen for hoyere sluttbrukerpriser og lavere konsumentvelferd uten tydelig gevinst for samlet velferd.",
Food Research Process 20.04.26/04_Food_Waste_And_Circularity/Resource-Recovery-surplus-bread-thesis.pdf,Prevention and valorisation of surplus bread at the supplier-retailer interface,2021,https://urn.kb.se/resolve?urn=urn:nbn:se:hb:diva-26454,Pedro Luz Brancoli,"University of Boras, Faculty of Textiles, Engineering and Business","Doktoravhandlingen kvantifiserer svensk brodsvinn og viser at take-back-avtaler mellom bakeri og retail er en sentral driver for overproduksjon og svinn. Den finner ogsa at forebygging, donasjon og dyrefor gir bedre miljoresultater enn anaerob nedbrytning og forbrenning.",
Food Research Process 20.04.26/07_Academic_Research_And_Theses/806685_Master_Thesis_Assessment_of_Grocery_eCommerce_in_Scandinavia_jumi18ab.pdf,Assessment of Grocery eCommerce in Scandinavia: An Analysis of Contrasting Strategies in a Rapidly Changing Landscape,2019,https://research.cbs.dk/en/studentProjects/assessment-of-grocery-ecommerce-in-scandinavia/,Julija Minkeviciute,Copenhagen Business School,"Masteroppgaven sammenligner dagligvare-e-handel i Danmark, Sverige og Norge med vekt pa forretningsmodeller, ordreoppfyllelse og levering. Den viser at markedet fortsatt er umodent og at last-mile-logistikk og operasjonell modell er sentrale barrierer for videre vekst.",
Food Research Process 20.04.26/07_Academic_Research_And_Theses/HDR___Afgangsprojekt___Gruppe_25.pdf,Fremtidens Coop: En virksomhed i forandring,2023,https://projekter.aau.dk/projekter/files/532660255/HDR___Afgangsprojekt___Gruppe_25.pdf,Sara Hvarregaard Tanderup; Lars Rasmussen; Henriette Graabaek Hansen,Aalborg Universitet,"Prosjektet analyserer Coop Danmarks omstilling i 2023 gjennom verdikjede-, regnskaps-, konkurranse- og SWOT/TOWS-analyser. Det konkluderer med at forenkling til faerre kjeder og lukking av ulonnsomme omrader er nodvendige grep, men at utfallet avhenger av om kundene aksepterer den nye modellen.",
Food Research Process 20.04.26/07_Academic_Research_And_Theses/HDR_Afgangsprojekt_maj_2024.pdf,Rema 1000: Noglen til succes pa det danske detailmarked,2024,https://projekter.aau.dk/rema-1000-noglen-til-succes-pa-det-danske-detailmarked-bf170821.html,Mads Jorgensen; Meisam Ahmadi,Aalborg Universitet,"Oppgaven forklarer Rema 1000s danske vekst gjennom analyse av konkurranseforhold, okonomi, franchisemodell og kundeverdi. Den peker saerlig pa sterk finansiell ryggrad, lokal tilpasning gjennom franchising og et tydelig lavpriskonsept som forklaring pa hoy lojalitet og markedsfremgang.",
Food Research Process 20.04.26/07_Academic_Research_And_Theses/hse_ethesis_14678.pdf,Retailer's role in reducing food waste: Case study of Finnish retailers,2016,https://urn.fi/URN:NBN:fi:aalto-201609083714,Anastasia Syroegina,Aalto University School of Business,"Case-studien av S-group og Kesko kartlegger hvordan finske dagligvarekjeder arbeider med å redusere matsvinn. Den finner at begge aktørene allerede bruker mange tiltak, men peker særlig på bedre utnyttelse av kosmetisk ufullkommen mat og sterkere forbrukeropplæring som forbedringsområder.",
Food Research Process 20.04.26/07_Academic_Research_And_Theses/Hybrid-Supply-Chain-Models-in-Swedish-Grocery-Retail.pdf,Hybrid Supply Chain Models in Swedish Grocery Retail: Balancing Cost Drivers Environmental Sustainability and Social Responsibility,2025,https://urn.kb.se/resolve?urn=urn:nbn:se:hj:diva-68275,Emilia Sedwall; Calle Bjerne; Alexander Grandin,"JIBS, Business Administration, Jonkoping University","Oppgaven kombinerer litteratursok med syv semistrukturerte intervjuer for a vurdere hybride forsyningskjeder i svensk dagligvarehandel. Den konkluderer med at en blanding av sentralisert og desentralisert distribusjon kan redusere kostnader og utslipp samtidig som den stotter sosialt ansvar gjennom bedre lagerstrategier og mer baerekraftig drift.",
Food Research Process 20.04.26/07_Academic_Research_And_Theses/Lina-Orlova_Masteroppgave2019.pdf,Kan et forbud mot prisdiskriminering fremme etablering av nettaktorer i dagligvaremarkedet?,2019,https://hdl.handle.net/1956/20623,Lina Orlova,"Universitetet i Bergen, Institutt for okonomi","Oppgaven utvikler en teoretisk modell for a teste om forbud mot prisdiskriminering i leverandorleddet kan fremme etablering av nettaktorer i dagligvaremarkedet. Den finner at slike forbud ofte svekker etableringsmulighetene for nye nettaktorer og kan redusere konsumentvelferden gjennom hoyere sluttpriser.",
Food Research Process 20.04.26/07_Academic_Research_And_Theses/Marie+Hebrok.pdf,Food Waste: A practice-oriented design for sustainability approach,2020,https://hdl.handle.net/11250/2676125,Marie Hebrok,"Norwegian University of Science and Technology (NTNU), Faculty of Architecture and Design, Department of Design","Avhandlingen utvikler en practice-oriented design for sustainability-tilnaerming for a forsta og redusere husholdningenes matsvinn. Den argumenterer for at effektive designgrep ma rette seg mot hele praksiser rundt innkjop, lagring, matlaging og spising, ikke bare enkeltprodukter og informasjonstiltak.",
Food Research Process 20.04.26/07_Academic_Research_And_Theses/master_Duong_Linh_2025.pdf,Common grocery self-service checkout failures that customers can resolve without employee assistance,2025,https://urn.fi/URN:NBN:fi:aalto-202508156184,Linh Duong,Aalto University School of Business,"Oppgaven analyserer vanlige feil ved selvbetjente kasser i finsk dagligvarehandel med utgangspunkt i intervjuer med butikkansatte. Den viser at mange problemer kan loses uten ansattinnblanding gjennom bedre grensesnitt, tydeligere instruksjoner og mer brukervennlige prosesser.",
