document_id,file_path,source_path,ext,current_title,suggested_title,suggestion_source,reason,confidence,weak_reasons,auto_apply,applied,review_status,review_action,review_final_title,notes
cmo7cfjlc000szo0di04u4n3h,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/6de68c22a6-rapport-om-samarbeidsklimaet-i-dagligvarebransjen-2024-final-17-10-24.pdf,Food Research Process 20.04.26/03_Policy_Governance_And_Market/Rapport+om+samarbeidsklimaet+i+dagligvarebransjen+2024_Final_17.10.24.pdf,.pdf,Samarbeidsklimaet i dagligvarebransjen: Rapport fra undersøkelse blant kjeder og leverandører 2024,Samarbeidsklimaet i Dagligvarebransjen,pdf-metadata,Embedded PDF metadata suggests a stronger title than the current import title.,medium,,false,false,pretriaged,import,Samarbeidsklimaet i dagligvarebransjen: Rapport fra undersøkelse blant kjeder og leverandører 2024,Pretriaged 2026-04-20: thematic PDF in curated folder. Verify metadata and final project fit before production use.
cmo7cfjh1000hzo0dxg2jh678,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/7ff714786c-frettatilkynning-hagar-4f-2024-25-ensk.pdf,Food Research Process 20.04.26/03_Policy_Governance_And_Market/fréttatilkynning-hagar-4f-2024-25-ensk.pdf,.pdf,Hagar PLC: Management Report 2024/25 and Fourth-Quarter Results,Microsoft Word - Fréttatilkynning Hagar 4F 2024-25 ENSK,pdf-metadata,Embedded PDF metadata suggests a stronger title than the current import title.,medium,,false,false,pretriaged,import,Hagar PLC: Management Report 2024/25 and Fourth-Quarter Results,Pretriaged 2026-04-20: thematic PDF in curated folder. Verify metadata and final project fit before production use.
cmo7cfjxi001kzo0dawp3fy8w,incoming/food-research-process-2026-04-20/04-food-waste-and-circularity/7977a8583e-zero-waste-solutions-in-hospitality-technology-alignment-and-agile-management-practices-for-responsible-consumption-and-production-of-food.pdf,Food Research Process 20.04.26/04_Food_Waste_And_Circularity/Zero waste solutions in hospitality  technology alignment and agile management practices for responsible consumption and production of food.pdf,.pdf,Zero waste solutions in hospitality: technology alignment and agile management practices for respons,Zero waste solutions in hospitality technology alignment and agile management practices for responsible consumption and production of food,filename,Expanded a truncated import title to the fuller source filename.,medium,truncated_source_title,false,false,pretriaged,import,,Pretriaged 2026-04-20: thematic PDF in curated folder. Verify metadata and final project fit before production use.
cmo7cfkfy002jzo0dcpr6d3vu,incoming/food-research-process-2026-04-20/06-company-and-annual-reports/37157a71fd-2024-environmental-footprint-report-eng.pdf,Food Research Process 20.04.26/06_Company_And_Annual_Reports/2024 Environmental Footprint Report ENG.pdf,.pdf,Environmental Footprint of the Food Saved by Too Good To Go,,manual-review,"Weak title flagged for review, but no unambiguous automatic replacement was found.",low,artifact_label,false,false,pretriaged,import,Environmental Footprint of the Food Saved by Too Good To Go,Pretriaged 2026-04-20: thematic PDF in curated folder. Verify metadata and final project fit before production use.
cmo7cflsl004ozo0dpbdu5tg5,incoming/food-research-process-2026-04-20/07-academic-research-and-theses/24019b4bb7-philippe-schuler.pdf,Food Research Process 20.04.26/07_Academic_Research_And_Theses/Philippe_Schuler.pdf,.pdf,Food Loss and Waste in the Fresh Potato Supply Chain of Denmark,Microsoft Word - PHILIPPE SCHULER - FOOD WASTE AND LOSS.docx,pdf-metadata,Embedded PDF metadata suggests a stronger title than the current import title.,medium,,false,false,pretriaged,import,Food Loss and Waste in the Fresh Potato Supply Chain of Denmark,Pretriaged 2026-04-20: thematic PDF in curated folder. Verify metadata and final project fit before production use.
cmo7cfm8l005mzo0dk4rslz3l,incoming/food-research-process-2026-04-20/07-academic-research-and-theses/30ffb8293a-v2024-4-offentlig-versjon-coop-norge-sa-norgesgruppen-asa-rema-1000-as-palegg-om-opphor-av-overtredelse.pdf,Food Research Process 20.04.26/07_Academic_Research_And_Theses/V2024-4-Offentlig-versjon-Coop-Norge-SA-Norgesgruppen-ASA-Rema-1000-AS-–-palegg-om-opphor-av-overtredelse-.pdf,.pdf,Vedtak V2024-4 – offentlig versjon – Coop Norge SA/Norgesgruppen ASA/Rema 1000 AS – pålegg om opphør av overtredelse,Microsoft Word - SisteRettingFigTabRødLillaBlåGrønn TEKST sladdetUtkast til offentlig versjon av Vedtak V2024-4 til apoteksjekk,pdf-metadata,Embedded PDF metadata suggests a stronger title than the current import title.,medium,,false,false,pretriaged,import,Vedtak V2024-4 – offentlig versjon – Coop Norge SA/Norgesgruppen ASA/Rema 1000 AS – pålegg om opphør av overtredelse,Pretriaged 2026-04-20: thematic PDF in curated folder. Verify metadata and final project fit before production use.
cmo7cfkyo0035zo0ddfvs1b1j,incoming/food-research-process-2026-04-20/07-academic-research-and-theses/596c3048e4-about-oecd-environmental-performance-reviews-brochure-2022-web.pdf,Food Research Process 20.04.26/07_Academic_Research_And_Theses/about-oecd-environmental-performance-reviews-brochure-2022-web.pdf,.pdf,OECD Environmental Performance Reviews,"Environmental Performance Reviews oe.cd/epr EVIDENCE-BASED, SYSTEMATIC, COUNTRY-TAILORED",pdf-heading,"The first-page title block looks stronger than the current import title, but it was left for review.",medium,truncated_source_title,false,false,pretriaged,import,OECD Environmental Performance Reviews,Pretriaged 2026-04-20: thematic PDF in curated folder. Verify metadata and final project fit before production use.
cmo7cfkx40032zo0dry52p719,incoming/food-research-process-2026-04-20/07-academic-research-and-theses/85e4cae388-806685-master-thesis-assessment-of-grocery-ecommerce-in-scandinavia-jumi18ab.pdf,Food Research Process 20.04.26/07_Academic_Research_And_Theses/806685_Master_Thesis_Assessment_of_Grocery_eCommerce_in_Scandinavia_jumi18ab.pdf,.pdf,Assessment of Grocery eCommerce in Scandinavia,,manual-review,"Weak title flagged for review, but no unambiguous automatic replacement was found.",low,truncated_source_title; artifact_label,false,false,pretriaged,import,Assessment of Grocery eCommerce in Scandinavia,Pretriaged 2026-04-20: thematic PDF in curated folder. Verify metadata and final project fit before production use.
cmo7cfljd0048zo0dc3g0gk6a,incoming/food-research-process-2026-04-20/07-academic-research-and-theses/94fe5f0ca1-ng-arsrapport-2025-web.pdf,Food Research Process 20.04.26/07_Academic_Research_And_Theses/ng_arsrapport-2025-web.pdf,.pdf,NorgesGruppens årsrapport 2025,Innhold Dette ER Norgesgruppen Strategi Ledelse og Styring Økonomi 2025 Bærekraft 2025 Årsrapport 2025,pdf-heading,"The first-page title block looks stronger than the current import title, but it was left for review.",medium,generic_short_title,false,false,pretriaged,import,NorgesGruppens årsrapport 2025,Pretriaged 2026-04-20: thematic PDF in curated folder. Verify metadata and final project fit before production use.
cmo7cfl020038zo0dcofpmf18,incoming/food-research-process-2026-04-20/07-academic-research-and-theses/f2e9e64b95-bilgic2025tht-vor.pdf,Food Research Process 20.04.26/07_Academic_Research_And_Theses/Bilgic2025tht_VoR.pdf,.pdf,untitled,"© 2025 The Authors Water Science & Technology Vol 91 No 11, 1234 doi: 10.2166/wst.2025.068 Thermal hydrolysis treatment of digestates derived from food waste and sewage sludge – effect on residual methane potential",pdf-heading,"The first-page title block looks stronger than the current import title, but it was left for review.",medium,artifact_label,false,false,pretriaged,import,,Pretriaged 2026-04-20: thematic PDF in curated folder. Verify metadata and final project fit before production use.
