index,video_id,title,url,status,language_code,language,is_generated,is_translatable,segment_count,txt_file,json_file,error
1,BOQZvBG_LBw,Kari Toft fullversjon bred,https://www.youtube.com/watch?v=BOQZvBG_LBw,ok,en,English (auto-generated),True,True,9,01-kari-toft-fullversjon-bred-BOQZvBG_LBw.txt,01-kari-toft-fullversjon-bred-BOQZvBG_LBw.json,
2,W2VaX150Uw8,Seminar om avrenningstiltak i jordbruket i regi av AgriAnalyse 2025,https://www.youtube.com/watch?v=W2VaX150Uw8,ok,no,Norwegian (auto-generated),True,False,1085,02-seminar-om-avrenningstiltak-i-jordbruket-i-regi-av-agrianalyse-2025-W2VaX150Uw8.txt,02-seminar-om-avrenningstiltak-i-jordbruket-i-regi-av-agrianalyse-2025-W2VaX150Uw8.json,
3,n1qF1TRh2d0,Erling Aas Eng om tillitsverv i landbruket,https://www.youtube.com/watch?v=n1qF1TRh2d0,ok,no,Norwegian (auto-generated),True,False,33,03-erling-aas-eng-om-tillitsverv-i-landbruket-n1qF1TRh2d0.txt,03-erling-aas-eng-om-tillitsverv-i-landbruket-n1qF1TRh2d0.json,
4,UPYj1SNHYdw,Nina Ranøien om kurstilbud for landbrukets tillitsvalgte,https://www.youtube.com/watch?v=UPYj1SNHYdw,ok,no,Norwegian (auto-generated),True,False,21,04-nina-ranøien-om-kurstilbud-for-landbrukets-tillitsvalgte-UPYj1SNHYdw.txt,04-nina-ranøien-om-kurstilbud-for-landbrukets-tillitsvalgte-UPYj1SNHYdw.json,
5,8JZSIH4WC5A,Per Inge Egeland om kurstilbud for landbrukets tillitsvalgte,https://www.youtube.com/watch?v=8JZSIH4WC5A,ok,no,Norwegian (auto-generated),True,False,17,05-per-inge-egeland-om-kurstilbud-for-landbrukets-tillitsvalgte-8JZSIH4WC5A.txt,05-per-inge-egeland-om-kurstilbud-for-landbrukets-tillitsvalgte-8JZSIH4WC5A.json,
6,aPzdVR0eaI4,Sigrid Heringstad om kurstilbud for landbrukets tillitsvalgte,https://www.youtube.com/watch?v=aPzdVR0eaI4,ok,no,Norwegian (auto-generated),True,False,22,06-sigrid-heringstad-om-kurstilbud-for-landbrukets-tillitsvalgte-aPzdVR0eaI4.txt,06-sigrid-heringstad-om-kurstilbud-for-landbrukets-tillitsvalgte-aPzdVR0eaI4.json,
7,blx_7Jwq0Nc,Loopfilm Norges Bondelag,https://www.youtube.com/watch?v=blx_7Jwq0Nc,ok,no,Norwegian (auto-generated),True,False,53,07-loopfilm-norges-bondelag-blx_7Jwq0Nc.txt,07-loopfilm-norges-bondelag-blx_7Jwq0Nc.json,
8,SgltfUW8Ymg,Norsk landbruk Tilde,https://www.youtube.com/watch?v=SgltfUW8Ymg,ok,no,Norwegian (auto-generated),True,False,13,08-norsk-landbruk-tilde-SgltfUW8Ymg.txt,08-norsk-landbruk-tilde-SgltfUW8Ymg.json,
9,fc50NCdLhL4,Norsk landbruk Nina Rangøien,https://www.youtube.com/watch?v=fc50NCdLhL4,ok,no,Norwegian (auto-generated),True,False,25,09-norsk-landbruk-nina-rangøien-fc50NCdLhL4.txt,09-norsk-landbruk-nina-rangøien-fc50NCdLhL4.json,
10,hALbwiwHdOM,Norsk Landbruk Nina kort,https://www.youtube.com/watch?v=hALbwiwHdOM,ok,no,Norwegian (auto-generated),True,False,21,10-norsk-landbruk-nina-kort-hALbwiwHdOM.txt,10-norsk-landbruk-nina-kort-hALbwiwHdOM.json,
11,XcV4bZe0J_I,Film alle fire m plakater kursdeltagere,https://www.youtube.com/watch?v=XcV4bZe0J_I,ok,no,Norwegian (auto-generated),True,False,45,11-film-alle-fire-m-plakater-kursdeltagere-XcV4bZe0J_I.txt,11-film-alle-fire-m-plakater-kursdeltagere-XcV4bZe0J_I.json,
