entityType,entityId,fieldPath,companyId,companyName,personName,personKey,role,shareholderName,ownershipPct,country,orgNr,registrySource,recommendedSourcePath,reason
BoardMember,cmp8xyt2c001uxrvmavzqs9yq,,cmp8xyt25001nxrvm5fopu1xb,Orkla ASA,Stein Erik Hagen,stein-erik-hagen,styreleder,,,NO,910747711,data.brreg.no/enhetsregisteret,bronnoysund_role_or_entity_snapshot,missing_board_member_field_citation
BoardMember,cmp8xyt32002hxrvm6lgvgtvd,,cmp8xyt2l0025xrvmxuh0939x,Nortura SA,Erlend Rønning,erlend-rnning,styremedlem,,,NO,938752648,data.brreg.no/enhetsregisteret,bronnoysund_role_or_entity_snapshot,missing_board_member_field_citation
BoardMember,cmp8xyt3w003jxrvmwkzim3or,,cmp8xyt3l0037xrvmpzlb3lbw,TINE SA,Anne Berit Løset,anne-berit-lset,styremedlem,,,NO,947942638,data.brreg.no/enhetsregisteret,bronnoysund_role_or_entity_snapshot,missing_board_member_field_citation
BoardMember,cmp8xyt560057xrvmu1hljr8g,,cmp8xyt4t004sxrvm7b86awqx,BAMA Gruppen AS,Rune Dalsaune,rune-dalsaune,styremedlem,,,NO,914224314,data.brreg.no/enhetsregisteret,bronnoysund_role_or_entity_snapshot,missing_board_member_field_citation
BoardMember,cmp8xyt9n0086xrvmzzh5nj26,,cmp8xyt9k0081xrvmnmdi03r5,Too Good To Go Norge AS,Lucie Basch,lucie-basch,styremedlem,,,NO,917203261,,bronnoysund_role_or_entity_snapshot,missing_board_member_field_citation
BoardMember,cmp8xyt9n0085xrvm65o053qa,,cmp8xyt9k0081xrvmnmdi03r5,Too Good To Go Norge AS,Sigve Skattebo,sigve-skattebo,styremedlem,,,NO,917203261,,bronnoysund_role_or_entity_snapshot,missing_board_member_field_citation
BoardMember,cmp8xyt9n0087xrvmruzt8jsx,,cmp8xyt9k0081xrvmnmdi03r5,Too Good To Go Norge AS,Thomas Damsgaard,thomas-damsgaard,styremedlem,,,NO,917203261,,bronnoysund_role_or_entity_snapshot,missing_board_member_field_citation
BoardMember,cmp8xyt9q008bxrvmf7qem1k9,,cmp8xyt9o0088xrvmoop48ij7,Oda,Karl Munthe-Kaas,karl-munthekaas,CEO,,,NO,932256134,,bronnoysund_role_or_entity_snapshot,missing_board_member_field_citation
BoardMember,cmp8xyta2008exrvmpcizz9ih,,cmp8xyt9o0088xrvmoop48ij7,Oda,Kristoffer Eide Hoen,kristoffer-eide-hoen,styremedlem,,,NO,932256134,,bronnoysund_role_or_entity_snapshot,missing_board_member_field_citation
BoardMember,cmp8xyta2008fxrvm8f5bdukw,,cmp8xyt9o0088xrvmoop48ij7,Oda,Lars Boilesen,lars-boilesen,styremedlem,,,NO,932256134,,bronnoysund_role_or_entity_snapshot,missing_board_member_field_citation
BoardMember,cmp8xyta3008gxrvm3vawkunx,,cmp8xyt9o0088xrvmoop48ij7,Oda,Nils Petter Hollekim,nils-petter-hollekim,styremedlem,,,NO,932256134,,bronnoysund_role_or_entity_snapshot,missing_board_member_field_citation
BoardMember,cmp8xytaa008pxrvmvchoqhj0,,cmp8xyta3008hxrvmhpcstihu,Holdbart AS,Solveig Fauske,solveig-fauske,styremedlem,,,NO,815664582,,bronnoysund_role_or_entity_snapshot,missing_board_member_field_citation
BoardMember,cmp8xytbg009uxrvmfalj9y9k,,cmp8xytb8009pxrvmjdg1chp6,Austevoll Seafood ASA,Helge Møgster,helge-mgster,styreleder,,,NO,929975200,,bronnoysund_role_or_entity_snapshot,missing_board_member_field_citation
