id,insightId,document_slug,relevance
cmmxf7nke00016q0din5c8fx2,ins-53,evidence-pack/tilsyn/dagligvarerapport-2024,related
cmmxfag4p0000620dq4zhafnc,ins-09,evidence-pack/akademia/drager-vagene-2017,related
cmmxfag4p0001620dhmzssajn,ins-18,evidence-pack/akademia/drager-vagene-2017,related
cmmxfag4p0002620d2cr4vvcx,ins-33,evidence-pack/offentlig/riksrevisjonen-matsikkerhet-2023,related
cmmxfag4p0003620dk38rah51,ins-33,evidence-pack/offentlig/meld-st-11-selvforsyning-2024,related
cmmxfag4p0004620dpl0er6us,ins-33,evidence-pack/offentlig/nibio-selvforsyning-2026,related
cmmxfag4p0005620drg4jhqnq,ins-34,bibliotek/konkurransetilsynet/prisjeger-saken,supporting
cmmxfag4p0007620dl7a1kffa,ins-34,evidence-pack/tilsyn/dagligvarerapport-2024,related
cmmxfag4p0008620dnigqrm9u,ins-15,evidence-pack/offentlig/riksrevisjonen-matsikkerhet-2023,related
cmmxfag4p0009620dydag5pag,ins-53,bibliotek/konkurransetilsynet/prisjeger-saken,supporting
cmmxfcf0x0000gj0dop6ltut0,ins-09,norden/nordisk-komparativ-analyse,supporting
cmmxfcf0x0002gj0dffe5hz6t,ins-14,bibliotek/bransje/arsrapporter/nordisk-sammenligning-2024,supporting
cmmxfcf0x0005gj0dgubrcdk1,ins-02,bibliotek/bransje/arsrapporter/reitan-2024-25,supporting
cmmxfcf0x0006gj0d7xoxpz1c,ins-31,norden/nordisk-komparativ-analyse,supporting
cmmxfcf0x000dgj0d1eilra5t,ins-35,bibliotek/konsulentrapporter/menon-emv-innovasjon,supporting
cmmxfcf0x000egj0driynxjhi,ins-35,bibliotek/konsulentrapporter/oslo-economics-forsvar-2024,supporting
cmmxfcf0x000fgj0dgj0gex4u,ins-35,bibliotek/konsulentrapporter/soa-emv-2023,supporting
cmmxfcf0x000ggj0dba6wqs02,ins-36,evidence-pack/offentlig/nou-2013-6-god-handelsskikk,supporting
cmmxfcf0x000kgj0d5m8v21u4,ins-27,bibliotek/bransje/arsrapporter/reitan-2024-25,supporting
cmmxfcf0x000lgj0dfow8xxx0,ins-28,bibliotek/bransje/arsrapporter/reitan-2024-25,supporting
cmmxfcf0x000mgj0dq4cz0rd0,ins-28,bibliotek/bransje/organisasjoner/merkevarer-historie,supporting
cmmxfcf0x000ngj0d1m7mf5qg,ins-46,norden/food-access-hhi-metodikk,supporting
cmmxfcf0x000ogj0dd6dp8yy8,ins-46,bibliotek/juridisk/eiendomsmakt-lokal-konkurranse,supporting
cmmxfcf0x000pgj0dzoad35fa,ins-46,bibliotek/akademia/masteroppgaver/meile-2020,supporting
cmmxfcf0x000qgj0d3svbdnkh,ins-42,evidence-pack/offentlig/nou-2013-6-god-handelsskikk,supporting
cmmxfcf0x000rgj0dtujut775,ins-43,rammeverk/sirkulaer-matsystem-rammeverk,supporting
cmmxfcf0x000sgj0d5xq373m6,ins-43,norden/verdikjede/03-distribusjon-logistikk,supporting
cmmxfcf0x000tgj0d2o3agq8q,ins-43,bibliotek/sirkularitet/sirkulaer-definisjoner-wur-emf,supporting
cmmxfcf0x000ugj0dlug9r3s0,ins-43,perpl-17-03/circular-food-systems-rammeverk-definisjoner-og-operativt-kriteriesett,supporting
cmmxfcf0y000vgj0dex26ktsp,ins-43,norden/verdikjede/10-kryss-analyse,supporting
cmmxfcf0y000wgj0df7v3bkks,ins-24,norden/nordisk-komparativ-analyse,supporting
cmmxfcf0y000xgj0d8ovag7sn,ins-39,norden/verdikjede/10-kryss-analyse,supporting
cmmxfcf0y000ygj0dvl642w6g,ins-40,norden/nordisk-selvforsyning-beredskap-2026,supporting
cmmxfcf0y000zgj0dda2bsiir,ins-40,bibliotek/nou/matsystemutvalget-status-2026,supporting
cmmxfcf0y0010gj0d828orlpt,ins-40,bibliotek/beredskap/nibio-selvforsyning-metode,supporting
cmmxfcf0y0011gj0d70rckhay,ins-40,bibliotek/beredskap/nibio-selvforsyning-2026,supporting
cmmxfcf0y0012gj0dk0pgx2os,ins-40,bibliotek/akademia/nhh-food/nordstad-arkiv/beredskap-analyse,supporting
cmmxfcf0y0015gj0d7p6wqecp,ins-53,evidence-pack/tilsyn/prisjeger-saken-2024-offentlig-versjon,supporting
cmmxfcf0y0018gj0diw1llbri,ins-54,bibliotek/akademia/masteroppgaver/skulstad-svensson-2024,supporting
cmmxfcf0y0019gj0dwa15j9bu,ins-54,bibliotek/nordisk-konkurranse/dk/salling-coop-opkob-2025,supporting
cmp1218770000hu0dxyddeckw,ins-04,norden/verdikjede/06-matsvinn-sirkulaer,primary
cmp12187o0001hu0d4h65iuu1,ins-101,arkiv-sortert/food-research-process-20-04-26/00_working_files/deep-research-report-40-,primary
cmp12187p0002hu0dznz5cvhc,ins-56,norden/verdikjede/06-matsvinn-sirkulaer,primary
cmp12187q0003hu0dlj9phb1y,ins-57,norden/verdikjede/06-matsvinn-sirkulaer,primary
cmp12187r0004hu0dklgmazj5,ins-67,analyse/eiendomsmodell-finansiell-analyse,primary
cmp12187s0005hu0dc2y08mkt,ins-77,evidence-pack/akademia/drager-vagene-2017,primary
cmp12187t0006hu0d5pmvocj3,ins-81,norden/verdikjede/06-matsvinn-sirkulaer,primary
cmp13nhg70000p10du41abljn,ins-01,evidence-pack/offentlig/nibio-selvforsyning-2026,primary
cmp13nhgo0001p10drs8pjhzp,ins-104,evidence-pack/arsrapporter/axfood-annual-report-2024,primary
cmp13nhgp0002p10d8581qe97,ins-11,bibliotek/akademia/masteroppgaver/huynh-mortensen-2025,supporting
cmp13nhgq0003p10dtfi897eg,ins-110,evidence-pack/offentlig/riksrevisjonen-matsikkerhet-2023,primary
cmp13nhgs0004p10d23oyejfz,ins-114,evidence-pack/arsrapporter/asko-barekraft-2024,primary
cmp13nhgt0005p10doxogyk7p,ins-38,bibliotek/akademia/masteroppgaver/huynh-mortensen-2025,supporting
cmp13nhgt0006p10d98z58tb1,ins-50,evidence-pack/arsrapporter/axfood-annual-report-2024,primary
cmp13nhgu0007p10dp44dkzlh,ins-51,bibliotek/nordisk-konkurranse/is-markedsstruktur-2024,primary
cmp13nhgv0008p10d7ajrnt4g,ins-52,bibliotek/akademia/masteroppgaver/selmani-forre-2023,primary
cmp13nhgw0009p10dagzl35mp,ins-64,bibliotek/akademia/masteroppgaver/paschen-eriksen-2014,supporting
cmp13nhgx000ap10d6vtqzb96,ins-68,bibliotek/bransje/arsrapporter/reitan-2024-25,supporting
cmp13nhgy000bp10d4uv74u2z,ins-70,bibliotek/juridisk/eudr-norge-2025,primary
cmp13nhgy000cp10d1sp9msoc,ins-76,evidence-pack/nordisk/finland-food2030,primary
cmp13nhgz000dp10dhrr7kq7b,ins-79,bibliotek/akademia/masteroppgaver/esposito-2022,primary
cmp13nhh0000ep10d4zobxq10,ins-80,bibliotek/akademia/nordisk-avhandlingsregister,primary
cmp13nhh0000fp10dz5v8ehlq,ins-83,evidence-pack/nordisk/kfst-salling-coop-2025-full,primary
cmp13nhh0000gp10dxxwrwlfj,ins-89,evidence-pack/akademia/pubmed/wohner-b-2020-environmental-and-economic-assessment-of,primary
cmp13nhh2000hp10docd5qud9,ins-98,bibliotek/akademia/masteroppgaver/huynh-mortensen-2025,primary
cmp13nhh3000ip10ddgu1ve7c,ins-food-tg-01,incoming-incoming-food-research-process-2026-04-20-04-food-waste-and-circularity-20d75deeda-food-redistribution-in-the-nordic-region-pdf,primary
cmp13nhh3000jp10dcgbmiy5q,ins-food-tg-02,bibliotek/juridisk/eudr-norge-2025,primary
cmp13nhh4000kp10dizpqkrpr,ins-food-tg-05,incoming-incoming-food-research-process-2026-04-20-04-food-waste-and-circularity-20d75deeda-food-redistribution-in-the-nordic-region-pdf,primary
cmp14eyda0000qp0dgibhq429,ins-13,norden/verdikjede/02-foredling,supporting
cmp14eyes0001qp0dkf2rodwe,ins-21,bibliotek/akademia/masteroppgaver/huynh-mortensen-2025,primary
cmp14eyet0002qp0dxgj8ln0a,ins-55,bibliotek/akademia/masteroppgaver/huynh-mortensen-2025,supporting
cmp14eyeu0003qp0du0nhozem,ins-59,perpl-17-03/r-vareopprinnelse-og-globale-s-rbarheter-i-nordisk-sj-matf-r,supporting
cmp14eyev0004qp0d219e7ltz,ins-66,analyse/eiendomsmodell-finansiell-analyse,supporting
cmp14eyev0005qp0d88i4rzkz,ins-74,norden/verdikjede/06-matsvinn-sirkulaer,supporting
cmp14eyew0006qp0d5hddo7jx,ins-82,norden/verdikjede/05-horeca,supporting
cmp14eyex0007qp0dkzbp1vje,ins-92,bibliotek/beredskap/finsk-modell-hvk,primary
cmp14eyex0008qp0dpkvb3foh,ins-95,bibliotek/bransje/arsrapporter/reitan-2024-25,supporting
cmp14eyez0009qp0duqmbcb3z,ins-96,evidence-pack/offentlig/dagligvaretilsynet-aarsrapport-2022,primary
