id,insightId,documentId,relevance
cmmxf7nke00016q0din5c8fx2,ins-53,cmmxa66yc004nty0d0jm0sovj,related
cmmxfag4p0000620dq4zhafnc,ins-09,cmmxa66620033ty0d49joui46,related
cmmxfag4p0001620dhmzssajn,ins-18,cmmxa66620033ty0d49joui46,related
cmmxfag4p0002620d2cr4vvcx,ins-33,cmmxa66xy004lty0dkqldicee,related
cmmxfag4p0003620dk38rah51,ins-33,cmmxa66vf004fty0dr485675t,related
cmmxfag4p0004620dpl0er6us,ins-33,cmmxa66wg004ity0drgitszkj,related
cmmxfag4p0005620drg4jhqnq,ins-34,cmmpax3h0001du10d0eyq3hq5,supporting
cmmxfag4p0007620dl7a1kffa,ins-34,cmmxa66yc004nty0d0jm0sovj,related
cmmxfag4p0008620dnigqrm9u,ins-15,cmmxa66xy004lty0dkqldicee,related
cmmxfag4p0009620dydag5pag,ins-53,cmmpax3h0001du10d0eyq3hq5,supporting
cmmxfcf0x0000gj0dop6ltut0,ins-09,cmmpax3ne002du10ddlbworj8,supporting
cmmxfcf0x0002gj0dffe5hz6t,ins-14,cmmpax3fh000vu10d9n5a20ml,supporting
cmmxfcf0x0005gj0dgubrcdk1,ins-02,cmmpax3fo000xu10d3b2u7qbo,supporting
cmmxfcf0x0006gj0d7xoxpz1c,ins-31,cmmpax3ne002du10ddlbworj8,supporting
cmmxfcf0x000dgj0d1eilra5t,ins-35,cmmpax3h4001eu10dma1nwem7,supporting
cmmxfcf0x000egj0driynxjhi,ins-35,cmmpax3h6001fu10djtgwa0qo,supporting
cmmxfcf0x000fgj0dgj0gex4u,ins-35,cmmpax3h9001gu10dkqqip6ue,supporting
cmmxfcf0x000ggj0dba6wqs02,ins-36,cmmxa66xe004kty0ddzcbb7oh,supporting
cmmxfcf0x000kgj0d5m8v21u4,ins-27,cmmpax3fo000xu10d3b2u7qbo,supporting
cmmxfcf0x000lgj0dfow8xxx0,ins-28,cmmpax3fo000xu10d3b2u7qbo,supporting
cmmxfcf0x000mgj0dq4cz0rd0,ins-28,cmmpax3g40012u10dpijzpw9o,supporting
cmmxfcf0x000ngj0d1m7mf5qg,ins-46,cmmv9nxvq0037w70d2y45dvsd,supporting
cmmxfcf0x000ogj0dd6dp8yy8,ins-46,cmmpax3gg0016u10ds1pdkogy,supporting
cmmxfcf0x000pgj0dzoad35fa,ins-46,cmmpax3e2000fu10drds5fmwk,supporting
cmmxfcf0x000qgj0d3svbdnkh,ins-42,cmmxa66xe004kty0ddzcbb7oh,supporting
cmmxfcf0x000rgj0dtujut775,ins-43,cmmv9ny0c004ow70dj7dtnnv1,supporting
cmmxfcf0x000sgj0d5xq373m6,ins-43,cmmpax3rs002lu10dr8rtsh2l,supporting
cmmxfcf0x000tgj0d2o3agq8q,ins-43,cmmv9nxu4002jw70dswu4pwwy,supporting
cmmxfcf0x000ugj0dlug9r3s0,ins-43,cmmv9nxyj0044w70d4yizdtih,supporting
cmmxfcf0y000vgj0dex26ktsp,ins-43,cmmpax3tk002su10deelzv6fp,supporting
cmmxfcf0y000wgj0df7v3bkks,ins-24,cmmpax3ne002du10ddlbworj8,supporting
cmmxfcf0y000xgj0d8ovag7sn,ins-39,cmmpax3tk002su10deelzv6fp,supporting
cmmxfcf0y000ygj0dvl642w6g,ins-40,cmmpax3ov002gu10de5im829b,supporting
cmmxfcf0y000zgj0dda2bsiir,ins-40,cmmpax3hj001ju10dz0lgkf9p,supporting
cmmxfcf0y0010gj0d828orlpt,ins-40,cmmpax3f9000tu10dox34ei1c,supporting
cmmxfcf0y0011gj0d70rckhay,ins-40,cmmqoltsu000v1s0d6x0nw315,supporting
cmmxfcf0y0012gj0dk0pgx2os,ins-40,cmmqza925000qy70d5kr1ce2p,supporting
cmmxfcf0y0015gj0d7p6wqecp,ins-53,cmmxa672f004vty0dhe7bxl10,supporting
cmmxfcf0y0018gj0diw1llbri,ins-54,cmmpax3ej000lu10dexppjdhp,supporting
